ItemId	PromptId	Score1	AnswerText
6_13959	6	0	1.they do mitosis so they can stay alive if one cell is dying.2.more substances come in then out3.cell get rid of the stuff they dont need for the cell
6_13960	6	0	MITOSIS MEOSIS TRANSLATION
6_13961	6	0	1. The plasma membrane itself helps to control the movement of some substances by letting them in or keeping them out.2. The golgi apparatus regulates the movement of substances across the cell membrane.3. The endoplasmic reticulum helps to regulate the movement of substances across the cell membrane as well.
6_13962	6	0	The cell can tell the substances to move across the membrane because the cells need to move to get to the place where they need to go.
6_13963	6	0	The membrane recognizes and lets needed protiens go into the cell.Osmosis is a way they keep the liquid in the cell equal to the liquid outside of the cell.Plants use a cell wall to protect the cell and keep out big things and let the little things in.
6_13964	6	0	1.The structure og the cell's is the same2.living cell's come from another living cell3. cell's come from cell's
6_13965	6	0	respirationmovement of foods and protiens in and out of the cell
6_13966	6	0	1. The postion of the cell sometimes wont let the cell move.2. The flagella will grab hold of something on the side to where it will be stuck until it lets go.3. The procees of the cell will stay in one place until its procees is complet.
6_13967	6	0	cellular wall
6_13968	6	0	First they decide if the substances is good or bad. They insepct the substances by telling if its a protein or a diease.  Secound they elimanate the bad substances. If the substance is good they let it go throw. Third  they ship or store some of the protiens
6_13969	6	0	Proteins are carried by ribosomes to the golgi apparatus.Lipids are stored in the cell membrane to later be sent all over the cell.Stuff that needs to be obstructed from the cell is decomposed by the Lysosomes that travel throughout the cell.
6_13970	6	0	Osmosis, Mitosis, and Cytosis.
6_13971	6	1	Osmosious controls the movement of water across the cell.Diffusion controls how gentic information is moved to another cell.Sodium potassioum pump moves sodium and potassioum around the cell through tubes.
6_13972	6	0	All cells are living.Some cells make other cells.
6_13973	6	0	Transportation so the cell can move particles across the plasma membraneHomeostacis so the cell can do its job normally
6_13974	6	0	The membrane is permeable which allows smaller cells to go through. Membranes have cells that create openings for larger cells.
6_13975	6	0	anaphase: Cells splittelophase: Cells start to splitprophase: Nuclear membrain dissapers
6_13976	6	0	Cell Wall- controls what goes in and outCell Membrane- also controls what goes in and outNucleus- conrtols what the cell does
6_13977	6	0	The cell membrane uses enzymes.
6_13978	6	0	PHILANGES AND TINY HAIRLIKE STRUCTURES ON THE OUTSIDE OF A CELL THAT HELP THE CELL GATHER FOOD AND SOMETIMES EVEN MOVE. IONIC CHANNELS ONLY LET IN CERTIAN AMOUNTS OF CERTAIN SUBSTANCES THIS CONTROLS THE AMOUNT OF PROTIENS GETTING INTO THE CELL. THE PARTS OF A CELL ARE HELD TOGETHER BY THE CYTOPLASM AND MEMBRANE. THIS DOES NOT ALLOW FOR FOREIGN THINGS TO BE ABLE TO PENETRATE THE CELL.
6_13979	6	0	cell respiration
6_13980	6	0	Osmosis is used to move molecules across the cell's permiable membrane.  Also the protein carriers to determine what can move through or across the membrane
6_13981	6	0	equilbrium of substances from higt to low concertrion  diffusion the excreation of water and waste from the cell
6_13982	6	0	Three processes used by cells to control the movement of substances across the cell membrane include: Keeping all the healthy cells healthy, getting rid of the bad cells, and maintaining a smooth environment.
6_13983	6	0	into and out of the cell
6_13984	6	0	Trna is a movement of a type of cell across the cell membrane.
6_13985	6	0	Three processes are when the cell usese other cells, the use of cilai and flagilia.
6_13986	6	0	The cells use active transport, osmosis, and diffusion to control the movement of substances across the cell membrane. In active transport, the substances move thought the opening (tubes) in the cell membrane to get into the cell. They osmosis, the substances need to be small so they can pass through the membrane. Lastly, in diffusion, they difuse into the cell.
6_13987	6	0	Replication-
6_13988	6	0	Cells use the process of diffusion to take in the substances. The protiens in the plasma membrane change their shape to carry substances throught the membrane and into the cell. Osmosis also brings substances into the cell by bringing them in through the water around the cell.
6_13989	6	0	cillia- these are short hair like projections that cover the outside of the cell.cell membrain- a barier that lets protiens and food in and out of the cells baodycell wall- also a baier but on plants it helps take in light and releses excces water.
6_13990	6	0	Three processes used by cells to control the movement of substances across the cell membrane are being selectively or semi-permeable, osmosis, and diffusion.
6_13991	6	0	Active Transport, inactive transport and escort transport
6_13992	6	0	carries protien
6_13993	6	0	homeostasis
6_13994	6	1	Osmosis is the movement of water across the cell membrane. Transportation through the hols of a cell membrane is another. And the other is when they leave through lysosomes.
6_13995	6	0	They can carry nutrients across.
6_13996	6	0	The cell uses the ER to move things throughout the cell.  It moves protiens around through its winding tubes.The cell uses the mRNA to move information throughout the cell.The cell uses the vacuole to move waste throughout the cell.
6_13997	6	0	The cells control movement of substances by sending things into the endoplasmic reticulum and once inside, the substances get moved and exit through the exoplasmic reticulum, then they leave the body through digestion.
6_13998	6	0	The cells movement is controlled by the cell membrane. It controls what comes into the cell and what leaves the cell. Although the nucleus controls the cell and tells it to move the membrane does most of the work.
6_13999	6	0	Cells use diffusion to transfer water across the membrane. They also use protien holes to move the larger substances. Some things that they move across simply pass through the membrane
6_14000	6	0	1. the cell can control the membrane cause its part of the cell2. the cell can control the membrane like we can do same to ours3.the cell sends a it threw littel tiny cells to the membrane
6_14001	6	3	1.     -Osmosis is how water gets diffused thru the membrane. 2.     -Active Transport is where an enzyme opens the cell membrane for an object to come in, and extra energy is needed to assist the object into the cell.3.     -Passive Transport is where an enzyme opens the cell, but the object doesn't need the extra energy to come in.
6_14002	6	0	the cytoplasm which caries it on the substance.
6_14003	6	0	The ER is used to direct things leaving the nucleus or help things move through out the cell.The Golgi apperatus directs vacules around the cell.
6_14004	6	2	Cells use diffusion to move substances from an area of high concentration to an area of low concentration until it reaches equilibrium.  Cells also use osmosis, which is diffusion but with water.
6_14005	6	0	Cells have protective layers that could prevent harmful substances from entering throug the cell membrane.
6_14006	6	1	Three processes used by cells to control the movement of substances across the cell membrane are Diffusion; paricles moving from high to low consentration. Osmises;
6_14007	6	0	Osmosis, balancing water levels.Diffusion of cell materials.mRNA leaving the nucleus.
6_14008	6	0	the cell can move because of the nucleus. The cell wall is located behind the cell membrane so I thank this would  have something to do with it.I aslo thank it is the mitochrondia.
6_14009	6	0	one is the edoplamick reticulum. and two is the cell mimbraint.
