,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,910,5_11877,5,0,hai il Mrna che porta all'originale rna e rende tutto giusto agian
1,2014,5_12981,5,0,"Traduzione, tRNA, riflessione e DNA"
2,1405,5_12372,5,0,"1. i ribosomi tradurranno mrna in protiens.2. poi protiens passano attraverso il ciclo di Krebs3. poi i protiens vengono cambiati in atp4.il trasportatore della catena elettronica prende l'atp da qualche parte, dove l'atp verrà utilizzato."
3,285,5_11252,5,0,"La sintesi proteica ha quattro fasi principali, che sono il mRNA lascia il nucleo quindi rende la proteina in una striscia più piccola e il tRNA lo porta dove il RNA è e lo passa via al RNA, poi l'RNA prende la proteina dove possono leggerlo."
4,184,5_11151,5,0,"ARN, ARN, ARN e ARN"
5,1911,5_12878,5,0,"mRNA va al tRNA per diventare il trasferimento poi viene inviato alla sequenza di amminoacidi, poi tRNA per essere sintetizzato dal rRNA, poi RNA rompe il filo del DNA"
6,1473,5_12440,5,0,Uno sarebbe ER che si attaccano a ribsomes che producono proteine e proteine aiutano il tuo corpo.
7,1542,5_12509,5,0,di RNA
8,1997,5_12964,5,0,Il primo passo verso la sintesi delle proteine è l’ARNm che lascia la cellula. Il secondo passo è quello di ottenere più proteine. Il terzo passo è quello di riportare la proteina indietro per la cellula. L'ultimo passo sulla proteina mRNA è che mette la proteina di nuovo nella cellula per funzionare.
9,2357,5_13324,5,0,rna rna rna rna rna
10,1622,5_12589,5,0,Entrare fuori RIBOMSOMA E ENZIMI
11,1890,5_12857,5,0,1° La traduzione si trasformerà in proteine. 2° Succede il terzo. Le proteine passano attraverso il corpo4. La metamorfosi avviene
12,1851,5_12818,5,0,"Anafasi, che è dove i nuclei e le organelle scompaiono. La metafase, in cui l’ADN ha tutte le linee verso il centro.  Telofasi, in cui si dividono in due. La profezia."
13,83,5_11050,5,0,Il ritorno
14,304,5_11271,5,0,Il protien va gettato il nucleo e lascia la cellula al fine di andare a ottenere ciò che la cellula ha bisogno di vivere.
15,334,5_11301,5,0,Le proteine entrano nel corpo.Le proteine entrano nelle cellule del tè.Le proteine sono utilizzate dalle cellule del tè.L'energia dalle proteine del tè viene utilizzata in tutto il corpo del tè.
16,1212,5_12179,5,0,Il mRNA lascia il nucleo e va ai mitocondri. Si divide quindi in parti necessarie per produrre la proteina.
17,40,5_11007,5,0,"Dopo che il mRNA lascia il nucleo, prende la sequenza al citoplasma. Poi il rRNA lo trasporta al tRNA.  Poi il tRNA lo porta alla sequenza opposta del DNA, dove il processo è completato."
18,694,5_11661,5,0,"mRNA lascia, invia un messaggio al tRNA per creare più proteine, gli amminoacidi ricevono il messaggio e vengono create nuove proteine"
19,714,5_11681,5,0,Rimane nel mitochondriale per produrre più proteine.
20,2,5_10969,5,0,Il mRNA prima entra in una catena di trasporto di elettroni.
21,435,5_11402,5,0,Il mRNA è il messaggero RNA. Esistono tre tipi di RNA. MRNA è il messenger RNA. TRNA è il trasferimento di RNA. E rRNA che crea ribosomi.
22,949,5_11916,5,0,che questo è un batterio che non può causare il cancro sul tuo sistema
23,528,5_11495,5,0,"Il mRNA inizia a duplicare il DNA in una forma di RNA. Questo crea poi un altro strato di DNA, naturalmente dopo essere stato controllato per errori e mutazioni. Alla fine, il DNA si riconnette dopo aver dovuto dividere per la duplicazione."
24,1606,5_12573,5,0,Portano istruzioni dal nucleo contenenti informazioni sulla sequenza di amminoacidi di una proteina.
25,2130,5_13097,5,0,Ci sono quattro tipi di DNA: rDNAtDNAmDNA
26,1105,5_12072,5,0,Il primo mRNA inizia creando un messaggio che dice agli altri tipi di RNA cosa stanno facendo. Crea un'impronta blu per tRNA. tRNA trasporta poi gli ammioacidi con l'anticodio all'RNA rRNA che compone i ribosomi e altre proteine.
27,1738,5_12705,5,0,"Il mRNA dà le sue informazioni al prossimo RNA, rRNA che poi trasmetterà le informazioni al tRNA mentre con il tRNA il RNA trascriverà il RNA e lo abbatterà e lo annullerà, poi lo trasmetterà al gRNA che è l'ultimo passo nella sintesi delle proteine."
28,115,5_11082,5,0,Il primo passo sarebbe quello di costruire le ossa e altre parti del corpo nel corpo. Il secondo passo sarebbe quello di proteggere dai virus. Il terzo passo sarebbe quello di costruire una vita proattiva. E il quarto passo sarebbe mantenere il corpo sicuro e sano.
29,2121,5_13088,5,0,mRNA è il messaggero che porta la proteina al nucleo. tRNA trasferisce la proteina
30,2174,5_13141,5,0,mRNA lascia il nucleo e forma legami con tRNA per creare più mRNA.
31,698,5_11665,5,0,Il treno.
32,1800,5_12767,5,0,"1° Quando mRNA lascia il nucleo, va poi all'RNA di trasferimento per prendere le istruzioni per gli aminoacidi nella cellula2. Dopo il trasferimento di RNA entra nella cellula, dà alla cellula gli amminoacidi necessari3. Gli aminoacidi sono quindi sintetizzati4. La cellula utilizza poi gli amminoacidi per usi diversi"
33,1659,5_12626,5,0,1°Mangiate le proteine per diventare forti.2.Aiuta a crescere ossa forti in modo che quando si invecchia si può sollevare oggetti pesanti.Aiuta a combattere le malattie.4.Ti rende meno probabilità di ammalarti
34,1446,5_12413,5,0,"mRNA lascia il nucleo per raccogliere i dati e li riporta nella cellula. Dopo di che, il DNA viene replicato. Dopo questo passaggio, il tRNA trasferisce il DNA sulla reazione. I ribosomi mantengono la replica in posizione mentre si trasferisce."
35,1698,5_12665,5,0,Passo 1) Il mRNA lascia il nucleo Passo 2) Il mRNA trova poi un altro strato di mRNA Passo 3) Il mRNA si combina con l'altro strato di mRNAStep 4) si forma il DNA
36,1455,5_12422,5,0,Passano attraverso il citoplasma e poi nella membrana cellulare.  Dopo di che passa attraverso un processo e poi esce dalla cella.
37,658,5_11625,5,0,"Quando mRNA lascia il nucleo va e dice alla cellula quali sequenze di DNA fare. Poi il tRNA riporta il messaggio al nucleo. Al nucleo, la striscia di DNA viene separata e le nuove sequenze di DNA vengono accoppiate fino alle loro corrispondenze per fare due nuovi fili di DNA."
38,72,5_11039,5,0,Acido fosfatico
39,2168,5_13135,5,0,1. va al trasporto2. dal trasporto va al riboso3.Il riboso lo porta indietro al DNA4.Il processo inizia tutto di nuovo
40,817,5_11784,5,0,mRNA poi va al tRNA dove il tRNA fa una copia esatta del modello. Il tRNA corrisponde quindi al punto corretto sull'organella. Poi l’organella produce una proteina di cui il corpo ha bisogno e la invia dove ne ha bisogno.
41,1743,5_12710,5,0,umm.mRNA lascia le nuclues.dna ritorna a nucleus.ribosomi appaar.e fanno le proteine.
42,589,5_11556,5,0,Poi si dirige verso il treno. Il TRNA lo trasporta poi al RRNA. Il RNA lo decode per il MRNA.
43,405,5_11372,5,0,"Mentre lascia i nuclei viaggia verso le mitocondrie, poi verso il golgi apparaus e verso la membrana cellulare divide."
44,1238,5_12205,5,0,"Interfase, anafasi, matafasi e profasi. Essi descrivono come funziona il nucleo."
45,1703,5_12670,5,0,"tRNA viene creato, rRNA viene creato, poi tRNA e rRNA portano la nuova info. la proteina, e il mRNA ritorna"
