,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,803,6_14762,6,0,"Mitokondrierne hjælper med at holde døde celler væk fra cellemembranen, Golgi-apparatet hjælper med at holde stofferne i bevægelse"
1,233,6_14192,6,0,"1. af Osmose er ligningen af vand i og uden for cellen. Organeller, der forhindrer uophørlige funktioner.3. Nucleus – hjernen i cellen."
2,571,6_14530,6,0,Hvor meget vand kommer i cellen.det lad os ilt i
3,1758,6_15717,6,0,Den elektroniske transportkæde.
4,2022,6_15981,6,0,Oversættelse ved hjælp af vand til at bevæge sig gennem en celle
5,153,6_14112,6,0,"Deres er en cellevæg for planter til at beskytte dem selv fra bieng sår.Cellen memabrane styrer, hvad der kommer ind og ud af cellen på alle tidspunkter.Kerneusen fortæller, hvordan cellen skal fungere, så det styrer cellemembranen og fortæller det, hvad der kan komme ind og hvad der kan."
6,1234,6_15193,6,0,Floatno bevægelse
7,438,6_14397,6,0,"Passiv transport er, når stoffet kan bevæge sig frit gennem cellemembranen."
8,330,6_14289,6,0,"RNA, RNA og RNA"
9,541,6_14500,6,0,celler bruger diffusion til at flytte stoffer over membranen og opnå balance.
10,1077,6_15036,6,0,Diffusion hjælper med at flytte vandbaserede partikler ind og ud af cellen. Osmose: bevæger ikke-vandbaserede partikler i ond ud af cellen.
11,2307,6_16266,6,0,"Der er en som en motorvej kaldet mitokondrier, en anden som er ribosomer, en anden som er profeten."
12,1083,6_15042,6,0,"diffusion, når partikler adskiller sig i luften"
13,23,6_13982,6,0,"Tre processer, der anvendes af celler til at kontrollere bevægelsen af stoffer gennem cellemembranen, omfatter: At holde alle sunde celler sunde, slippe af med de dårlige celler og opretholde et glat miljø."
14,498,6_14457,6,0,Osmose bruger vand til at flytte stoffer fra høj til lavdiffusion.
15,1886,6_15845,6,0,"Osmose er bevægelsen af vand ud af cellemembranen. Diffusion er bevægelsen af stoffer ind i cellen gennem cellemembranen. Nogle celler har specielle vakuolposer, der frigives gennem cellemembranen. Poserne indeholder cellens affald i den."
16,1740,6_15699,6,0,"Prophase, anaphase og telophase"
