,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,1282,7_18236,7,0,"רוז עסוקה מאוד ועושה כמיטב יכולתה. אני אומר את זה בגלל ציטוט זה: ""מתוך בית הספר היא הלכה בבוקר אל המסעדה לעבוד ארבע שעות, ולאחר מכן מיד הביתה כדי לעזור דודה קולב להכין ארוחת ערב מהירה."""
1,1884,7_18838,7,0,כי אתה יכול לעשות כל מה שאתה רוצה בחיים שלך.
2,1163,7_18117,7,0,"אחת התכונות של רוז היא שהיא לא אוהבת להודות ברגשותיה לאחרים. בשיחה עם אנה, היא מתנהגת כאילו לא אכפת לה כמה זמן אביה נעלם או כמה זמן אמא עובדת."
3,1714,7_18668,7,0,"רוז היא ביישנית. רוז מראה את זה כשהיא מדברת עם אנה. רוז לא אומרת הרבה, אבל בסופו של דבר מאבדת סבלנות עם אנה. כמו כן, כאשר רוז מדברת עם דודה קולב היא לא אומרת הרבה, או פשוט שומרת את מחשבותיה לעצמה ומדביקה."
4,192,7_17146,7,0,"ורוד יכול להתמודד עם לחץ די טוב. למרות שהייתה תחת לחץ עצמי עצום, היא עדיין התעקשה להופיע עם נושא אספה."
5,54,7_17008,7,0,מוטיבציה זה הכסף!
6,2271,7_19225,7,0,"דודה קולב: ""אני מרגישה כל כך כועסת על מה שאתה עושה כדי לעזור למשפחה הזאת""."
7,1075,7_18029,7,0,היא אישה מאוד אקזוטית.
8,418,7_17372,7,0,"אחד המאפיינים שאני רואה ברוז הוא שהיא לא רוצה להגיד לה את האמת על ידי הדודה שלה.  כמו כן, על ידי האזנה לדודה קולב שלה היא מתחילה לחשוב שהחיים שלה עשויים להיות קלים יותר.  אני חושב שהסיבה לכך היא שדודה קולב נראה לעזור לאנשים לראות את הטוב בחיים."
9,983,7_17937,7,0,"רוז היא מכובדת, היא לא רוצה לפגוע בדודה שלה. כשרוז לא מתלוננת על דודה."
10,1792,7_18746,7,0,"היא מפחדת ולא יודעת מה לעשות, היא מרגישה לבד. היא רצתה שאבא שלה היה עדיין בבית."
11,1642,7_18596,7,0,"כשהיא שקטה, היא נראית מודעת לעצמה."
12,1428,7_18382,7,0,ניתן לתאר את הוורוד כגדול. היא נזכרת מספר פעמים במהלך הסיפור כאילו היא עסוקה מדי.
13,2175,7_19129,7,0,מחקרים  במהלך שני השיחות היא מעולם לא סיפרה לאחרת מה היא באמת מרגישה.
14,1447,7_18401,7,0,"""אמי עדיין לא בבית, היא עדיין בבית. אני שונא כמה מאוחר היא צריכה לעבוד""."
15,227,7_17181,7,0,"רוז נרדמה מנסה לעבוד על המבחן שלה. כשאנה הלכה לכיוון רוז, היא שאלה אם היא בסדר ואנה אמרה לא. רוז אמרה לה שהיא נרדמה. זה מראה שהיא תמיד עסוקה ויש לה מעט זמן לעשות משהו אחר."
16,391,7_17345,7,0,"רוז היא אדם עצבני, היא אומרת, ""אפילו אם אני מנצח, אני יכול לנסוע לסקרמנטו כדי לקבל את הפרס."
