,ItemId,PromptId,Score1,AnswerText
33,8_19986,8,0,hes a good guy
1413,8_21366,8,0,"The information Paul found could have discourage him, as well as him feeling betraded an lied to by Mr. leonard.  Just by PAul printing something out an even showing it to him showed it bothered it alot."
1571,8_21524,8,0,"The background information Paul finds out about Mr. Leonard seems to discourage him. This is evident, because when he was asking Mr. Leonard about it, he looked down at the ground and his voice cracked. He felt that he had no hope since he was starting from scratch and Mr. Leonard was a star athelete in high school and college."
684,8_20637,8,0,The fact that Mr. Leonard dropped out of college and lost his scholarship because he couldn't read really effects Paul because he to cannot read very well.
1119,8_21072,8,0,What?
937,8_20890,8,0,Paul was a guy who felt neglected and was always picked last and Mr. Leonard picked up on it.  He knows what it is like to feel embarrassed to not be able to do something because he flunked out of college.  He motivated Paul to do hurdles and showed him how they are obstacles in life. He also found that he was not good at reading either so he was concerned and wanted to help.
697,8_20650,8,0,"He learns that paul is a good kid, that can pick things up quick. So he help him by learning one thing, so that he can learn how to read better"
336,8_20289,8,0,"It shows Paul that without school, you can't do anything. Mr. Leonard goes to college on a scholarship, he says they told him he would have tutors. He wants Paul to become a good student first."
1451,8_21404,8,0,"After Paul learns Mr. Leonard's history, Paul realizes that Mr. Leonard was motivating him to push harder for his goals. Mr. Leonard was not able to read which changed his entire life. He is concerned for Paul. Paul then understands that he must overcome his weakness in reading because he doesn't want to give up like Mr. Leonard had."
2240,8_22193,8,0,Mr. Leonard has the same problem as Paul does. While Paul may not not it right away he slowly but surely finds out and Mr. Leonard is embarressed about it. Paul has learned that he can do well and be reconized for what he is good at.
248,8_20201,8,0,Paul was amazed by what he found out about Mr.Leonard. He found out that Mr.Leonard was a freshman who won the 400 meter hurdles at the nationals and broke records.
2018,8_21971,8,0,paul is a poor reader and gets help from mr. leonard.
1992,8_21945,8,0,Paul didn't know anything about him at the begining and just thought that he was just a man in hallway. When Mr. Leonard took Paul to the track that fist day he saw that Mr. Leonard cared and that he wanted to help him. He wondered way Mr. Leonard asked his name that first day after seeing his pass for 2 weeks. He found out that Me. Leonard's grade were bad and that he didn't make it through collage. That's why Mr. Leonard cared so much about Paul getting his grades up and being involved in something.
1242,8_21195,8,0,"Mr. Leonard is a quiet man about himself and doesn't mention himself or his past much throughout the story. The track coach gives Paul a website to go look up about Mr. Leonard. Paul finds out that Mr. Leonard was a national 400 meter hurdle champion as a freshman in college. Paul wants to know why he didn't keep running throughout college, but then he finds out that Mr. Leonard did not know how to read that well himself and flunked out of college."
1592,8_21545,8,0,It makes him feel proud.I know this because the text says.'You were a college freshman who won the 400 meter hurdles at the nationals.'
2249,8_22202,8,0,He stated that he was a good athlete but not a good student. He denpended on his friends to get him by but the work was always too hard for him.He ended up loosin gthis scholarship and flunked out. No school wanted a runner who couldn't read.
1810,8_21763,8,0,Mr. Leonard couldn't read in high school but was good at sports. Paul couldn't read and he wasn't very good at sports.
1086,8_21039,8,0,paul like the information because it information that he would not have had on his trainer if he had not asked
1845,8_21798,8,0,"Once Paul discovers that Mr. Leonard was a track star, Paul is interested in Mr. Leonards acomplishments.  This is seen in Paragraphs 35-44 when Paul questions Mr. Leonard about his college life and why he didn't go on to be great."
3,8_19956,8,0,"The information that Paul gets about Mr.Leonard was that he was the hall monitor when Paul stared middle school.He tells  Paul that he wanted him to come to the gym at 2:30 so paul did and he remeber that Mr.Leonard did the 400 meter hurdles at the nationals and broke the record, but he lost he scholarship and flunked out because he couldn't read.So Paul wanted to do the hurdles for Mr.Leonard to make him feel like hes not a nobody and a somebody."
