,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,33,8_19986,8,0,Dober moški je
1,1413,8_21366,8,0,"Informacije, ki jih je Pavel našel, bi ga lahko odvrnile, pa tudi, da se je počutil, kot da mu je gospoda Leonarda izdal laž.  Samo tako, da je Paul nekaj natisnil in mu ga celo pokazal, je pokazal, da ga je močno motilo."
2,1571,8_21524,8,0,"Podrobnosti, ki jih Paul odkrije o gospodu Leonardu, se mu zdijo odvračilne. To je očitno, ker je, ko je spraševal gospoda Leonarda o tem, pogledal navzdol na tla in njegov glas se je razbil. Čutil je, da ni imel upanja, ker je začel od začetka, in gospod Leonard je bil zvezdni atlet v srednji šoli in kolidžu."
3,684,8_20637,8,0,"Dejstvo, da je gospod Leonard zapustil kolidž in izgubil štipendijo, ker ni mogel brati, resnično vpliva na Paula, ker ne more brati zelo dobro."
4,1119,8_21072,8,0,Kaj pa?
5,937,8_20890,8,0,"Paul je bil fant, ki se je počutil zanemarjenega in je bil vedno izbran zadnji in g.  Ve, kako je, če se sramuje, da ne more storiti ničesar, ker je izstopil iz šole.  Motiviral je Pavla, da naredi ovire in mu pokazal, kako so ovire v življenju. Prav tako je ugotovil, da ni dober pri branju, zato je bil zaskrbljen in je želel pomagati."
6,697,8_20650,8,0,"Ugotovi, da je Paul dober otrok, ki lahko hitro pobere stvari. Zato mu pomaga, ko se nauči eno stvar, da se lahko nauči bolje brati."
7,336,8_20289,8,0,"To kaže, da brez šole ne moreš storiti ničesar. Leonard gre na kolidž za štipendijo, pravi, da so mu povedali, da bo imel učitelje. On želi, da Paul postane dober učenec najprej."
8,1451,8_21404,8,0,"Ko se Paul seznani z Leonardovo zgodovino, se Paul zaveda, da ga je Leonard motiviral, da si prizadeva za svoje cilje. G. Leonard ni mogel brati, kar mu je spremenilo vse življenje. Skrbi ga za Pavla. Paul potem razume, da mora premagati svojo šibkost pri branju, ker se ne želi odreči, kot je to storil gospod Leonard."
9,2240,8_22193,8,0,"Gospod Leonard ima enake težave kot Paul. Medtem ko Paul morda ne bo takoj ugotovil, počasi, a zagotovo, in gospod Leonard se sramuje zaradi tega. Pavel se je naučil, da lahko naredi dobro in se povrne za to, v čemer je dober."
10,248,8_20201,8,0,"Paul je bil presenečen nad tem, kar je izvedel o gospodu Leonardu. Spoznal je, da je bil Leonard začetnik, ki je zmagal na 400-metrskih ovirah in prebil rekorde."
11,2018,8_21971,8,0,Paul je slab bralec in dobi pomoč od gospoda Leonarda.
12,1992,8_21945,8,0,"Pavel o njem na začetku ni vedel ničesar in je mislil, da je samo človek na hodniku. Ko je g. Leonard tistega dne odpeljal Pavla na stezo, je videl, da mu je mar in da mu želi pomagati. Spraševal se je, kako je gospod Leonard vprašal njegovo ime prvi dan po tem, ko je videl svojo pot za 2 tedna. To sem odkril jaz. Leonardova ocena je bila slaba in da tega ni naredil s kolajnom. Zato je gospodu Leonardu bilo tako pomembno, da je Paul dobil svoje ocene in se ukvarjal z nečim."
13,1242,8_21195,8,0,"Gospod Leonard je tihi človek o sebi in ne omenja sebe ali svoje preteklosti veliko skozi zgodbo. Track trener daje Paul spletno stran, da gredo iskati za gospoda Leonard. Paul ugotovi, da je bil Leonard državni prvak na 400 metrih kot začetnik na kolidžu. Paul želi vedeti, zakaj ni nadaljeval s tekom po vsej šoli, potem pa ugotovi, da gospod Leonard ni vedel, kako to dobro prebrati sam in se je umaknil iz šole."
14,1592,8_21545,8,0,"To mu daje občutek ponosa.To vem, ker besedilo pravi.""Bil si študent, ki je zmagal na 400-metrskih ovirah na državni ravni."""
15,2249,8_22202,8,0,"Povedal je, da je dober športnik, vendar ni dober študent. Svojim prijateljem se je trudil, da bi ga prehiteli, vendar mu je bilo delo vedno preveč težko.Na koncu je izgubil to štipendijo in odšel. Nobena šola ne želi tekača, ki ne zna brati."
16,1810,8_21763,8,0,"Leonard v srednji šoli ni znal brati, vendar je bil dober v športu. Paul ni mogel brati in ni bil zelo dober v športu."
17,1086,8_21039,8,0,"Paulu so všeč informacije, ker so informacije, ki jih ne bi imel na svojem trenerju, če ne bi vprašal"
18,1845,8_21798,8,0,"Ko Paul odkrije, da je bil Leonard zvezda, se Paul zanima za Leonardove dosežke.  To je razvidno iz 35. do 44. odstavka, ko Paul sprašuje Leonarda o svojem kolidžnem življenju in zakaj ni šel naprej, da bi bil odličen."
19,3,8_19956,8,0,"Informacije, ki jih Paul dobi o gospodu Leonardu, je, da je bil nadzornik dvorane, ko je Paul gledal v srednjo šolo.Povedal je Paulu, da ga je želel, da pride v telovadnico ob 2:30, tako da je Paul to storil in se spomnil, da je gospoda Leonarda naredil 400 metrov ovir pri nacionalnih in prekinil rekord, vendar je izgubil njegovo štipendijo in se je umaknil, ker ni mogel brati.Tako da je Paul želel narediti ovire za gospoda Leonarda, da bi se počutil, kot da ni nihče in nekdo."
20,710,8_20663,8,0,"Tako gospod Leonard kot Paul nista bili zelo dobri učenci v šoli. Leonard je bil osupljiv na poti, toda ker v razredu ni dobil dobrih ocen, je izgubil štipendijo in izstopil iz šole. Tudi v razredu ni zelo dober. Ko mu je gospod Leonard pomagal, da se nauči, kako dobro skočiti hurtles, ga je pustil, da gredo ven za dečka, da jih sledi. Na nek način so popolnoma enaki."
21,390,8_20343,8,0,"Paul ni vedel, da se je usposabljal z enim izmed najboljših tekačev in Paul ni vedel, zakaj gospod Leonard ni vedel brati."
22,1625,8_21578,8,0,To naredi Paul wan ne uspe več in naredi gospoda Leonarda ponosen.
