,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,33,8_19986,8,0,Ha en bra kille
1,1413,8_21366,8,0,"Den information som Paul fann kunde ha avskräckt honom, liksom han kände sig förrådd en lögn till av Mr. Leonard.  Bara genom att PAUL tryckte ut något och även visade det för honom visade det störde det mycket."
2,1571,8_21524,8,0,"Den bakgrundsinformation som Paul får reda på om Leonard verkar avskräcka honom. Detta är uppenbart, för när han frågade Leonard om det, tittade han ner på marken och hans röst sprickade. Han kände att han inte hade något hopp sedan han började från grunden och Leonard var en stjärnidrottare i gymnasiet och college."
3,684,8_20637,8,0,Det faktum att Leonard lämnade college och förlorade sitt stipendium för att han inte kunde läsa påverkar verkligen Paul eftersom han inte kan läsa mycket bra.
4,1119,8_21072,8,0,Vad då?
5,937,8_20890,8,0,Paul var en kille som kände sig försummad och alltid plockades sist och Mr Leonard plockade upp på det.  Han vet hur det är att känna sig generad över att inte kunna göra något för att han lämnade college.  Han motiverade Paulus att göra hinder och visade honom hur de är hinder i livet. Han fann också att han inte var bra på att läsa heller så han var orolig och ville hjälpa till.
6,697,8_20650,8,0,"Han lär sig att Paul är en bra pojke, som kan plocka upp saker snabbt. Så han hjälper honom genom att lära sig en sak, så att han kan lära sig att läsa bättre"
7,336,8_20289,8,0,"Det visar Paulus att utan skola kan man inte göra någonting. Mr Leonard går till college på ett stipendium, han säger att de berättade för honom att han skulle ha lärare. Han vill att Paul ska bli en bra elev först."
8,1451,8_21404,8,0,"Efter att Paul lär sig om Leonards historia inser Paul att Leonard motiverade honom att driva hårdare för sina mål. Leonard kunde inte läsa, vilket förändrade hela hans liv. Han är orolig för Paul. Paul förstår då att han måste övervinna sin svaghet i läsningen eftersom han inte vill ge upp som Leonard gjorde."
9,2240,8_22193,8,0,"Mr Leonard har samma problem som Paul gör. Medan Paul kanske inte får reda på det omedelbart, får han sakta men säkert reda på det och Leonard skäms över det. Paulus har lärt sig att han kan göra gott och bli belönad för det han är bra på."
10,248,8_20201,8,0,Paul blev förvånad över vad han fick reda på om Mr. Leonard. Han upptäckte att Leonard var en nybörjare som vann 400-metershinderna på nationalen och bröt rekord.
11,2018,8_21971,8,0,Paul är en dålig läsare och får hjälp av Mr. Leonard.
12,1992,8_21945,8,0,Paul visste inte något om honom i början och trodde bara att han bara var en man i korridoren. När Leonard tog Paul till spåret den dagen såg han att Leonard brydde sig om honom och att han ville hjälpa honom. Han undrade hur Leonard frågade hans namn den första dagen efter att ha sett hans pass i 2 veckor. Han upptäckte det mig. Leonards betyg var dåliga och att han inte gjorde det genom collage. Det är därför Leonard brydde sig så mycket om att Paul fick sina betyg och var inblandad i något.
13,1242,8_21195,8,0,"Mr Leonard är en tyst man om sig själv och nämner inte sig själv eller sitt förflutna mycket under hela berättelsen. Track coach ger Paul en webbplats för att gå och leta upp om Mr Leonard. Paul får reda på att Leonard var en nationell 400 meter hindermästare som nybörjare på college. Paul vill veta varför han inte fortsatte att springa genom hela college, men då upptäcker han att Leonard inte visste hur man läser det bra själv och flockade ut från college."
14,1592,8_21545,8,0,"Det gör honom stolt.Jag vet detta eftersom texten säger.""Du var en college nybörjare som vann de 400 meter hinder i nationalisterna."""
15,2249,8_22202,8,0,Han sa att han var en bra idrottsman men inte en bra student. Han hängde på sina vänner för att få honom igenom men arbetet var alltid för hårt för honom.Han slutade losin gthis stipendium och flunked ut. Ingen skola ville ha en löpare som inte kunde läsa.
16,1810,8_21763,8,0,"Leonard kunde inte läsa i gymnasiet, men han var bra på sport. Paul kunde inte läsa och han var inte särskilt bra på sport."
17,1086,8_21039,8,0,Paul gillar informationen eftersom det är information som han inte skulle ha haft på sin tränare om han inte hade frågat
18,1845,8_21798,8,0,"När Paul upptäcker att Mr Leonard var en spårstjärna, är Paul intresserad av Mr Leonards prestationer.  Detta syns i punkterna 35-44 när Paul frågar Leonard om hans college liv och varför han inte fortsatte att vara bra."
