id	text
de_000302	is ok
de_000303	More detailed information. Previous length. Current length.
de_000304	"They are obviously different plastics with different material properties or the same plastic but cut differently. One would have to """"standardize"""" the plastic samples somehow. , i.e. exactly the same size, shape or weight. Weights should also always be the same and I would not simply stick the samples to a table but fix them freely on top with a clamp and let them hang freely."
de_000305	with D2 it is more accurate search for other types of plastic
de_000306	In the first two samples, the material still stretched. This no longer happened with the other specimens,
de_000307	a) Plastic type D is the most stretchable while plastic type A is the least stretchable. b) There is no indication of how much weight was used. A run without weights would determine the influence of gravity
de_000308	The stretching of the plastics is similar in both runs. To improve the results, the run must be repeated more often and the weights must be documented as to how heavy they are.
de_000309	it can easily collect and obtain samples of polymer resins, which is their extensibility
de_000310	plastic a expands the most
de_000311	a) plastic B has the greatest ductility, b) better fix plastic sample (not glue - because inaccurate - better clamp etc) - one-time longer hanging time
de_000312	unfortunately, i don't know. that's just the way it is.
de_000313	Plastic types A and B stretch much less than C and D - the initial length could have been specified so that the percentage stretching could be calculated
de_000314	Plastic type B stretches the most, plastic type A the least. More experimental runs could have been made. The strain should be noted.
de_000315	Conclusion: plastic can deform plastically. Improvement: do not glue ( possible chemical action) but clamp.
de_000316	a. The results obtained in the two runs vary only minimally b. Specification of the plastic material Specification of the plastic density
de_000317	Plastic types A and B become more elastic with increasing elongation. Plastic type C, on the other hand, becomes more inelastic and D does not change its elasticity with strain. The validity of the results could be improved as follows: Perform an increased number of experimental runs for each plastic type, with new samples (to increase statistical significance). Add more runs (e.g., D3). Logging the temperature.
de_000318	"Conclusion: Plastic type B is the most ductile. Improvement of the test set-up: more test runs for each type of plastic, perform test with different """"hanging times""""."
de_000319	Start the 2 tests in parallel to ensure that the tests are identical. Start tests with different lengths of the plastics and compare them with each other.
de_000320	Hang weights on the clamp and let them hang for five minutes. Remove the weights and clamp and measure the length of the plastic.
de_000321	a. Plastic is stretchable, depending on the type of plastic. b. Exactly where and how is the clamp attached? What weights are used? Is the same weight always used?
de_000322	a. The data suggests plastics B and D are more extensible than C and A. b. The student should have looked for an identical cross-section of the stretched plastic and set the stretched distance in relation to the initial length.
de_000323	a) Plastic type D does not stretch Plastic type C appears to shrink instead of stretch b) The masses of the weights vary Perform more than two runs
de_000324	- why does the plastic type D not change?  Presumably it is hard plastic, the sotff is firmer and more resistant, than A-C - better result: use raw materials comparable in condition and consistency
de_000325	a. It depends on the type of plastic whether the stretching is greater on the 1st or 2nd pass, or whether it is the same. b. You could have decreased/increased the time on one of the passes. The fastening (nail instead of glue, for example) could be more stable.
de_000326	No idea
de_000327	The student's data is not usable. - The weight would have to be named exactly -The weight must be the same for all samples -The materials must be known -The differences of the materials (expansion coefficient or expansion diagram).
de_000328	"Object D shows no changes ""Object C becomes smaller and contracts during overvoltage."
de_000329	a) You have proven how flexible the materials are. b) You could have used a tripod instead of a table. And you could have made several passes with different weights.
de_000330	Plastic A and B are more stretchable in the second pass, C is less stretchable and D is just as stretchable as before. Make more passes.
de_000331	Plastic B is the most stretchable, then D, then C, then A. A also has the highest variance. The weights could have varied in severity. He could have also varied the time period.
de_000332	a. Plastic type D is the most stable and insensitive to mass impact b. Specify weight and original length of plastic type.
de_000333	The plastic becomes longer due to the weight - Carry out more specimens - Use plastic of different thicknesses
de_000334	1.first of all to be honest, I have no idea about it 2. it is enough if the one plastic type to use
de_000335	It can be concluded that the specimens have stretched as expected.  It should be specified with what and how bonding is to be carried out (spot or area bonding).
de_000336	a. Polymer B has the highest extensibility, A has the lowest. b. Use a longer specimen More than 2 trials
de_000337	do not understand the question
de_000338	a) Plastic type B is more ductile than plastic type A b) More runs would improve the statistical significance of the experiment. Samples at different times do not measure only after 5 minutes of force application.
de_000339	The plastic types have stretched differently in 2 identical test runs, which means that the plastic does not always behave in the same way. b.) The same length in both tests and the same number of weights in each sample.
de_000340	a B and D stretch the most data are quite similar in the second pass so relatively good results b more passes other attachment to the table
de_000341	a. The specification of the size of the samples is missing b. All samples must be of the same size and weight
de_000342	The fact that D1 and D2 always deviate (except for plastic type D) shows or can be concluded that it is not possible to write down a fixed value, since there is always some deviation. The experiment could be improved by carrying out several tests D1 - D10 (e.g.) and taking the mean value so that the deviation is as small as possible.
de_000343	a. Plastic A and B have stretched, plastic D has kept the length and plastic D should even have shortened b. The length of the plastic parts should be identical at the beginning of the measurement. Use reasonable vice instead of gluing, because gluing surfaces and thicknesses are different (depending on the plastic). Temperature should be stable between measurements.
de_000344	The polymer has grown by a total of 22 and 23 mm, so 45mm in total. You could have taken different weights, which would have given you different results.
de_000345	a) Each of the samples expands differently, but by approximately the same amount per unit time. b) First, the student should have given the original length of the samples. This would have allowed him to calculate the percentage expansion. He could also have performed at least one series of measurements with different weights for comparison.
de_000346	a.) While some plastics (A, B) increase in length, others (D) remain stable, or (C) even shorten. b.) Instead of a chemical adhesive for the purpose of fixing the plastic at the upper end, which could have a manipulating effect on the nature of the plastic, a mechanical one should be chosen, e.g. by stapling.
de_000347	He could have repeated the procedure and matched D2 to D1.
de_000348	He could choose better fastening. You could do all the tests at the same time
de_000349	Use 4 specimens of equal length, hang the specimens on a fixture provided for this purpose and do not stick them to the table, measure the length in the stretched state to have another comparison value.
de_000350	a. The experiment was not performed in exactly the same way. b: The attachment of clamp and the one to the table should have been done in exactly the same way in each case.
de_000351	Conclusion: Plastic A is the most ductile. Possible improvements: 1. make sure that the room temperature is constant for each run. 2. make sure that the lighting conditions are constant for each run. 2. make sure that the lighting conditions are constantly the same for each run.
