id	text
en_cw_000001	1. Gießen Essig Menge\n 2. Container Größe\n 3. wie viele Zeit mit destilliertem Wasser spülen
en_cw_000002	Ich benötige Informationen über den Prozentsatz des Essigs.
en_cw_000003	wissen, wie viel Essig in den einzelnen Behältern verwendet wurde\n wissen, welche Größe/welcher Typ von Behälter zu verwenden ist\n wissen, wie lange die einzelnen Proben in destilliertem Wasser gespült wurden.
en_cw_000004	Es ist wichtig, Essig in 4 Proben zu gießen, 24 Stunden stehen zu lassen und mit destilliertem Wasser zu waschen.\n Der Stein hat den größten Gewichtsverlust, weil er Kalk / Verkalkung von ihm abwäscht.\n Holz und Kunststoff sind konstant
en_cw_000005	Ort, an dem sich die Behälter befanden\n Temperatur des Ortes, an dem sich die Behälter befanden\n Menge des Essigs, die auf jeden Empfänger gegeben wurde
en_cw_000006	Die ml Essig, die jedem Behälter zugesetzt wurden\n Das Volumen des Behälters\n Die Temperatur um den Behälter herum
en_cw_000007	Ich brauche keine zusätzlichen Informationen. Ich brauche Muster, Behälter und das war's.
en_cw_000008	als zusätzliche Information ist es notwendig, das Ergebnis des Experiments zu kennen
en_cw_000009	das Holz ist das am wenigsten betroffene Element mit dem Essig nach 24 Stunden war nicht in irgendeiner Weise der Kalkstein ist die am meisten von allen seine Veränderung der Masse ist sehr bemerkenswert betroffen
en_cw_000010	2 Proben gleichzeitig mischen und nach 40 Minuten stehen lassen, dann die Ergebnisse analysieren und anschließend das Verfahren mit den anderen 2 Proben durchführen
en_cw_000011	1. Man kann das Verfahren mit mehreren Massen durchführen.\n 2. Es ist besser, das gleiche Gewicht der Ausgangsmasse zu nehmen.\n 3. Anstelle von 24 Stunden können die Massen auch einige Tage in Essig eingelegt werden, um bessere Ergebnisse zu erzielen.
en_cw_000012	Es ist notwendig, die Menge des Essigs und die Konzentration zu kennen
en_cw_000013	Messung der Essigmenge, die in die Behälter gegossen werden soll\n Wie wird die Masse bestimmt\n Müssen die Probenmaterialien die gleiche Form und Oberfläche haben?
en_cw_000014	Es fehlt die Menge des in jeden Behälter eingefüllten Essigs\n Das Fassungsvermögen der Behälter\n Die Temperatur\n der Materialien
en_cw_000015	Ich denke, dass ein Metall wie Eisen und Aluminium in das Experiment einbezogen werden sollte, zusätzlich zur Verwendung einer anderen Art von Säure, Schwefel- und Chlorsäure.
en_cw_000016	Essigmaterial: Marmor, Kalkstein, Holz, Kunststoff\eine Waage zur Gewichtsbestimmung
en_cw_000017	Ich muss wissen, wie viel Essig in jeder Probe verwendet wird. Ich muss wissen, wie viel destilliertes Wasser zur Reinigung der Proben verwendet wird. Ich meine, von welchem Baum er das Material bekommen hat.
en_cw_000018	Wie hoch ist der Reinheitsgrad des Marmors? Wie hoch ist der Feuchtigkeitsgehalt der einzelnen Proben? Wie hoch ist das Gewicht der einzelnen Behälter?
en_cw_000019	Ich muss den Säurewert der Probenelemente kennen.
en_cw_000020	Erst am Ende muss man sagen, um welche Art von Material es sich bei den vier Arten von Proben handelt.\n Man sollte auch bestimmen, welches Gewicht oder welche durchschnittliche Größe diese Proben haben sollten.\n Am Ende sollte man die Ergebnisse überprüfen, um zu wissen, was sie bedeuten.
en_cw_000021	Sie müssen wissen, wie viel Essig Sie auf jede Probe geben müssen.
en_cw_000022	Nach dem Ausgießen des Essigs sollte die Masse abnehmen oder gleich bleiben \n Beim nächsten Experiment können sie also auf die Massendifferenz achten
en_cw_000023	- Das Experiment selbst verdient keine Wiederholung.\n - Die Materialien, die als Probe verwendet wurden, sind von unterschiedlicher Härte und daher von unterschiedlicher Widerstandsfähigkeit.\n - Essig führte dazu, dass drei der verwendeten Materialien in fast identischen Verhältnissen abgebaut wurden.\n - Die o
en_cw_000025	Größe der Behältnisse.\n Milliliter des Essigs, der in das Behältnis gegeben werden soll.\n Die Proben müssen die gleiche Größe haben?
en_cw_000026	ICH MUSS DIE MENGE DES IN DEN EINZELNEN BEHÄLTERN VERWENDETEN ESSIGS NOTIEREN.
en_cw_000028	Bedingungen des Experiments, d. h. Temperatur und Druck. Konzentration des Essigs.
en_cw_000030	#NAME?
en_cw_000031	wie die Proben präsentiert werden sollen, in einem einzigen Stück oder in mehreren kleinen oder gemahlenen Stücken
en_cw_000032	1. die Bedingungen, unter denen die Probe eingesetzt wird, 2. die Temperatur des Raums, in dem die Probe eingesetzt wird, 3. alle zusätzlichen externen Faktoren, die das Experiment beeinflussen
en_cw_000034	Physikalisch-chemische Eigenschaften von Marmor.\n Physikalisch-chemische Eigenschaften von Kalkstein.\n Physikalisch-chemische Eigenschaften von Holz.\n Physikalisch-chemische Eigenschaften von Kunststoff.\n Wirkung von Essig auf jedes der untersuchten Materialien
en_cw_000036	Für ein korrektes wissenschaftliches Experiment sind exakte Probenteile aus Marmor, Kalkstein, Holz und Kunststoff erforderlich.\n Saurer Regen entsteht, wenn sich die Feuchtigkeit der Luft mit Stickstoffoxiden, Schwefeldioxid oder Schwefeltrioxid verbindet, die von Fabriken, Kraftwerken, Heizkesseln und Fahrzeugen ausgestoßen werden, die Kohle oder schwefelhaltige Erdölprodukte verwenden.
en_cw_000038	Durch welche Materialien kann ich die Proben ersetzen?\n Kann ich es mit normalem Wasser machen, wenn ich kein destilliertes Wasser habe?\n Kann es jede Art von Essig sein?
en_cw_000039	Eisen, Aluminium und Kupfer
en_cw_000040	Für jemanden, der das Verfahren als solches nicht kennt, ist es schwierig. Sie sollten erklären, warum jeder einzelne Schritt das sagt, was er sagt. Es sieht im Allgemeinen richtig aus, aber es wäre besser, wenn wir wissen könnten, warum sie dieses Verfahren anwenden und auf diese Weise in der Lage sind, einen besseren Weg zu verstehen.
en_cw_000041	Nach dem Experiment wurde festgestellt, dass das Holz nach einer längeren Einwirkungszeit von Essig nicht an Masse verliert. Sowohl der Kunststoff als auch das Holz werden durch den Essig nicht beeinträchtigt, und der Kalkstein schließlich wird durch den Essig stark beeinträchtigt
en_cw_000042	Methode zur Bestimmung der Masse der verschiedenen Proben.\n Menge des in die Behälter zu gießenden Essigs.\n Größe der verwendeten Behälter.
en_cw_000043	Um den Versuch wiederholen zu können, müssen die Größe und die Oberfläche jeder Materialprobe angegeben werden. Darüber hinaus sind auch die Temperaturen während der 24-stündigen und 30-minütigen Trocknung für die Replikation wichtig.
en_cw_000044	Keine
en_cw_000045	die Konzentration des Essigs ist erforderlich, um zu wissen, wie er sich auf den Kalkstein, den Marmor oder das Holz auswirkt. Ich glaube nicht, dass zusätzliche Informationen erforderlich sind
en_cw_000047	Ich bräuchte die Massen, auf die das Verfahren angewandt wird, in diesem Fall Marmor, Kalkstein und Holz.
en_cw_000048	Dieses Ergebnis beschreibt zu wenige Informationspunkte.
en_cw_000049	Wasser und NaCl
en_cw_000050	plastico marmor kalkstein
en_cw_000051	Welche Menge an Essig sollte ich in die Behälter geben?\n Kann ich mit normalem Wasser nachspülen?\n Ir spielt die Art der Materialprobe keine Rolle, für das Holz, wenn die Probe Kiefer oder Eiche ist?
en_cw_000052	Du brauchst eine Waage, um die Masse jeder Probe vorher und nachher zu messen. Außerdem benötigen Sie destilliertes Wasser und eine geeignete Methode zur Beschriftung Ihrer Behälter.
en_cw_000053	Kunststoff Marmor Kalkstein
en_cw_000054	Ich müsste die genaue Menge der Reaktionsmittel wissen: Essig und destilliertes Wasser, ob die Proben in einer feuchten oder trockenen Umgebung aufbewahrt werden müssen und welche Art von Behälter zu verwenden ist.
en_cw_000055	Die Art des Materials, das zur Verfügung gestellt wird, ist es erlaubt, das Experiment allein zu wiederholen, gibt es etwas, das mit den Messergebnissen des Experiments schief gehen kann?
en_cw_000056	Welche Art von Essig, alkoholisch oder nicht, bei welcher Temperatur müssen die Proben 24 Stunden lang aufbewahrt werden?
en_cw_000057	niemand
en_cw_000060	Ich brauche vier Behälter mit Deckeln und Proben von Marmor, Kalkstein, Holz und Kunststoff, die in die Behälter passen. Ich brauche eine ausreichende Menge Essig, um alle Behälter zu füllen, damit alle Proben darin ertränkt werden können. Und ich brauche eine Waage, um die Masse zu messen.
en_cw_000061	Die Kalixa-Probe wies den größten Massenunterschied auf.\n Die Marmorprobe hatte den zweitgrößten Unterschied.\n Die Kunststoffprobe wies einen minimalen Unterschied auf.\n Die Holzprobe wies keinen Massenverlust auf.
en_cw_000062	Das Experiment zeigt, wie sich der Essig negativ auf die Masse der Materialien im Holz auswirkt.
en_cw_000063	Volumen der einzelnen Proben in Kubikzentimetern\n Dichte in Gramm pro Kubikzentimeter von Marmor, Kalkstein, Holz und Kunststoff\n Essigkonzentration oder Molarität
en_cw_000064	Es wurde die Masse bestimmt, die jeder der zugelassenen Inhaltsstoffe aufweist, indem er sie mit dem Essig in Kontakt bringt
en_cw_000065	kein Bedarf an zusätzlichen Informationen
en_cw_000066	Holz, Marmor und Kalkstein sind hervorragend
en_cw_000067	Die Menge des Essigs in jeder Probe. Größe der Behälter. Wurden die Proben vollständig in den Essig getaucht?
en_cw_000069	WARUM WIRD ESSIG BENÖTIGT, SOLLTE DER BEHÄLTER AUS EINEM BESTIMMTEN MATERIAL BESTEHEN UND WARUM BRAUCHEN WIR DESTILLIERTES WASSER?
en_cw_000070	Es wäre gut, das Material des Behälters zu kennen.\n Ich muss wissen, welche Art von Essig verwendet wird.\n Wie wird die Masse der Proben bestimmt?
en_cw_000071	Die Zugabe von Essig reduziert die Masse oder lässt sie gleich bleiben.
en_cw_000072	Auf der Grundlage der Studie können wir auf die Porosität der bereitgestellten Materialien schließen. Sie sind in der Tabelle aufgeführt. Marmor - 0,4. Kalkstein - 1,3 ist die poröseste.
en_cw_000073	Ich denke, Sie sollten Metalle wie Eisen und Aluminium sowie andere Säuren wie Schwefelsäure und Chlorsäure verwenden.
en_cw_000074	Visuelles Bild jedes Produkts am Ende des Tests, Veränderung von Textur und Farbe.
en_cw_000075	Die Menge des zu verwendenden Essigs, der Ort, an dem die Proben getrocknet werden sollen (in der Sonne/im Haus), die Art des Essigs.
en_cw_000076	Folgende zusätzliche Informationen werden benötigt: 1) Konzentration des Essigs 2) Säuregrad des Essigs 3) Menge des destillierten Wassers, das zum Spülen jeder Probe verwendet wird
en_cw_000077	Marmor mit einer starren Masse von mindestens 10,2 g hinzufügen. Holz mit einer starren Masse von mindestens 13 g hinzufügen. Marmor mit einer starren Masse von mindestens 10,2 g hinzufügen. Kunststoff mit einer starren Masse von mindestens 7,3 g hinzufügen
en_cw_000078	vier Proben nehmen\n Essig dazugeben\n jede Probe mit destilliertem Wasser spülen
en_cw_000079	die nächsten Schritte fehlen
en_cw_000080	Wie viel Essig gießen wir ein? für alle gleich?\n Kommen die Materialproben in denselben Behälter, in dem sich der Essig befindet?\n Decken wir die Behälter ab, nachdem wir die Dinge hineingelegt haben?
en_cw_000081	1. Menge des Essigs\n 2. Konzentration des Essigs\n 3. Größe des Behälters
en_cw_000082	die Menge Essig, die in jedem Behälter enthalten sein muss\n die Menge, die von destilliertem Wasser verwendet werden muss\n das Material, aus dem die Behälter hergestellt sind
en_cw_000083	1- Essigkonzentration.\n 2- die Art des Holzes.\n 3- Art des Kunststoffs.
en_cw_000084	bei welcher Temperatur die Behältnisse sein sollten
en_cw_000085	Sie benötigen eine Waage, die Proben und Behälter.
en_cw_000086	Ich benötige die chemische Zusammensetzung der einzelnen Komponenten, die Reaktion zwischen ihnen und die thermische Beständigkeit.
en_cw_000087	Ich bräuchte, die Zutaten
en_cw_000088	Trennen Sie die Mischungen\n \n wenn Sie sie zusammenfügen, sollten Sie genug schütteln\n \n Sie müssen alle entsprechenden Hygienemaßnahmen lassen
en_cw_000089	Art der Materialien (nur in der Ergebnistabelle angegeben). \n Welche Art von Waage sollte ich verwenden?
en_cw_000090	wir brauchen Schuppen, eine andere Flüssigkeit wie Öl und Sojasauce
