id	text
en_cw_000001	1. Pour vinegar quantity\n 2. containers size\n 3. how many time rinse with distilled water
en_cw_000002	I need information about the percentage of vinegar.
en_cw_000003	know how much vinegar was used in each container\n know what size/type of container to use\n know how long each sample was rinsed in distilled water..
en_cw_000004	It is important to pour vinegar in 4 samples to stand for 24 hours and wash with distilled water.\n The stone has the greatest weight loss because it washed off calcium / calcification from it.\n Wood and plastic are constant
en_cw_000005	The place where the containers were located in\n Temperature of the place where the containers were\n The amount of vinegar placed on each recipient
en_cw_000006	The ml of vinegar added to each recipient\n The volume of the recipient\n The temperature around the recipient
en_cw_000007	I don't need any additional information. I need samples, containers and that it.
en_cw_000008	as additional information it is necessary to know the result of the experiment
en_cw_000009	the wood is the least affected element with the vinegar after 24 hours was not affected in any way the limestone is the most affected of all its variation of mass is very remarkable
en_cw_000010	mix 2 samples at the same time and let stand after 40 minutes, then analyze results and then perform the procedure with the other 2 samples
en_cw_000011	1. Can do procedure with more masses.\n 2. Its better to take equal weight of starting mass.\n 3. Instead of 24 hours keep masses in vinegar for some days for better results.
en_cw_000012	It is necessary to know the amount of vinegar and concentration
en_cw_000013	Measurement of vinegar to pour into the containers\n How determine the mass\n Do the sample materials need to be the same shape and surface area
en_cw_000014	The amount of vinegar added to each container is missing\n The capacity of the containers\n Temperature\n materials
en_cw_000015	I think that a metal such as iron and aluminum should be included in the experiment, in addition to using another type of acid, sulfuric and chloridic acid.
en_cw_000016	vinegar\n material:Marble, Limestone, Wood, Plastic\n a scale to take the weight
en_cw_000017	I need to know how much vinegar is used in each sample.\n I need to know how much distilled water is used to clean the samples .\n I need to know the type of wood is. I mean from what tree he got the material
en_cw_000018	what is the level of purity of the marble\n what amount of moisture is contained in each samples\n what is the weight of each container
en_cw_000019	i need to know the acidic value of the sample elements.
en_cw_000020	It has to say what kind of material of the four types of sample it is not until the end that one deduces what they can be.\n You should also determine what the weight or average size of these samples should be.\n At the end you should check the results to know what they mean.
en_cw_000021	you need to know what amount of vinegar to put on each sample
en_cw_000022	after pouring the vinegar the mass should decrease or stay the same \n So next experiment they may watch for the mass difference
en_cw_000023	- The experiment itself does not merit replicate any.\n - The materials used as sample are of different type of hardness and therefore of resistance.\n - Vinegar, caused three of the materials used to be degraded in almost identical proportions.\n - The o
en_cw_000025	Size of the containers.\n Milliliters of vinegar to be added to the container.\n The samples must have the same size?
