id	text
en_cw_000001	1. Verter la cantidad de vinagre\n 2. tamaño de los envases\n 3. cuantas veces enjuagar con agua destilada
en_cw_000002	Necesito información sobre el porcentaje de vinagre.
en_cw_000003	saber cuánto vinagre se utilizó en cada recipiente\n saber qué tamaño/tipo de recipiente utilizar\n saber cuánto tiempo se enjuagó cada muestra en agua destilada..
en_cw_000004	Es importante verter vinagre en 4 muestras para reposar durante 24 horas y lavar con agua destilada.\N-La piedra tiene la mayor pérdida de peso porque se lavó el calcio/calcificación de la misma.\N-La madera y el plástico son constantes
en_cw_000005	El lugar en el que se encontraban los recipientes\nLa temperatura del lugar en el que se encontraban los recipientes\nLa cantidad de vinagre colocada en cada recipiente
en_cw_000006	Los ml de vinagre añadidos a cada recipiente\nEl volumen del recipiente\nLa temperatura alrededor del recipiente
en_cw_000007	No necesito ninguna información adicional. Necesito muestras, envases y ya está.
en_cw_000008	como información adicional es necesario conocer el resultado del experimento
en_cw_000009	la madera es el elemento menos afectado con el vinagre después de 24 horas no se vio afectada de ninguna manera la piedra caliza es la más afectada de todas su variación de masa es muy notable
en_cw_000010	mezclar 2 muestras al mismo tiempo y dejar reposar después de 40 minutos, analizar los resultados y luego realizar el procedimiento con las otras 2 muestras
en_cw_000011	1. Puede hacer el procedimiento con más masas. Es mejor tomar el mismo peso de la masa inicial. En lugar de 24 horas mantener las masas en vinagre durante algunos días para obtener mejores resultados.
en_cw_000012	Es necesario conocer la cantidad de vinagre y la concentración
en_cw_000013	Medida de vinagre para verter en los recipientes\nCómo determinar la masa\nLos materiales de la muestra deben tener la misma forma y superficie
en_cw_000014	Falta la cantidad de vinagre que se añade a cada recipiente\nLa capacidad de los recipientes\nLa temperatura\nlos materiales
en_cw_000015	Creo que habría que incluir en el experimento un metal como el hierro y el aluminio, además de utilizar otro tipo de ácido, el sulfúrico y el clorídico.
en_cw_000016	Material de vinagre: Mármol, Piedra Caliza, Madera, Plástico, una balanza para tomar el peso
en_cw_000017	Necesito saber la cantidad de vinagre que se utiliza en cada muestra.\N- Necesito saber la cantidad de agua destilada que se utiliza para limpiar las muestras.\N- Necesito saber el tipo de madera que es. Me refiero a de qué árbol obtuvo el material
en_cw_000018	cuál es el nivel de pureza del mármol\nqué cantidad de humedad contiene cada muestra\nqué peso tiene cada recipiente
en_cw_000019	Necesito saber el valor ácido de los elementos de la muestra.
en_cw_000020	Tiene que decir qué tipo de material de los cuatro tipos de muestra no es hasta el final que se deduce lo que pueden ser.\NTambién debe determinar cuál debe ser el peso o tamaño medio de estas muestras.\NAl final debe comprobar los resultados para saber qué significan.
en_cw_000021	hay que saber qué cantidad de vinagre poner en cada muestra
en_cw_000022	después de verter el vinagre la masa debe disminuir o permanecer igual \N Así que el próximo experimento pueden observar la diferencia de masa
en_cw_000023	- El experimento en sí no merece réplica alguna.\N- Los materiales utilizados como muestra son de diferente tipo de dureza y por tanto de resistencia.\N- El vinagre, hizo que tres de los materiales utilizados se degradaran en proporciones casi idénticas.\N- El o
en_cw_000025	Tamaño de los envases.\NMililitros de vinagre a añadir al envase.\NLas muestras deben tener el mismo tamaño?
en_cw_000026	TENGO QUE TOMAR NOTA DE LA CANTIDAD DE VINAGRE UTILIZADA EN CADA UNO DE LOS ENVASES
en_cw_000028	Condiciones del experimento, es decir, temperatura y presión. Concentración del vinagre.
en_cw_000030	#¿NOMBRE?
en_cw_000031	cómo deben presentarse las muestras, en una sola pieza o en varias piezas pequeñas o molidas
en_cw_000032	1- la condición en la que se puso la muestra\n 2- la temperatura de la sala donde se puso la muestra\n 3- cualquier factor externo adicional al experimento
en_cw_000034	Características físico-químicas del mármol.\NCaracterísticas físico-químicas de la piedra caliza.\NCaracterísticas físico-químicas de la madera.\NCaracterísticas físico-químicas del plástico.\NEfecto del vinagre en cada uno de los materiales estudiados.
en_cw_000036	Las partes exactas de las muestras de mármol, piedra caliza, madera y plástico son necesarias para un correcto experimento científico.\NLa lluvia ácida se produce y se forma cuando la humedad del aire se combina con los óxidos de nitrógeno, el dióxido de azufre o el trióxido de azufre emitidos por las fábricas, las centrales eléctricas, las calderas de calefacción y los vehículos que utilizan carbón o productos del petróleo que contienen azufre
en_cw_000038	¿Con qué materiales puedo sustituir las muestras?\N¿Puedo hacerlo con agua común si no tengo agua destilada?\N¿Puede ser cualquier tipo de vinagre?
en_cw_000039	hierro, aluminio y cobre
en_cw_000040	Es difícil para una persona que no conoce este procedimiento como tal. Deberían explicar por qué cada paso dice lo que dice. parece correcto en general, pero sería mejor si pudiéramos saber por qué aplican ese procedimiento y así poder entenderlo mejor.
en_cw_000041	después del experimento se determinó que la madera no pierde masa después de un período prolongado de vinagre.\NEl plástico al igual que la madera no se ve afectado por el vinagre y finalmente la piedra caliza tiende a ser muy afectada por el vinagre
en_cw_000042	Método para determinar la masa de las diferentes muestras.\NCantidad de vinagre que se vierte en los recipientes.\NTamaño de los recipientes utilizados.
en_cw_000043	Para replicar el experimento, hay que facilitar el tamaño y la superficie de cada muestra de material. Además, las temperaturas durante las 24 horas y los 30 minutos de secado también son importantes para la replicación.
en_cw_000044	Ninguno
en_cw_000045	la concentración de vinagre es necesaria, para saber cómo afecta a la piedra caliza, al mármol o a la madera. No creo que se necesite ninguna información adicional
en_cw_000047	Necesitaría las masas a las que se hará el procedimiento en este caso mármol, piedra caliza y madera
en_cw_000048	Este resultado describe muy pocos puntos de información.
en_cw_000049	Agua y NaCl
en_cw_000050	mármol calcáreo de plástico
en_cw_000051	¿Qué cantidad de vinagre debo poner en los contenedores?\N¿Puedo enjuagar con agua normal?\NNo importa el tipo de material de la muestra, para la madera si la muestra es de pino o roble?
