id	text
en_cw_000331	1.使用轻质塑料。  2.在塑料上打一个洞，以便悬挂。
en_cw_000332	根据表中的数据，可以得出结论：样品A和B拉伸了（A _2厘米，B 1厘米），样品C缩小了，而样品D保持不变。
en_cw_000333	结论。  不同的聚合物塑料有不同的拉伸性 塑料样品A与其他聚合物塑料相比，拉伸性最小。   塑料样品B比其他聚合物塑料具有更多的伸展性。     描述该学生可以改进实验设计和/或结果有效性的两种方法 说明在夹子上加了多少重量 提供长度的前后测量结果
en_cw_000334	取出塑料，把_一块放在一边，而另一块是牢固的。5分钟后，你可以看到材料的拉伸情况。  不同的塑料成倍地变化。
en_cw_000335	种类上增加的重量 种类的初始长度 每个种类上放的胶带的数量
en_cw_000336	a.材料D更容易拉伸，材料A在第_二次试验中拉伸得更多 b. 他们可以总共进行3次试验，然后计算出平均值
en_cw_000337	前两个样品的长度较大，样品C有_一些不足，样品D保持相同的长度。  你必须为每个样品提供相同的条件，并准确观察每个样品的重量是否相同。
en_cw_000338	乍_一看，根据结果，第一个样品更有弹性。他能够通过给每个样品添加相同的重量和使用相同长度的样品来改善结果。
en_cw_000339	在实验中，UNA是所有聚合物中最有弹性的，RE没有看到任何变化。
en_cw_000340	取_3种类型的塑料，一种比另一种更有弹性，每种塑料将被放置在相同的重量上，经过1天的时间，重量被移除，你可以看到哪种塑料拉伸得更多，哪种拉伸得更少。
en_cw_000341	结论。拉伸后的塑料有微小的差别。  _1.为了改善结果，学生应该增加实验的时间，例如，用1小时来代替5分钟。   2.为了验证结果，学生应该重复相同的程序2次以上。
en_cw_000342	a.不同类型的塑料拉伸不均等。_1）需要相同长度、宽度和厚度的塑料 2）需要相同温度的塑料和环境
en_cw_000343	a.塑料有不同程度的拉伸/弹性。从最小的拉伸到最大的。b. 没有说明是否测量了塑料的宽度或厚度，为了得出有效的结论，这些需要在各种塑料类型中保持_一致。
en_cw_000344	整个过程完美
