id	text
es_304SM51WA5HMIGOSEYW0KNAOEOOBSM	n P2, when weight is added to the material, it lengthens, but the material D remains the same, so the polymer is stiffer.
es_304SM51WA5HMIGOSEYW0KNAOLRRSBJ	a) All are even numbers and divisible by 2.nb) Order the table from smallest to largest.
es_30IQTZXKAMJTUA7HAS5YZEVXY9LX02	SAMPLES A AND B DO NOT RECOVER THE ORIGINAL LENGTH. SAMPLE C RECOVERS THE ORIGINAL LENGTH PARTIALLY. SAMPLE D RECOVERS ITS ORIGINAL LENGTH FULLY.
es_30JNVC0ORBXKWDC1MMHRBYYLOMTQHS	"a. The plastic type ""a"" demonstrated the most flexibility compared to the other plastics in the experiment. The student was able to try different types of weights and was able to leave the weighted clamp on the plastic for a longer period of time."
es_30JNVC0ORBXKWDC1MMHRBYYLQUHQHY	B is the most elastic of the four materials used in the test, he can use a pullie to test the tension.
es_30LSNF239W830PL0QT9BFS1XA0VI2G	a. The characteristics of the four plastics are different. Some are more elastic than others. \1) It is not clear how the first and second lengths were obtained. Was the plastic resting on a table or hanging when they were measured? And if they were measured differently, the length could have been affected by the weight of the plastic itself. The student had to clarify how they were measured, and the shape of the measurement had to be equal2) The weight of each plastic had to be equal since the weight of the plastic itself would affect the measurement. The experiment does not clarify whether the plastics had the same weight.
es_30MVJZJNHOQAVKQ5TK9Q1GOBXY29JD	A, the conclusion based on the student's data came out that the top performing plastic type is A.
es_30X31N5D653HZ6J08KW4PCQI19ISAY	The mass of a body measures the amount of matter it contains, while the weight measures the force with which the planet attracts that body.nnThe weight of a body is the force with which the planet attracts it. Its value is: F=m-g where g is the intensity of gravity, i.e., the force experienced by the unit of mass. nnThe mass always has the same value, while the weight depends on the value of g, which is not identical everywhere.
es_3137ONMDKIIHZERLTP49WHX6WCJEGO	ACCORDING TO THIS TABLE FOUR STUDENT FRAMES LIST BELOW THIS IS A, B, C, D. THE B STUDENT'S HIGHEST CREDIT POINT STORY IS B AND THE B STUDENT'S HIGHEST CREDIT POINT STORY AND EACH STUDENT HAS AN AVERAGE SCORE OF C AND D. THE STUDY CONTAINS A PLASTIC USE AND MAINTENANCE OF THE RESULT.
es_31IBVUNM9UCSNPHCDVN1E0LGYGBVFG	The data indicating the initial length of each of the plastic polymer samples are missing, with which one could compare the results of the first test (P1), now based on the results of the second test compared to those of the first, polymer A and B seem to be those that present a greater deformation and offer less resistance to the tensile force applied with the weights (A being the most plastic of the two), polymer C, contrary to the previous ones, seems to present elasticity since it contracted to a dimension even smaller than the one indicated in the first results, polymer D could be elastic, if it is assumed that after being subjected to the traction force with the weights in both tests, it recovered its original dimensions and did not suffer a permanent change in its structure.
es_31LM9EDVON5VKMUZUUSVJHJV391JND	plastic sticks more with static because 10 4% is more stable so the plastic sticks more
es_31Q0U3WYDRSZMKM8OY50JK1J1B371H	A) Based solely on the data presented, sample B is the most elastic. B) Since the elasticity of the material could be compromised after the first experiment, the second test should be done with a new sample of material, additionally the temperature of the sample should be controlled and standardized to be able to rule out this variable in the result.
es_31QTRG6Q2VQLIW1BW96QXT3EBTNYPR	Plastic B has more elasticity based on the data.  One way that could have been improved is to do another type of activity to determine elasticity.  The second test should have been another type of demonstration.
es_31QTRG6Q2VQLIW1BW96QXT3ECMJYPA	a. Plastic type B is the most elastic. b. The student could have improved the design of the experiment by doing more trials (P1, P2, P3, P4, ect). In addition, he could measure the initial length and the final length three times and calculate the average of these numbers to be more accurate.
es_31T4R4OBOUTJ9NW64VUK0GKADAO7CD	a. 3 of the 4 types of plastics are stretched. nb. using the same weights for all plastics and using plastics of the same size.
es_31T4R4OBOUTJ9NW64VUK0GKAGW6C7B	As the experiment shows in each polymer, but as you can see polymer D is the only one in which it does not affect any length unlike the others, you could change the length by applying a little more weight so that there is a change in length.
es_324G5B4FB5LZFV1QSF105FI9X3D70Z	a. The most elastic polymer is B, followed by D, C, and A. The student could have performed more tests with each type of polymer, since the number of data we have is small (only two samples). In addition, it would be convenient to test all four polymers at the same time, so that the experimental conditions would be the same in all replicates.
es_32M8BPYGAVZTFJT7P8U0HWVYHP5GIB	Conclusion: Materials (Polymers) B and D present a higher elasticity according to the table shown. \The student could improve his experiment if he applied different weights to the hanging end, in order to establish a more precise table of elasticity of the material according to the weight or force applied.
es_32SCWG5HIJHJZCR5QQBYE2JLCFAP6Q	My conclusion is that this experiment is not valid to know the elasticity of the samples, because after removing the weights, we don't know when that sample retracts. You can measure the samples with the weights on.
es_32UTUBMZ7I92A85W8T15VAUVB3TBVM	a) The ascending order in the elasticity of the plastics is A < C < D < B. You could have improved the experiment by performing the test more times to make sure that the result is consistent. You should also take the temperature of the plastics at the time of measurement, as it affects the elasticity of the plastics.
es_32VNZTT0A9HQW236KUM8MZZMHAWR4B	a.The four different types of plastics definitely show different levels of elasticity, but we cannot be sure that these different levels of deformation are caused by force alone; because one of the samples actually decreased in size rather than increasing as the others did.\You could have tried using materials that had the same initial sizes. You could have tried to identify other factors that might have affected the dimensions (e.g., in this experiment the temperature changes, perhaps causing these materials to expand or contract, so you might consider repeating the experiment inside a temperature-controlled room).
es_32XVDSJFP1APW8BRB8737L8EWWPM2P	put more details and drawings
es_32ZKVD547H0IYZ3DOJVZCF2CJINB39	The plastic sample seems to have expanded more with the second experiment. The student could have made a better table of the results in order to understand it better.
es_33C7UALJVNB3MYRRY3X6XKXEKDR81V	Plastic expands according to conditions and temperature.
es_33C7UALJVNB3MYRRY3X6XKXEMGH18M	a. According to the results obtained in the experiment the plastic material B obtained greater length with respect to the other materials used in the experiment. nnb. The samples of the plastic materials have to have the same dimensions with respect to the (length and thickness).nnc. In the procedure it was possible to add another test in order to get an average and get a more accurate result.
es_33F859I568QXS7AC34K1G93M3K3BH9	a) After the process P1, the plastics have been stretched enough, in relation to the weight added. In P2 as the plastics have already been stretched with the weight used in P1, the length gained is not very large, as can be observed in A and B.\In the case of C presents a loss of length which would indicate that it is a plastic with specific properties, (it is closer to the rubber). In the case of D there is no gain, it is a very moldable plastic.
es_33FOTY3KEOY5Y1H4FFDBZ6TX3HZ1C0	Plastic A has the least elasticity, the more it stretches the more elastic it is. I would measure the elasticity with the weight and the clamp. Another way to measure the elasticity is to pull the plastic from opposite sides and see how much it is able to stretch without breaking.
es_33IZTU6J83ETVJRTJUOI9K1G1GRSX9	a. Polymer B has gained more length, polymer D has gained a little less. Polymer C has gained even less, and polymer A has gained the least of all. B is the most ductile of all, and A is the least ductile. nb. One way to improve the validity of the results is simply to add more tests; two tests are not enough to eliminate statistical fluctuations. In general, it can be said that the more tests, the more accurate the results. The other way to improve the design of the experiment is to specify the initial lengths of the plastic polymers, in order to see how much they have gained in percentage.
es_33JKGHPFYE7LLU0KXR5NZ9BC5X4NMF	It can be concluded that the student obtained similar data in the two tests. The student can improve the design of the experiment by doing one more test.
es_33L7PJKHCIB4VI300MHG3QG9628T8L	I think there is a mistake with plastic C. Maybe the student can use a magnet and an electric current to release all of the weights at the same time.
es_33LK57MYLVII0ER8KCC365HR3PLZSL	a. Plastic D takes longer and is the worst. Must have more plastic samples to see better results.
es_33M4IA01QIEHU4RG45ODJAWKCZXRXC	a. Plastic B has the highest elasticity. Then the D, then the C and finally the A is the one with the lowest elasticity. To extend the results you can:1) Do the same test under different temperatures, for example one at night, one in the daytime under a roof and one in the daytime under the sun. This way you can see if the external temperature affects the elasticity. \n(2) You can also vary the weight applied to the sample, so you can see if the higher the force, the different plastics respond differently with respect to their elasticity.
es_33SA9F9TRZ7DW0HL8U8RIKJURV9WEW	I could make another preba to have 3 prebas of the experiment.
es_33TIN5LC06N0Q9L4FKATB33ZE8OY9P	The student could have used a clamp to secure the plastic at the top. The student should use a new sample of the same material in the second experiment.
es_340UGXU9D0EH67E28KI000MJ65EUV4	a. Plastic D is the one that gained more length than the other plastics. Plastic B is the second longest of the four plastics, plastic C the third longest, and plastic A gained the least amount of length. The student could have done more tests, and also could have done the experiment with more types of plastics.
es_34J10VATJHBKS8NLS4ZCBAZ0Q4AIQR	Plastic D is the most resistant to the counterweight. Plastic A is the least resistant, followed by plastic B. Plastic C retracted in length with the counterweight instead of increasing in length.
es_34Q075JO1ZQL49MO3ZKR45RWWWC10R	Firstly, whether where each of the samples of the four polymers was hung was level, or had a certain inclination. \Secondly, if the samples were hung in the shade or in the sun, because in addition to the weight of the bottom of each of them, the sun can influence the stretching of the samples in heating the plastic.
es_34V1S5K3GUEY7PBY91F1SCJ64I9967	In conclusion, this experiment shows us how much deformity is generated within the different types of plastics when subjected to a given weight for 5 minutes, in the first two cases it can be noted that 1 centimeter was gained. While in the last two cases the first one decreased one centimeter and the other remained the same. \The student could use clamps on both sides of the table, and it is not necessary to remove the clamps from the plastics.
es_34X6J5FLPVBGNJ7RAMKCNBE049LQJE	(A). plastics A and B are lengthened, while C is reduced by 1 mm and D remains exactly as before (B).
es_352YTHGROXQD78P3OPAE8VXGRVOH4F	Decreasing order according to elasticity: B, D, C, AI assume that the hanging weight was left to each polymer in equal amount of time and that all polymers start with the same initial distance, that the table only shows the length differential. I would have repeated the experiment more times, to take an average value of their length.
es_3570Y55XZRWF5J8CTQG33KPM7X5GYX	"Plolymer A appears to be the most elastic of all and B to a lesser extent. Polymer C, appears to have recovered some of its initial length, and D reached its maximum elasticity. I would look to test all four samples at the same time, for a longer time, before measuring the length. Wait about 30 minutes with the samples ""at rest"" and remeasure to determine recovery. I would repeat the experiment at least 2 times."
es_358010RM5G69NB8XDPTNK7LN1FEXV3	a. Polymers A and B have one level of elasticity, polymers C and D are not elastic.nb. Use new samples of plastics in a third experiment and change the weight added to the clamps.
es_358010RM5G69NB8XDPTNK7LN2K7VX5	a. Plastic B is the most elastic of the four samples. nb. 1- Measure the length before removing the weight, and more than twice. n 2- Find out if waiting five minutes is enough time.
es_358UUM7WR1GNFPLPMSKFPBJW64DR74	a. Depending on the type of plastic, the elasticity of polymers can increase from 10 to 20 mm. The student could have repeated the experiment, doing more tests (P3, P4, P5, etc.), to improve the validity of his conclusions. He could also have marked the exact location where he hooked the clamp on each plastic sample, to make sure that the positioning does not affect the results.
es_358UUM7WR1GNFPLPMSKFPBJW91NR7B	The table shows that C is the only one that decreases comparing p1 and p2 , the design could be improved with a more graphical table.
es_35BLDD71I8AYS68CE7H8HS1Y07IZVJ	Plastics A and B are more elastic in the second test than in the first. The opposite happens with plastic C, plastic D always behaves the same.  Plastics B and D are more elastic than the rest. Using the same temperature is always a way to improve the experiment.
es_35BLDD71I8AYS68CE7H8HS1Y7NWVZW	The polymer with the highest elasticity is B based on the distance reached in millimeters. The experiment would be improved if the specific name of each plastic used could be included and if the weight value used (aggregate) in grams was included. I would also use two different amounts of weight (grams) for each measurement to determine if each polymer remains flexible or breaks with increasing weight.
es_35GCEFQ6I71EGX6TUXB2YX9FJ2O3ZT	a. Sample D is the most resistant to physical change;nb. It could increase the number of tests, thus increasing statistical sampling and improving its experimental certainty. In addition, the experimental method can be improved as the act of attaching weights to the sample inserts uncertainty into the experiment.
es_35H6S234SCDF629M6B2KGWE4IFI56Q	polymers are long chains made up of many small chemical units, and that chain length plays a vital role in determining behavior and physical properties
es_35K3O9HUADQBLEVQI5YREWXUV7QEFG	a. P2 is better. \nb. Two ways in which the student could have improved is by raising C and raising D.
es_35LDD5557CHKDOFH0ED77HU854LMKT	a)Based on the data it can be concluded that plastic B has a higher elasticity followed by plastic D. With lower elasticity are plastic C followed by A. b)-To improve the experiment the student can increase the number of tests performed to make the results more reliable. information about the plastic samples and the amount of weight (F =ma) being applied to each should be added.
es_35LDD5557CHKDOFH0ED77HU88D9MK2	a. There are several factors that have not been identical for both cases or the polymer measurements were not exactly the same. It may also be that there is a margin of error in the length calculation. Describe how much each plastic measures before and after. Describe the qualities of each type of plastic. Establish a margin of error in measurement.
es_369J354OFFNDMZY6N7LBKT5TE87G64	We can use the strain gauge instead of using weights on the clamps. We can also use physical force by measuring a certain distance (mm) and calculating the time.
es_36AHBNMV1TPCTZYLR0FVXZMP5Z1DYV	Most plastics are the same, so the experiment did not give much relevant data to make a complete study.
es_36AHBNMV1TPCTZYLR0FVXZMPUL4DYV	a) The most elastic type of plastic is B, as it has gained the most length in the two tests. The least elastic is A. b) First, you should include the weights you have added to the clamp, and it should be the same weight throughout the experiment (i.e., apply the same weight all the time). Second, all the plastic pieces should have the same initial length, since it would make sense that the length gained would depend not only on the elasticity of the material, but also on the initial length.
es_36H9ULYP647JWUHIW69IBCAMUY5FJH	a.: When repeating the same tests, it was observed that there was no significant variation in the results obtained at the end of both tests, reaching the conclusion that the same element when exposed to the same conditions tends to repeat with a slight deviation the same behavior. b.:1) Increase the number of tests to obtain a more accurate result to the real behavior of the plastics in question. 2) Perform the experiment and/or tests in a controlled environment. Since external conditions can affect the result of the experiment, this can be seen in the slight deviation of the tabulated results.
es_36PW28KO419GPNEI7PCZ0VM3WBREAJ	a) Plastic B is the one that acquires the greatest length. b) A second time sample could have been included to see if the result changes with more time.
es_36U2A8VAG3CK754VJH1I1CHFG04YKA	The validity of the tests lies in the unduplicated results, I would have done a third test in order to determine the elasticity of the polymer with the same weight and the same time.
es_36ZN444YTTBH7WA5DR78M540CLCIO4	a. Two tests are insufficient to draw a conclusion beyond averaging the length gained in both tests. Put the weights and clamp on at the same time to have less variation e.g. in ambient temperature. Perform more than two tests.
es_374TNBHA8D86I82QWMLFXYTOEUZYQG	From the result of the experiment it can be deduced that Polymer B has the higher elasticity than the rest. The experiment can be improved by for example:\n1.- Exposing the polymers to different temperatures.\n2.- Subjecting the polymer to constant pressure with some press and check if the elasticity is higher than with the weight tests.
es_37Q970SNZGLL5I60C13BEBXFOUF1S7	A.plastic D is the most stable. calculate the weight of the plastic, and the time the test lasted.
