id	text
es_304SM51WA5HMIGOSEYW0KNAOEOOBSM	n la P2 cuando se le anade el peso al material se alarga, si embargo el material D se mantiene por lo tanto el polimero es mas rigido Los polimeros que se estrechan por la fuerza aplicada.
es_304SM51WA5HMIGOSEYW0KNAOLRRSBJ	a) Todos son numeros pares y dividibles entre 2.nb) Ordenar la tabla de menor a mayor.
es_30IQTZXKAMJTUA7HAS5YZEVXY9LX02	LAS MUESTRAS A Y B NO RECUPERAN LA LONGITUD ORIGINAL.\nLA MUESTRA C RECUPERA LA LONGITUD ORIGINAL PARCIALMENTE.\nLA MUESTRA D RECUPERA TOTALMENTE SU LONGITUD ORIGINAL.\nIDENTIFICAR LOS TIPOS DE POLÍMERO Y LOS PESOS UTILIZADOS.
es_30JNVC0ORBXKWDC1MMHRBYYLOMTQHS	"a. El tipo de plastico ""a"" demostro la mayor flexibilidad en comparasion a los demas plasticos en el experimento.\nb. El estudiante pudo intentar diferentes tipos de pesos y pudo dejar la abrazadera con pesos en el plastico por una mayor candidad de tiempo."
es_30JNVC0ORBXKWDC1MMHRBYYLQUHQHY	B es el mas elasticos de los cuatros materiales usados en la prueba, El puede usar un pullie para probar la tencion.
es_30LSNF239W830PL0QT9BFS1XA0VI2G	a. Las caracteristicas de los cuatro plasticos son diferentes. Unos mas elasticos que otros.\n\nb. \n1) No es claro como se obtuvo la primer y segunda longitud. El plastico estaba restando sobre una mesa o colgado cuando se midieron? Y si fueron medidos diferentemente, la longitud pudo haber sido afectada por el propio peso del plastico. El estudiante tuvo que aclarar como se midieron, y la forma de la medida tuvo que ser igual\n2) El peso de cada plastico tiene que ser igual ya que el propio peso del plastico afectaria la medida. El experimento no aclara si los plasticos tenian el mismo peso.
es_30MVJZJNHOQAVKQ5TK9Q1GOBXY29JD	A, la conclusion basada en los datos del estudiante salio que el tipico de plastico con mas resultados es A
es_30X31N5D653HZ6J08KW4PCQI19ISAY	La masa de un cuerpo mide la cantidad de materia que contiene, mientras que el peso mide la fuerza con que el planeta atrae a ese cuerpo.nnEl peso de un cuerpo es la fuerza con que el planeta lo atrae. Su valor es: F=m·g  donde g es la intensidad de la gravedad,  es decir, la fuerza  que experimenta la unidad de masa. nnLa masa tiene siempre el mismo valor, mientras que el peso depende del valor de g, que no es idéntico en todos los lugares.
es_3137ONMDKIIHZERLTP49WHX6WCJEGO	DE ACUERDO A ESTA TABLA CUATRO LISTA DE MARCOS DE ESTUDIANTES DEBAJO DE ESTA ES A, B, C, D. EL B HISTORIA DE PUNTOS MÁS ALTO DEL CRÉDITO DEL ESTUDIANTE B Y EL PUNTO DE PUNTO DE CRÉDITO Y CADA ESTUDIANTE TIENE UN PUNTUACIÓN MEDIA DE C y D. EL ESTUDIO CONTIENE UN USO PLÁSTICO Y EL MANTENIMIENTO DEL RESULTADO.
es_31IBVUNM9UCSNPHCDVN1E0LGYGBVFG	Faltan los datos que indican la longitud inicial de cada una de las muestras de los polimeros plasticos, con las cuales uno podria comparar los resultados de la primera prueba (P1), ahora basandonos en los resultados de la segunda prueba en comparacion a los de la primera, los polimeros A y B parecen ser los que presentan una deformacion mayor y ofrecen menos resistencia a la fuerza de traccion que se le aplica con los pesos (siendo el A el mas plastico de ambos), dado que aumentaron su longitud considerablemente luego de la segunda prueba y no retornaron a las dimensiones indicadas en la primera prueba, el polimero C al contrario de los anteriores parece presentar elasticidad ya que se contrajo a una dimension incluso menor a la indicada en los primeros resultados, el D podria ser elastico, si se asume que luego de ser sometido a la fuerza de traccion con los pesos en ambas pruebas, volvio a recuperar sus dimensiones originales y no sufrio un cambio permanente en su estructura.
