id	text
es_304SM51WA5HMIGOSEYW0KNAOEOOBSM	n P_2 lorsque l'on ajoute du poids au matériau, il s'allonge, mais le matériau D reste le même, le polymère est donc plus rigide Les polymères qui sont rendus plus étroits par la force appliquée.
es_304SM51WA5HMIGOSEYW0KNAOLRRSBJ	a) Tous sont des nombres pairs et divisibles par _2.nb) Classez le tableau du plus petit au plus grand.
es_30IQTZXKAMJTUA7HAS5YZEVXY9LX02	LES ÉCHANTILLONS A ET B NE RÉCUPÈRENT PAS LA LONGUEUR ORIGINALE. L'ÉCHANTILLON C RÉCUPÈRE PARTIELLEMENT LA LONGUEUR ORIGINALE. L'ÉCHANTILLON D RÉCUPÈRE COMPLÈTEMENT SA LONGUEUR ORIGINALE.
es_30JNVC0ORBXKWDC1MMHRBYYLOMTQHS	"a. Le plastique de type ""a"" a démontré la plus grande flexibilité par rapport aux autres plastiques de l'expérience. L'élève a pu essayer différents types de poids et a pu laisser la pince avec les poids sur le plastique pendant une période plus longue."
es_30JNVC0ORBXKWDC1MMHRBYYLQUHQHY	B est le plus élastique des quatre matériaux utilisés dans le test, il peut utiliser une tirette pour tester la tension.
es_30LSNF239W830PL0QT9BFS1XA0VI2G	a. Les caractéristiques des quatre plastiques sont différentes. Certains sont plus élastiques que d'autres. \_1) La façon dont la première et la deuxième longueur ont été obtenues n'est pas claire. Le plastique était-il posé sur une table ou suspendu lorsqu'il a été mesuré ? Et si elles ont été mesurées différemment, la longueur a pu être affectée par le poids du plastique lui-même. L'élève devait préciser la façon dont ils étaient mesurés et la forme de la mesure devait être égale. 2) Le poids de chaque plastique devait être égal car le poids du plastique lui-même affecterait la mesure. L'expérience ne permet pas de savoir si les plastiques étaient de poids égal.
es_30MVJZJNHOQAVKQ5TK9Q1GOBXY29JD	A, la conclusion basée sur les données de l'étudiant est que le plastique typique ayant les meilleurs résultats est A.
es_30X31N5D653HZ6J08KW4PCQI19ISAY	La masse d'un corps mesure la quantité de matière qu'il contient, tandis que le poids mesure la force avec laquelle la planète attire ce corps.nnLe poids d'un corps est la force avec laquelle la planète l'attire. Sa valeur est : F=m-g où g est l'intensité de la gravité, c'est-à-dire la force subie par l'unité de masse. nnLa masse a toujours la même valeur, alors que le poids dépend de la valeur de g, qui n'est pas identique partout.
es_3137ONMDKIIHZERLTP49WHX6WCJEGO	D'APRÈS CE TABLEAU QUATRE LISTE D'ÉTUDIANTS CADRES EN DESSOUS C'EST A, B, C, D. LE PLUS HAUT POINT DE CRÉDIT DE L'ÉTUDIANT B HISTOIRE B ET LE POINT DE CRÉDIT HISTOIRE B ET CHAQUE ÉTUDIANT A UN SCORE MOYEN DE C ET D. L'ÉTUDE CONTIENT UNE UTILISATION DE PLASTIQUE ET LA MAINTENANCE DU RÉSULTAT.
es_31IBVUNM9UCSNPHCDVN1E0LGYGBVFG	Il manque les données indiquant la longueur initiale de chacun des échantillons de polymères plastiques, avec lesquelles on pourrait comparer les résultats du premier test (P_1), or sur la base des résultats du second test en comparaison avec ceux du premier, les polymères A et B semblent être ceux qui présentent une plus grande déformation et offrent moins de résistance à la force de traction appliquée avec les poids (A étant le plus plastique des deux), le polymère C, contrairement aux précédents, semble présenter une élasticité puisqu'il s'est contracté à une dimension encore plus petite que celle indiquée dans les premiers résultats, le polymère D pourrait être élastique, si l'on suppose qu'après avoir été soumis à la force de traction avec les poids dans les deux essais, il a retrouvé ses dimensions initiales et n'a pas subi de changement permanent dans sa structure.
es_31LM9EDVON5VKMUZUUSVJHJV391JND	Le plastique adhère davantage à l'électricité statique parce que les _10% sont plus stables, donc le plastique adhère davantage.
es_31Q0U3WYDRSZMKM8OY50JK1J1B371H	A) En se basant uniquement sur les données présentées, l'échantillon B est le plus élastique. Étant donné que l'élasticité du matériau pourrait être compromise après la première expérience, le deuxième test devrait être effectué avec un nouvel échantillon de matériau, de plus la température de l'échantillon devrait être contrôlée et standardisée pour pouvoir exclure cette variable du résultat.
es_31QTRG6Q2VQLIW1BW96QXT3EBTNYPR	D'après les données, le plastique B a plus d'élasticité.  Une façon qui aurait pu être améliorée est de faire un autre type d'activité pour déterminer l'élasticité.  Le deuxième test aurait dû être un autre type de démonstration.
es_31QTRG6Q2VQLIW1BW96QXT3ECMJYPA	a. Le type de plastique B est le plus élastique. L'étudiant aurait pu améliorer la conception de l'expérience en faisant plus de tests (P_1, P2, P3, P4, ect). En outre, il pourrait mesurer la longueur initiale et la longueur finale trois fois et calculer la moyenne de ces chiffres pour être plus précis.
es_31T4R4OBOUTJ9NW64VUK0GKADAO7CD	a. _3 des 4 types de plastiques sont étirés. nb. utiliser les mêmes poids pour tous les plastiques et utiliser des plastiques de même taille.
es_31T4R4OBOUTJ9NW64VUK0GKAGW6C7B	Comme le montre l'expérience pour chaque polymère, mais comme vous pouvez le voir le polymère D est le seul dans lequel aucune longueur n'est affectée contrairement aux autres, vous pourriez changer la longueur en appliquant un peu plus de poids sur lui afin qu'il y ait un changement de longueur.
es_324G5B4FB5LZFV1QSF105FI9X3D70Z	a. Le polymère le plus élastique est B, suivi de D, C et A. L'étudiant aurait pu faire plus de tests avec chaque type de polymère, car le nombre de données dont nous disposons est faible (seulement deux échantillons). En outre, il aurait été préférable de tester les quatre polymères en même temps, afin que les conditions expérimentales soient les mêmes pour toutes les répliques.
es_32M8BPYGAVZTFJT7P8U0HWVYHP5GIB	Conclusion : les matériaux (polymères) B et D ont une plus grande élasticité selon le tableau présenté. \L'élève aurait pu améliorer son expérience s'il avait appliqué différents poids à l'extrémité suspendue, afin d'établir un tableau plus précis de l'élasticité du matériau en fonction du poids ou de la force appliquée.
es_32SCWG5HIJHJZCR5QQBYE2JLCFAP6Q	Ma conclusion est que cette expérience n'est pas valable pour connaître l'élasticité des échantillons, car après avoir retiré les poids, nous ne savons pas quand l'échantillon se rétracte.
es_32UTUBMZ7I92A85W8T15VAUVB3TBVM	a) L'ordre croissant de l'élasticité des plastiques est A < C < D < B. b) Vous auriez pu améliorer l'expérience en faisant le test plus de fois, pour vous assurer que le résultat est cohérent. Vous devez également prendre la température des plastiques au moment de la mesure, car elle affecte l'élasticité des plastiques.
es_32VNZTT0A9HQW236KUM8MZZMHAWR4B	a. Les quatre différents types de plastique présentent sans aucun doute différents niveaux d'élasticité, mais nous ne pouvons pas être sûrs que ces différents niveaux de déformation sont causés par la force seule, car l'un des échantillons a en fait diminué de taille au lieu d'augmenter comme les autres. \Vous auriez pu essayer d'utiliser des matériaux ayant les mêmes dimensions initiales. Vous auriez pu essayer d'identifier d'autres facteurs qui auraient pu affecter les dimensions (par exemple, dans cette expérience, la température change, ce qui peut faire se dilater ou se contracter ces matériaux, vous pourriez donc envisager de répéter l'expérience dans une pièce à température contrôlée).
es_32XVDSJFP1APW8BRB8737L8EWWPM2P	ajoutez des détails et dessinez des images
es_32ZKVD547H0IYZ3DOJVZCF2CJINB39	L'échantillon de plastique semble s'être davantage dilaté lors de la deuxième expérience. L'étudiant aurait pu faire un meilleur tableau des résultats afin de mieux les comprendre.
es_33C7UALJVNB3MYRRY3X6XKXEKDR81V	Le plastique se dilate en fonction des conditions et de la température.
es_33C7UALJVNB3MYRRY3X6XKXEMGH18M	a. D'après les résultats obtenus dans l'expérience, le matériau plastique B était plus long que les autres matériaux utilisés dans l'expérience. nnb. Les échantillons de matières plastiques doivent avoir les mêmes dimensions en ce qui concerne la (longueur et l'épaisseur). nnc. Dans la procédure, il était possible d'ajouter un autre test afin de faire la moyenne et d'obtenir un résultat plus précis.
es_33F859I568QXS7AC34K1G93M3K3BH9	a) Après le processus P_1, les plastiques ont été suffisamment étirés par rapport au poids ajouté. En P2, comme les plastiques ont déjà été étirés avec le poids utilisé en P1, la longueur gagnée n'est pas très importante, comme on peut le voir en A et B. \Dans le cas de C, il y a une perte de longueur qui indiquerait qu'il s'agit d'un plastique aux propriétés spécifiques (il est plus proche du caoutchouc). Dans le cas de D, il n'y a pas de gain, c'est un plastique très moulable.
es_33FOTY3KEOY5Y1H4FFDBZ6TX3HZ1C0	Le plastique A est le moins élastique, plus il s'étire, plus il est élastique. Je mesurerais l'élasticité avec le poids et la pince. Une autre façon de mesurer l'élasticité est de tirer sur le plastique depuis des côtés opposés et de voir jusqu'à quel point il peut s'étirer sans se casser.
es_33IZTU6J83ETVJRTJUOI9K1G1GRSX9	a. Le polymère B a gagné en longueur, le polymère D en a gagné un peu moins. Le polymère C a gagné encore moins, et le polymère A a gagné le moins de tous. B est le plus ductile de tous, et A est le moins ductile. nb. Une façon d'améliorer la validité des résultats est simplement d'ajouter des tests supplémentaires ; deux tests ne suffisent pas à éliminer les fluctuations statistiques. En général, on peut dire que plus les tests sont nombreux, plus les résultats sont précis. L'autre façon d'améliorer la conception de l'expérience est de spécifier les longueurs initiales des polymères plastiques, afin de voir combien ils ont gagné en pourcentage.
es_33JKGHPFYE7LLU0KXR5NZ9BC5X4NMF	On peut en conclure que l'étudiant a obtenu des données similaires dans les deux tests. L'étudiant peut améliorer la conception de l'expérience en effectuant un test supplémentaire.
es_33L7PJKHCIB4VI300MHG3QG9628T8L	Je pense qu'il y a une erreur avec le plastique C. Peut-être que l'élève pourrait utiliser un aimant et un courant électrique pour libérer tous les poids en même temps.
