id	text
fr_020001	a Führe einen zweiten Versuch (T_2) genau wie den ersten Versuch (T1) durch. b)Klebe die Oberkante der Kunststoffprobe auf einen Tisch, sodass sie frei an der Seite des Tisches hängt.
fr_020002	a. Kunststoff vom Typ D hat eine höhere Steifigkeit b._1 nehmen Sie 3 Messungen in 1 Test vor und nehmen Sie den Durchschnitt b.2 Die Kunststoffproben müssen gleich dick sein.
fr_020003	Der Schüler ist überfordert.
fr_020004	Kunststoff B scheint am empfindlichsten auf Dehnung zu reagieren. Ich hätte wahrscheinlich mehr Präzision bezüglich der Art des verwendeten Gewichts geboten.
fr_020005	A. Die Ergebnisse vor und nach den Experimenten sind sehr ähnlich. Das bedeutet, dass der Kunststoff dazu neigt, seine Größe zu behalten, aber in dem Fall, dass er kleiner geworden ist, könnte die Temperatur eine Rolle gespielt haben oder sogar das Messsystem b. Stellen Sie sicher, dass die Temperatur und das Messsystem berücksichtigt werden.
fr_020006	das Experiment sehr gut ist und die Schüler es besser machen.
fr_020007	a.Alle vier getesteten polymeren Kunststoffe haben sich nach dem Dehnen dauerhaft verformt.b. Um den Test zu verbessern, sollten die Proben identische Abmessungen haben und die Masse der Gewichte sollte für jede Probe gleich sein.
fr_020008	Es zeigt sich, dass die Kunststoffe A, B und D eine gute Dehnung aufweisen, während Kunststoff C anfängt, seine Dehnung zu verlieren. Der Schüler könnte fortfahren, indem er weitere Gewichte hinzufügt oder versucht, die Kunststoffe über eine bestimmte Distanz zu ziehen.
fr_020009	a. Es wird geschlussfolgert, dass die Proben mit den Kunststofftypen A und B im Durchschnitt um _1,5 mm gewachsen sind. Die Probe des Typs C verringerte sich um 1 mm und die Probe des Typs D zeigte keine Veränderung ihrer Ausgangslänge. b. Um eine höhere Validität der Untersuchung zu erreichen, könnte der Schüler Proben mit derselben Ausgangslänge auswählen, um die Proben mit den Kunststofftypen zu vergleichen. Als weitere Möglichkeit, die Studie zu verbessern, könnte der Schüler das Experiment dreimal wiederholen, um den Mittelwert der Ergebnisse für jede untersuchte Kunststoffart zu finden.
fr_020010	1.Entnehmen Sie eine Probe von einer Kunststoffart und messen Sie die Länge der Probe.  2.Kleben Sie die Oberkante der Kunststoffprobe auf einen Tisch, sodass sie frei auf der Seite des Tisches hängt.  3.Befestige eine Klammer an der unteren Kante des Kunststoffmusters.  4.Fügen Sie der Klammer Gewichte hinzu und lassen Sie sie fünf Minuten lang hängen.  5.Entfernen Sie die Gewichte und die Klemme und messen Sie die Länge der Kunststoffarten.
