id	text
fr_010001	we can label the containers of samples pouring other substance find a precise value
fr_010002	1. where are the samples? 2. how much vinegar? 3. what kind of vinegar? 4. what do i use to weigh the samples?
fr_010003	marble, limestone, plastic
fr_010004	In order to replicate the experiment, I would first need to know how much vinegar they used in each container. I would also need to know where they placed their containers for _24 hours (in what environment). Finally, I would need to know if the samples were sitting and drying in the sun or indoors in a climate controlled environment.
fr_010005	1. you would need a scale to weigh the mass before and after 2. you would need a container and a label for each sample 3. you would need a piece of each sample of material
fr_010006	To carry out the procedure, we need to make sure that the containers are clean, use a balance with precision to better diagnose the evolution of the weight of the substances and increase the time during which the samples are left to rest in step _5 because some substances can change its weight.
fr_010007	Should the experiment be performed at room temperature? What type of container should be used, should we use a beaker? Should the _30 minute drying be done in the open air or should we use a hot plate or flame? What type of balance is needed to determine the mass, do we need a high precision balance that can express reliable masses to the nearest mg?
fr_010008	Container capacity, amount of vinegar to be poured, weight of samples
fr_010009	1 - Students should provide an accurate scale to measure the samples. 2 - Students need to check if the scale is calibrated, as every gram is important and will make a difference in the outcome of the study. 3 - Students need to make sure that the materials are pure and contain no mixtures.
fr_010010	This would need to be explained a little more clearly for someone who knows absolutely nothing about science. Indeed, I am confused about the starting and ending mass? How much should I put in the starting or ending mass?
fr_010011	Room temperature, quantity of vinegar, washing time
fr_010012	1) Vinegar can damage the marble. When vinegar meets limestone in marble, a chemical reaction occurs. ... As the vinegar reacts with the marble chips, its low pH is raised to a higher number and less acidic. As a result of the chemical reaction, bubbles or foam are formed. 2.  Vinegar, an acid, dissolves pieces of a material called calcium carbonate in the limestone. This releases carbon dioxide, a gas that rises to the surface as a stream of bubbles. Rocks that do not contain calcium carbonate will not fizz. 3.Once the vinegar and milk were mixed, the reaction occurred and the protein was denatured. ... The vinegar and milk react to form curds (a solid) and whey (a liquid). These curds cannot be returned to the vinegar and milk. Once the curds are completely dry, they form a usable plastic.
fr_010013	I would need to know how much vinegar they poured into each vat, and what type of specific materials it was. For example, what type of plastic they used.
fr_010014	we also need to include the mass of the dried sample, because as the water dries out, the mass will become lighter than the mass weight provided.
fr_010015	LET THE SAMPLES SIT AND DRY FOR _30 MINUTES TO DETERMINE THE MASS OF THE SAMPLE
fr_010016	This is the correct procedure.
fr_010017	quantity of vinegar, student's name & exact time
fr_010018	1. What is the hypothesis of this experiment? 2. What should the sample size be? 3. Should it be done indoors or outdoors?
fr_010019	1. Compare the expected results with those obtained 2. Analyze the experimental error.  3. Explain your results in terms of theoretical questions.
fr_010020	The additional information required to reproduce the procedure is: the method to be used to determine the mass of the four samples: instrument to be used and the degree of accuracy of the measurement to be made, and the amount of vinegar to be poured into each container.
fr_010021	I would measure the pH of the vinegar, and also use the same volume of liquid for each sample. Also I would add the % difference of original mass.
fr_010022	all the information is in the box
fr_010023	In order to reproduce the experiment, you would need additional information such as the amount of vinegar poured into each container. Also, you would need to know the size of the container.
fr_010024	REMOVE THE SAMPLES AND RINSE EACH ONE IN WOOD.
fr_010025	Find the difference between the indication mass and the final mass for each sample. Which sample had a large mass deviation after _24 hours? Which sample had a small deviation in mass? What conclusion can you draw based on the observations?
fr_010026	1. How much vinegar was used. 2. Is the same vinegar used again? 3. What type of vinegar is used?
fr_010027	It would be interesting to evaluate the ambient temperature before testing
fr_010028	Place a sample of one material in a container and label it. Repeat with the remaining samples, placing one sample in one container .
fr_010029	Determine the mass of four different samples,Place one sample of a material in a container and label it. Repeat with the remaining samples, placing a single sample in a single container, Determine the mass of each sample.
fr_010030	Pour vinegar into each of four separate but identical containers. Place a sample of one material in a container and label it. Repeat with the remaining samples, placing a single sample in a single container. After _24 hours, remove the samples from the containers and rinse each sample with distilled water. No further information needed, the directions were very straightforward.
fr_010031	The amount of vinegar poured into the containers, and the size and type of the containers. The procedure for determining the mass of the samples.
fr_010032	The mass of substance decreased after the experiment.The limestone, when it reacts with the vinegar, dissolves pieces of a material called calcium carbonate in the limestone. This releases carbon dioxide, a gas that rises to the surface as a stream of bubbles, it reduces the mass of limestone.Bios is not an acid, so it does not react with vinegar
fr_010033	It also contains important information and the most sought after details, so I don't want anything else.
fr_010034	The student was overwhelmed.
fr_010035	A chemical reaction occurs when certain substances react with each other, sometimes there are very visible facts that confirm the occurrence and, among them, we can highlight: release of gas and light, change of color and smell, formation of precipitates
fr_010036	1. 1. Make sure the scale is properly calibrated 2. Always use the same balance 3. Check the weight of all samples at the same time
fr_010037	1. It is important to use a balance with good accuracy to weigh the materials being analyzed. 2. Wait 24 hours according to the manual, as the right time is important for the proper conduct of the experiment. 3. When weighing the material after drying, be sure not to note the difference in mass.
fr_010038	I need a calculator and measuring instruments
fr_010039	Measure the amount of vinegar,Measure the time correctly,
fr_010040	What is the sample material and how much sample is enough for the procedure mentioned in step _3? And at what temperature should the containers be left in the 24 hours waiting time of step 4?
fr_010041	GOOD INFORMATION EASY TO LEARN. WELL TESTED
fr_010042	Samples should have the same mass before the experiment begins, Use an ultra-accurate balance, Leave samples in a closed and protected area, free from environmental interference
fr_010043	Standardize and document the experimental protocols,Increase the transparency of the data and statistics,Indeed, you have to make modifications to the experiment to reproduce the data, always with the aim of obtaining the same results
fr_010044	the mass of the objects can be measured with specific equipment after _30 minutes of waiting, it is necessary to add reagents so that the mass can be calculated if some substances such as oxen
fr_010045	1) Make sure that each sample size is the same. 2) Find out what the real purpose of the experiment is, to know the best method of experimentation. 3) Find out exactly how much vinegar is needed for each sample.
fr_010046	Pour vinegar into each of four separate but identical containers.
fr_010047	The wood sample should show no change in mass.  Vinegar is an excellent product for cleaning lime deposits.  Do not clean plastic containers with vinegar because of corrosion residue.
fr_010048	I don't think there is anything missing from this experiment
fr_010049	You need to know the PH of each sample.
fr_010050	they should include time, total value and do an analysis on the results
fr_010051	I would need to know the equipment that was used to take the mass and measurements. I need to know the type of vinegar. I want to know the drying environment
fr_010052	- Which vinegar to use (wine, white, cider...)? - At what temperature should the samples be stored and where? - Can we use any type of container (glass, plastic, transparent, opaque,...) ?
fr_010053	I do not know
fr_010054	1. What I will use to measure the sample 2. How many times should I repeat the survey 3. Any apparatus needed
fr_010055	1. amount of vinegar in each receptacle 2. whether or not to immerse the entire sample in vinegar 3. rinsing time
fr_010056	total mass, hardness, density
fr_010057	The information presented was start, end and weight change data
fr_010058	the oxen have the highest result compared to the others
fr_010059	how much wine to pour? what is the container?
fr_010060	In order to perform this experiment, I would like to know how much Vinger was used. I would also like to know if the vinegar completely covers the objects. It is also important to know how much water is used and how long each sample is washed.
fr_010061	student has successfully completed
fr_010062	1. Determined the mass of four different samples.  2. Pour vinegar into each of four separate, but identical containers.  3. Place a sample of one material in a container and label it. Repeat with the remaining samples, placing a single sample in a single container.  4. After 24 hours, remove the samples from the containers and rinse each sample with distilled water. 5. Allow the samples to sit and dry for 30 minutes.  6. Determine the mass of each sample.  The student data is recorded in the table below.
fr_010063	The amount of vinegar poured into the containers would be needed. Know the type of vinegar. Know in detail the types of samples (type of wood, plastic, ...)
fr_010064	name of the samples used, how much vinegar was used, how the mass was determined
fr_010065	This is an opportunity to collect additional information from the participants that you may need for the training.
fr_010066	Know how much liquid was poured into each container. Be sure to use the same container. Make sure the liquid is stored in the same type of environment.
