id	text
fr_020001	a) Realice una segunda prueba (T_2) exactamente igual que la primera prueba (T1). b) Fije con cinta adhesiva el borde superior de la muestra de plástico a una mesa de forma que cuelgue libremente sobre el lateral de la misma.
fr_020002	a. el plástico de tipo D tiene una mayor rigidez b._1 tomar 3 medidas en 1 ensayo y sacar la media b.2 las muestras de plástico deben ser de igual grosor
fr_020003	El estudiante ha sido superado.
fr_020004	El plástico B parece ser el más sensible al estiramiento. Probablemente habría ofrecido más precisión sobre el tipo de peso utilizado.
fr_020005	A. los resultados antes y después de los experimentos son muy parecidos. esto significa que el plástico tiende a mantener su tamaño, pero en el caso en que se hizo más pequeño, la temperatura podría haber jugado un papel, o incluso el sistema de medición b. asegúrese de que la temperatura y el sistema de medición se tienen en cuenta
fr_020006	el experimento es muy bueno y los estudiantes lo hacen mejor.
fr_020007	a.Los cuatro plásticos poliméricos ensayados sufrieron una deformación permanente tras el estiramiento.b. Para mejorar la prueba, las muestras deben ser del mismo tamaño y los pesos deben ser los mismos para cada muestra.
fr_020008	Los plásticos A, B y D tienen un buen estiramiento, el plástico C empieza a perder su estiramiento. El alumno puede continuar añadiendo más pesos o intentando tirar de los plásticos a una distancia determinada.
fr_020009	a. Se concluye que las muestras con los tipos de plástico A y B han aumentado una media de _1,5 mm. La muestra tipo C disminuyó en 1 mm y la muestra tipo D no mostró ningún cambio en su longitud inicial. b. Para obtener una mayor validez de la investigación, el estudiante podría elegir muestras con la misma longitud inicial para comparar las muestras con los tipos de plástico. Como otra forma de mejorar el estudio, el alumno podría repetir el experimento 3 veces para hallar la media de los resultados de cada tipo de plástico analizado.
fr_020010	1) Toma una muestra de un tipo de plástico y mide su longitud.  Pega el borde superior de la muestra de plástico a una mesa para que cuelgue libremente sobre el lateral de la misma.  Coloque una pinza en el borde inferior de la muestra de plástico.  Añade pesas a la pinza y deja que cuelguen durante cinco minutos.  Retira los pesos y la pinza, y mide la longitud de los tipos de plástico.
