id	text
fr_020001	a Effectuer un deuxième essai (T_2) exactement comme le premier essai (T1).  b)Coller le bord supérieur de l’échantillon de plastique sur une table afin qu’il soit suspendu librement sur le côté de la table.
fr_020002	a. le plastique de type D a une meilleure rigidité b._1 take 3 measurements in 1 test and take the average b.2 les échantillons en plastique doivent être d'épaisseur égale
fr_020003	L'élève a été dépassé.
fr_020004	La plastique B semble être le plus sensible à l'étirement. J’aurais sans doute offert plus de précision sur le type de poids utilisé.
fr_020005	A. lles résultats avant et après les expériences sont très proches. cela signifie que le plastique a tendance à garder sa taille, mais dans le cas où il est devenu plus petit, la température pourrait avoir joué un rôle, ou même le système de mesure b. assurez-vous que la température et le système de mesure sont pris en compte
fr_020006	l'expérience est très bonne et les étudiants la rendent meilleure.
fr_020007	a.Les quatres plastiques polymères testés ont subits des déformations permanentes après étirement.b. Pour améliorer le test, les échantillons doivent être de dimensions identiques et la masse des poids doit être la même pour chaque échantillons.
fr_020008	On constat les plastiques A, B et D possèdent un bon étirement, le plastique C commence par perdre son étirement. L'étudiant pourrait continué par ajouté d'autre poids ou éssayer de tirer les plastiques sur une distance donné.
fr_020009	a. il est conclu que les échantillons avec les types de plastiques A et B ont augmenté en moyenne de _1,5 mm. L'échantillon de type C a diminué de 1 mm et l'échantillon de type D n'a montré aucun changement dans sa longueur initiale.   b.  pour obtenir une plus grande validité de la recherche, l'étudiant pourrait choisir des échantillons avec la même longueur initiale pour comparer les échantillons avec les types de plastiques. Autre façon d'améliorer l'étude, l'étudiant pourrait répéter l'expérience 3 fois pour trouver la moyenne des résultats pour chaque type de plastique analysé.
fr_020010	1.Prélever un échantillon d’un type de plastique et mesurer sa longueur.  2.Coller le bord supérieur de l’échantillon de plastique sur une table afin qu’il soit suspendu librement sur le côté de la table.  3.Fixer une pince au bord inférieur de l’échantillon de plastique.  4.Ajouter des poids à la pince et laissez-les suspendre pendant cinq minutes.  5.Retirer les poids et la pince, et mesurez la longueur des types de plastique.
