id	text
en_000001	Einige zusätzliche Informationen, die wir benötigen würden, um das Experiment zu wiederholen, sind, wie viel Essig in jeden identischen Behälter gegeben werden sollte, wie oder welches Werkzeug verwendet werden sollte, um die Masse der vier verschiedenen Proben zu messen und wie viel destilliertes Wasser verwendet werden sollte, um die vier Proben zu spülen, nachdem sie aus dem Essig genommen wurden.
en_000002	Nachdem ich die Aufgabe gelesen hatte, wurde mir klar, dass die zusätzlichen Informationen, die man braucht, um die Aufgabe zu wiederholen, erstens die Menge an Essig sind, die man in jeden Behälter geschüttet hat, zweitens die Behälter beschriften, bevor man mit der Aufgabe beginnt, und drittens eine Schlussfolgerung schreiben, um sicherzustellen, dass die Ergebnisse korrekt sind.
en_000003	Du brauchst mehr Versuche, eine Kontrollvorrichtung und eine genaue Menge Essig, die du in jeden Becher schüttest. Sie könnten auch alle _30 Minuten oder 1 Stunde die Masse messen und überprüfen.
en_000004	Die Schüler sollten auflisten, welches Gestein besser und welches schlechter im Verfahren ist.
en_000005	Damit die Schüler einen Nachbau anfertigen können, müssen sie angeben, wie viel Essig verwendet wird und welche Materialien für den Nachbau benötigt werden.
en_000006	Ich bräuchte Informationen darüber, warum man die verschiedenen Proben aus den Behältern trocknen lässt. Und in was werden sie getrocknet?
en_000007	Die Informationen, die ich benötige, um das Experiment erfolgreich zu wiederholen, sind die korrekte Messung, die für das Experiment verwendet wurde, sowie die Materialien, die für die Erstellung des Experiments verwendet wurden. Nach den _24 Stunden werden die Proben aus dem Behälter genommen und mit destilliertem Wasser abgespült. Eine Trocknungszeit von 30 Minuten reicht möglicherweise nicht aus, um die Masse der einzelnen Proben wirklich zu bestimmen, vor allem, wenn man mehr als eine Probe mit unterschiedlicher Beschaffenheit zu untersuchen hat.
en_000008	Man bräuchte viel mehr Informationen, um das Experiment zu wiederholen. Sie müssten die Art der Proben kennen, mit denen Sie das Verfahren beginnen. Sie müssten auch die Menge des in jedem Behälter verwendeten Essigs kennen. Außerdem müssen Sie genau wissen, wie Sie die Proben einwiegen und welche Art von Behältern Sie verwenden müssen (Plastik zum Beispiel könnte die Ergebnisse verändern).
en_000009	Einige zusätzliche Informationen, die Sie benötigen, sind das Material. Sie müssen auch die Größe des Behälters kennen, um zu messen, wie sich der saure Regen auf ihn ausgewirkt hat. Sie müssen wissen, wie viel Essig für jede Probe verwendet wird. Außerdem muss man wissen, wie groß die Probensteine sind, indem man die bestmögliche Messung vornimmt.
en_000010	Um das Experiment zu wiederholen, müssen wir Informationen hinzufügen, wie z.B. sticlenx Erklärung, was die vier Proben sind und wie viele Stücke Sie benötigen, sowie die Menge an Essig bringen in die Behälter gegossen und die Instrumente, die Sie benötigen, um bei der Bestimmung der Masse abzurufen.Allerdings werden Überarbeitungen der Sätze und renuminering erforderlich sein.
en_000011	Eine zusätzliche Information, die ich brauche, um das Experiment zu wiederholen
en_000012	Zu den zusätzlichen Informationen, die Sie benötigen, um das Experiment zu wiederholen, gehört die Größe der Proben. Außerdem müssen Sie die Art des Essigs kennen. Außerdem ist es wichtig, die gleiche Art und Größe der Behälter zu verwenden.
en_000013	Für die Wiederholung des Experiments sind zwei zusätzliche Informationen erforderlich. Erstens ist in der Anleitung nicht offiziell angegeben, um welche vier Proben es sich handelt. Außerdem wird nicht angegeben, wie viel Essig in jedes Gefäß gegossen werden soll. Ein gutes Verfahren hätte Folgendes festgelegt
en_000014	Um das Experiment zu wiederholen, benötigen Sie
en_000015	Nun, was ich von diesem Verfahren verstehe, ist, dass du vier Proben nimmst, sie in verschiedene Behälter gibst, die gleich aussehen, Essig auf jede Probe gibst und sie schließlich mit normalem Wasser ausspülst und sie _30 Minuten lang stehen lässt, bis sie trocken sind. Dann kannst du endlich den Unterschied zwischen den Proben sehen.
en_000016	Ich weiß nicht, was hier los ist!
en_000017	Um dieses Experiment zu wiederholen, müsste ich die Form der einzelnen Materialien kennen, denn die Menge der Oberfläche, die sich auf die Essigmasse ausdehnt, verändert die Ergebnisse. Ich müsste auch wissen, wie viel Essig und welche Behältergröße ich verwenden muss, um das Experiment genau zu wiederholen.
en_000018	Die zusätzlichen Informationen, die ich benötige, sind eine Hypothese, um vorherzusagen, welche Probe die höchste Masse an saurem Regen haben wird. Danach muss ich meine abhängigen und unabhängigen Variablen aufstellen, damit ich feststellen kann, dass sich die Masse der einzelnen Proben unterscheidet. Ich werde die Daten ordnen, um zu sehen, ob die Informationen korrekt sind. Dann werde ich die Schlussfolgerung schreiben, um zu sehen, ob meine Hypothese richtig war und ob meine Ergebnisse korrekt waren.
en_000019	Um dieses Experiment zu wiederholen, bräuchte ich eine Schreckschraube, um die Masse zu ermitteln. Als nächstes würde ich Klebeband und Marker benötigen, um die Behälter zu beschriften. Schließlich brauche ich alle _4 Proben und Messzylinder als Behälter, um dieses Experiment zu wiederholen.
