id	text
en_025949	schwarz :: schwarz könnte sich auf die hundehütte auswirken, weil die hundehütte dann zu heiß für den hund werden kann. ich weiß das, weil in den ergebnissen schwarz am heißesten wurde.
en_025950	weiß :: Weiß, weil man nicht möchte, dass es dem Hund zu heiß wird.
en_025951	weiß :: die farbe weiß reflektiert die sonnenstrahlen, denn im labor hatte die farbe weiß die niedrigste temperatur, und schwarz absorbierte die wärme, so dass es heißer war, und wenn sie die hundehütte schwarz gestrichen hätten, wäre der hund zu heiß geworden und gestorben. also weiß
en_025952	weiß :: Diese Farbe hält die Hundehütte kühler, weil sie sich nicht so schnell aufheizt. Die durchschnittliche Zeit, in der sich das Glas aufheizt, beträgt _42 Grad in 10 Minuten.
en_025953	weiß :: Ich würde in diesem Fall eine helle Farbe wie Weiß verwenden, denn wenn es draußen _95 Grad warm ist und du eine schwarze Hundehütte hast, wird die Hundehütte heiß sein, wie in dem Experiment, das sie verwendet haben, weil sie einen schwarzen Deckel verwendet haben, weil das Glas dann am heißesten ist.
en_025954	hellgrau ::  Je dunkler die Farbe, desto heißer wird es
en_025955	hellgrau :: ich denke, dass es sich auf die Wärmestrahlung auswirkt und wenn es nötig ist, können sie eine andere Farbe auftragen, wenn es kälter oder wärmer wird
en_025956	schwarz :: die Farbe würde mehr Wärme von der Sonne absorbieren und es würde heißer in der Hundehütte werden
en_025957	hellgrau :: ich habe mich für hellgrau entschieden, weil ich an die Temperaturen der Jahreszeiten gedacht habe. im Sommer reflektiert das hellgrau etwas von der Hitze und hält es innen etwas warm, im Winter absorbiert das hellgrau etwas von dem Sonnenlicht und macht es innen etwas wärmer.
en_025958	weiß :: Es hält die Hundehütte kühl und nicht zu heiß, denn in der Tabelle hatte ein schwarzer Deckel einen Durchschnitt von _58 Grad und der weiße Deckel einen Durchschnitt von 42 Grad. Wenn also die Hundehütte in einer dunkleren Farbe gestrichen würde, würde es in der Hundehütte zu heiß werden.
en_025959	schwarz :: Die schwarz gefärbte Hundehütte würde innen wärmer sein. Die Durchschnittstemperatur mit dem schwarzen Deckel betrug _53 (DEG), die Durchschnittstemperatur für den dunkelgrauen Deckel betrug 48 (DEG). Die Durchschnittstemperatur für die hellgraue Hundehütte lag bei 45 (DEG) und für die weiße bei 42 (DEG). Zwischen dem schwarzen und dem weißen Deckel besteht ein Unterschied von 11(DEG). Die schwarze Hundehütte würde also die meiste Wärme im Inneren haben.
en_025960	weiß :: Die Farbe Weiß reflektiert das Sonnenlicht, so wie der weiße Deckel das Licht der Lampe im Experiment reflektiert hat.
en_025961	weiß :: Sie würde viel Licht und Wärme reflektieren, wodurch es in der Hundehütte kühler wäre.
en_025962	weiß :: Der Hund bekommt mehr kühle Luft, weil hellere Farben kühle Luft statt Wärme absorbieren
en_025963	schwarz :: Je dunkler der Deckel ist, desto mehr Temperatur geht in das Gefäß. und die Temperatur des schwarzen Deckels war _53(DEG)C.
en_025964	weiß :: Sie würden weiß für den Sommer wählen, weil es nicht viel Wärme anzieht. Sie würden schwarz für den Winter verwenden wollen, um mehr Wärme anzuziehen
en_025965	"dunkelgrau ::  Alle wählbaren Farben sind sozusagen ein ""zweischneidiges Schwert"", denn obwohl die dunklen Farben den Hund im Winter warm halten, wird ihm im Sommer zu heiß. Und während die hellen Farben ihn im Sommer kühl halten, werden sie im Winter nicht viel für ihn tun."
en_025966	schwarz :: Hält das Innere der Hundehütte warm
en_025967	hellgrau :: Hellgrau ist die beste Farbe, weil sie so dunkel ist, dass der Hund nicht verbrennt (dunklere Farbe = höhere Temperatur) und nicht so hell ist, dass dem Hund kalt ist.
en_025968	weiß :: Brandi und Jerry sollten weiße Farbe verwenden, weil im Experiment das Glas mit dem weißen Deckel am wenigsten an Temperatur zunahm. Sie stieg um _18(DEG)C, während der schwarze Deckel die Temperatur um 29(DEG)C ansteigen ließ. Daher sollte die weiße Farbe verwendet werden, damit sich die Hundehütte nicht überhitzt.
en_025969	weiß :: Die weiße Farbe wirkt sich auf die Hundehütte aus, so dass es im Inneren kühler sein kann, da sie keine Energie absorbiert.
en_025970	Hellgrau :: An kalten Tagen absorbiert das Hellgrau die Wärme und an heißen Tagen absorbiert es nicht so viel.
