id	text
en_025949	black :: black might affect the dog house because then the doghouse can get to hot for the dog. iknow this because in the resul ts black got the hottest.
en_025950	white :: White because you wouldn't want the dog to ge t to hot.
en_025951	white :: the color white will reflect the suns rays of f of it because in the lab the color white had the lowest tempeture, and black absorbed the heat so it was hotter and if they had the doghouse pai nted black the dog would get to hot and die. so white
en_025952	white :: this color will keep the dog house cooler ins ide because it doesn't heat up as fast. the average time for the glass to heat up was 42 degrees in 10 minutes.
en_025953	white :: I would use a light color like White in this case because if its 95 degrees outside and you have a black dog house the dog house is going to be hot.Like in the experiment they used they used a black lid because it would make the jar the hotest.
en_025954	light gray ::  The darker of color the , the hoter it g ets
en_025955	light gray :: i think it will affect it by the doghou se atrackting heat and if neede they could paint it another color when it gets colder of warmer
en_025956	black ::  the color would absorb more heat from the sun making it hotter in the doghouse
en_025957	light gray :: i chose light gray because i was thinking of temperatures of the seasons. in summer the light gray will reflect some o f the heat while keeping it alittle warm inside, in winter the ligh t gray will absorb alittle of the sun light making it alittle warm inside .
en_025958	white :: It will kepp the dog house cool and not to ho t because in the table a black lid had an average of 58 degrees and the w hite lid had an averge of 42 degrees. There for if the dog house was pain ted a darker color the doghouse would get to hot inside.
en_025959	black ::  The black colored doghouse would be warmer on the inside. The average temperature with the black lid was 53(DEG), the average temperature for the dark gray lid was 48(DEG). The average temp erature for the light gray was 45(DEG) and for the white it was 42(DEG) . There is a 11(DEG) difference between the black and white colored lid. So the black doghouse would have the most heat on the inside.
en_025960	white :: the color white will reflect the sunlight just like the white lid reflected the light from the lamp in the experiment.
en_025961	white ::  it would reflect a lot of the light and heat making it cooler inside the doghouse.
en_025962	white :: it will give the dog more cool air because li ghter colors absorb cool air instead of heat
en_025963	black :: Well the darker the lid is the more tempayure goes into the jar. and the avarege of the black lid was 53(DEG)C.
en_025964	white :: they would want to choose white for the summer because it wont attract alot of heat. they would want to use black for the winter to attract more heat
en_025965	dark gray ::  All choosable colors are waht you might call a 'double edged sword' because, altough the dark colors will keep the dog warm in winter, it'll make him to hot in summer. And while the light col ors will keep him cool in summer, they wont do much for him in winter.
en_025966	black :: it will keep the inside of the dog house warm er
en_025967	light gray :: Light Gray Is The Best Color To Use Because I tself Is That Dark Of A Color So The Dog Wont Burn Up(Darker Color=Increa se In Heat Tempeture)And Not That Light That The Dog Would Be Cold.
en_025968	white ::  Brandi and Jerry should use white paint becau se in the experiment, the jar with the white lid increased the least in t emperature. It increased 18(DEG)C while the black lid made the temperatu re increase 29(DEG)C. Therefore, the white paint should be used so that the dog house doesn't overheat.
en_025969	white :: The color white would affect the doghouse it so it may be cooler inside because of the lack in absorbing energy.
en_025970	light gray :: on cold days the light gray absorbs the hotte r temp. and on hot days it douse not absorb as much.
en_025971	white ::  The best color to paint the dog house would b e white. White reflects more light than black. This would keep the inside temperature of the dog house cooler than it would if the dog house were painted black. In the experiment, the white lid was at an average of 11(DEG) C cooler than the jar with the black lid. Therefore, the white would be the bes t color to paint the dog house.
en_025972	light gray :: the doghouse should be light gray because it does not absorb to much heat or to little heat so the dog won't be to hot or to cold it will be just right
en_025973	white :: If they colored the doghouse white then it wi ll be cool inside and not so hot like it would be if it was black. Because when the jar lid was black the inside of the jar was 53(DEG)C an d when it was white the inside of the jar was 42(DEG)C
en_025974	dark gray :: The air inside will be hotter than it would b e with the light gray and white as the roof color so the dog can stay war m at night but it also be colder than if the black was the roof color so the dog won't get too hot during the day.
en_025975	white ::  The color might affect the dog house just a l ittle bit, because the white color had the lowest temp. compared to the b lack wich its average was 53. Thats a(n) 11 (DEG)c diferanc an the dark grey was a(n) 6(DEG)c differance. also the light gray was a(n) 3(DEG)c differance.
en_025976	black :: It will effect the dog house by it being more hot cause on the chart it showed black was the hottest
en_025977	light gray :: The light gray color would reflect some of th e light energy, but also absorb a little so the doghouse would not get to o hot or cold. The white color had an average of 42(DEG)C after 10 minut es, which might be too cold. The dark gray had an average of 48(DEG)C, w hich might be too hot.
en_025978	black :: no color will affect the doghouse
en_025979	dark gray ::  Dark gray would be a good color for the dogho use because it would not be too hot inside. If you were to do black the dog would get a lot hotter because it would absorb more heat. In every trial for dark gray it created 48(DEG)C. This seems like a pretty good temperature for a dog house.
en_025980	black :: Black is my choice because if it kept the jar warm for ten minutes then black would be able to keep a doghouse warm for longer.
en_025981	black ::  I chose black because the sun wont reflect th e color black and it wont effect inside the dog house.
en_025982	white ::  It will make the dog house cooler
en_025983	black :: because it's so string
en_025984	white ::  It should be white. The white lid average was 42(DEG)C and it was the lowest average of temperature for the experimen t.
en_025985	white :: The white color reflected the most thermal en ergy and will keep the dog cool.
en_025986	dark gray ::  It will make it warmer than a light grey or w hite doghouse, but cooler than a black doghouse. This is better because d ogs generally use a doghouse to hide from the rain in winter, and my colo r will keep it warmer. However, they are also used in summer, and as such should not be black, as that would make it unusable during summer.
en_025987	black :: The black doghouse would keep you warmer in t he winter but it would be really hot in the summer
en_025988	white :: the color will keep the dog house cool on the inside so on hot summer days the dogs can be nice and cool
en_025989	black ::  Black paint would affect the doghouse by making it the warmest because according to the data black had the highest average of temperature which was 53(DEG)C, which is warmer than the other 3 tested colors. So to me I think black would be the best color.
en_025990	light gray ::  I chose light gray becasue it won't make the dog feel sad.
en_025991	light gray ::  The light gray color would keep the doghouse mild and warm. On average, the light gray colored lid went from 24(DEG) C to 42(DEG) C (a difference of 21(DEG) C). Compared to the black color ed lid, which went from 24(DEG) C to 53(DEG) C (a difference of 29(DEG) C, which is too hot). Or the white colored lid which went from 24(DEG) C to 4 2(DEG) C (a difference of 18(DEG) C). Therefore, a gray colored roof would be perfect for a doghouse.
en_025992	white :: white will keep the dog house nice and cool s ince according to there data the white lid kept the air in the jar cooles t.
en_025993	black :: the black one will have a good heat for the d og because in the trial the black lid was average was 53 (DEG)c .
