id	text
en_000001	Alguna información adicional que necesitaríamos para replicar el experimento es la cantidad de vinagre que se debe poner en cada recipiente idéntico, cómo o qué herramienta usar para medir la masa de las cuatro muestras diferentes y cuánta agua destilada usar para enjuagar las cuatro muestras después de sacarlas del vinagre.
en_000002	Después de leer el experimento, me di cuenta de que la información adicional que necesitas para replicar el experimento es, en primer lugar, la cantidad de vinagre que vertiste en cada recipiente, en segundo lugar, etiquetar los recipientes antes de empezar el experimento y, en tercer lugar, escribir una conclusión para asegurarte de que los resultados son exactos.
en_000003	Lo que necesitas son más ensayos, una configuración de control y una cantidad exacta de vinagre para verter en cada taza/vaso. También podrías tomar y comprobar la masa cada _30 min o 1 hora.
en_000004	El alumno debe enumerar qué roca es mejor y qué roca es peor en el procedimiento.
en_000005	Para que los alumnos puedan hacer una réplica, tendrían que decir cuánto vinagre se utiliza y qué tipo de materiales se necesitan para el experimento.
en_000006	Necesitaría la información de por qué se dejan secar las diferentes muestras fuera de los recipientes. ¿Y en qué se secan?
en_000007	La información que necesitaría para replicar con éxito el experimento es la medida correcta que utilizaron para el experimento, también los materiales que se utilizaron para crear el experiement. Después de las _24 horas, de retirar las muestras del recipiente y enjuagar cada muestra con agua destilada. Hacer que se seque durante 30 mintued podría no ser el tiempo suficiente para determinar realmente la masa de cada muestra, especialmente cuando usted tiene más de una muestra diferente para hacer con diferente textura.
en_000008	Necesitarías muchos más datos para replicar el experimento. Necesitarías el tipo de muestras para comenzar con el procedimiento. También necesitarías saber la cantidad de vinagre utilizada en cada recipiente. También necesitarías saber exactamente cómo masificar las muestras y qué tipo de recipiente utilizar (el plástico, por ejemplo, podría alterar los resultados).
en_000009	Otra información que necesitarás es el material. También necesitas saber el tamaño del contaneir para medir cómo le afectó la lluvia ácida. Necesitas saber cuánto vineager se utiliza para cada muestra. Otra cosa que ayudaría es saber qué tamaño tienen las piedras de la muestra midiéndolas de la mejor manera posible.
en_000010	Con el fin de replicar el experimento, tendremos que añadir información como sticlenx declaración de lo que las cuatro muestras son y cuántas piezas se necesitan, así como la cantidad de vinagre traer vierte en los recipientes y los instrumentos que se necesitan para recuperar al determinar la masa.Sin embargo, las revisiones de las oraciones y renuminering será necesario.
en_000011	Información adicional que necesitaría para replicar el experimento
en_000012	La información adicional que necesitarías para replicar el experimento incluiría el tamaño de las muestras. También necesitaría saber el tipo de vinagre. Además, es fundamental que los recipientes sean del mismo tipo y tamaño.
en_000013	Hay dos datos adicionales necesarios para reproducir el experimento. En primer lugar, el procedimiento no especifica oficialmente cuáles son las cuatro muestras. Además, el procedimiento no especifica cuánto vinagre verter en cada recipiente. Un buen procedimiento habría especificado lo siguiente
en_000014	Para replicar el experimento se necesita
en_000015	Bueno, lo que yo entiendo de este procedimiento es que tomas cuatro muestras, las pones en diferentes recipientes que parezcan iguales, echas vinagre en cada muestra + finalmente las enjuagas con agua normal + las dejas reposar durante _30 minutos hasta que se sequen. Entonces por fin vas a ver la diferencia entre esas muestras.
en_000016	¡No sé qué está pasando!
en_000017	Para replicar este experimento, necesitaría saber la forma de cada material, porque la cantidad de superficie expandida a la masa de vinagre, cambia los resultados. También necesitaría saber qué cantidad de vinagre y qué tamaño de recipientes utilizar para reproducir exactamente el experimento.
en_000018	La información adicional que necesitaría es llegar a una hipótesis para predecir qué muestra tendrá la mayor masa en lluvia ácida. Después de eso tendré que llegar a mis variables dependientes e independientes para que pueda decir y ver cada uno es diferente en masa. Organizaré los datos para ver si la información es correcta. Luego escribiré la conclusión para ver si mi hipótesis era correcta y para ver si mis resultados eran correctos.
en_000019	Para replicar este experimento necesitaría una balanza para obtener la masa. Después, necesitaría cinta adhesiva y rotuladores para etiquetar los recipientes. Por último, necesitaría las _4 muestras y probetas graduadas como recipiente para replicar este experimento.
en_000020	Para que yo pueda replicar su procedimiento, necesitaría saber qué cuatro muestras utilizaron, deberían incluirlo en su procedimiento. También deberían indicar dónde colocar los cuatro recipientes durante el período de _24 horas y, por último, qué tipo de vinagre o de qué marca para que, cuando yo haga este experimento, sea lo más parecido a lo que ellos hicieron y, por lo tanto, pueda replicar el experimento.
en_000021	Tendrías que tener cuatro recipientes separados pero idénticos. También tendrías que verter vinagre en cada uno de ellos para determinar la masa de los elementos que se colocan en ellos. Y habría que colocar nuevos objetos en cada uno de los recipientes.
en_000022	Para repetir el experimento, necesitaría saber la masa de las cuatro muestras diferentes, cuánto vinagre verter en los recipientes, de qué estaban compuestas las muestras y con cuánta agua enjuagarlas después de las _24 horas.
en_000023	Los datos de los alumnos deben incluir la cantidad de solución que se ha pochado. También debían averiguar si las rocas pesaban lo mismo al empezar.
en_000024	Para la duplicación de este experimento, necesitarías saber exactamente cuánto vinagre se utilizó en cada taza. También tendrías que saber el tamaño de cada recipiente. Además, tendría que saber el tamaño de cada muestra, para asegurarse de que podría colocarlas en las tazas de manera uniforme.
en_000025	Otra información adicional que necesitaría es la cantidad de vinagre que vertieron.
en_000026	Después de leer el procedimiento de los grupos, necesitaría saber qué tipo de vinagre utilizaron porque podría haber sido de cualquier tipo, cuál fue la medida de los recipientes porque los recipientes podrían haber sido de _3 tamaños diferentes y no tendrían resultados válidos, y también deberían haberme dicho qué mantuvieron constante porque no sabría qué variables utilizar o controlar.
en_000027	Tenían que incluir a qué hora empezaron y a qué hora terminaron. También la cantidad de vinagre que utilizaron. También el tamaño de cada muestra.
en_000028	1). Conseguir 4 muestras diferentes: mármol, piedra caliza, madera, plástico. ^p 2). Pon cada muestra en 4 recipientes diferentes. ^p 3). Vierta vinagre en cada uno de los 4 recipientes separados pero idénticos. ^p 4). Después de 24 horas, saque las muestras del recipiente y enjuáguelas con agua destilada. ^p 5). Deje que las muestras se sequen durante 30 minutos. ^p 6). Determine los datos de cada muestra. ^p 7). Registre los datos.
en_000029	Para replicar este experimento, necesitarías saber cuáles eran las muestras. En el procedimiento de este grupo, no indican qué
en_000030	En el paso tres, necesitarías saber qué cantidad de cada muestra utilizar. También en el paso a necesitas llenar cada recipiente con la misma cantidad paso _4 debes enjuagar cada piedra tanto. Tampoco hay variable de control.
en_000031	I información adicional que necesitaría para replicar el experimento es añadir donde va a dejar las muestras durante _24 horas. Otra que tendrían que añadir para poder replicar el experimento es indicar claramente la variable independiente. También necesitaría que indicaran cuánto vinagre verter en cada recipiente separado pero idéntico.
en_000032	Necesitarás un cronómetro para determinar el tiempo en que se secó el vinagre.
en_000033	"Para este experimento, necesitarías saber qué es cada ""muestra"", la cantidad de vinagre que se utilizó y el tamaño de cada ""muestra""."
en_000034	Para repetir el experimento necesitaría conocer las muestras que voy a utilizar. También necesitaría saber cuánto vinagre utilizar. También necesitaría saber qué tipo de recipientes utilizar.
en_000035	Para replicar el experimento necesitaría saber cuánto vinagre verter, cuánta agua destilada y cómo pesarlo.
en_000036	Bueno, necesitaría saber cuál es el enunciado del problema. Necesitaría saber qué tipo de tazas estamos usando, la cantidad de vinagre que estamos usando. Y necesitaría saber si la cantidad de vinagre en cada vaso será diferente.
