id	text
en_002788	Cambiar el tipo de grafin mejoraria el experimento del estudiante dar un mejor nuevo a esos datos. ^P Dar los nombres de cada tipo de tipo de plástico utilizado en este experimento. Cada plástico debe tener la misma longitud. ^P Mi conclusion es que el tipo de plastico aguanto mucho mas que todos los diferentes tipos.
en_002789	Concluyendo a partir de los datos de los estudiantes que el plástico tipo B fue el más elástico, mientras que el tipo A es el menos elástico. Dos formas en que los estudiantes podrían haber mejorado su experimento es haber descrito cuánta altura utilizar. Otra forma en que podrían haber obtenido resultados más válidos es aclarar cuánto plástico utilizar, colgando de la mesa.
en_002790	Dos maneras en las que los estudiantes podrían haber mejorado el experimento es consiguiendo una mejor marca de plástico o simplemente rehaciendo el experimento.
en_002791	Una conclusión que puedo sacar de este experimento es que el plástico tipo B es el más estirable porque en la primera prueba se estiró _22 mm, mientras que en la segunda prueba se estiró 23 mm sin romperse. Una forma en que el alumno puede mejorar el diseño es añadiendo más pesos. Una segunda forma es incluir más ensayos para que haya más con los que comparar.
en_002792	a. Una conclusión que puedo sacar es que el plástico B se estiró más que el plástico D, el siguiente plástico C y finalmente el plástico A. b. Podrían haber utilizado más ensayos. Dos ensayos no son suficientes para tener un experimento válido. Después podrían haber dicho cuánto tenía que medir cada plástico. Si hay más o menos en un plástico entonces podría haber más polímeros haciendo el experimento inválido.
en_002793	Mi conclusión de este experimento es que la muestra de plástico B se estiró más porque probablemente era una muestra que se estira con facilidad.^p B) Dos cosas que se podrían cambiar es decir qué tipo de plástico era y decir cuánto peso se pone en cada abrazadera.
en_002794	Se puede concluir que el plástico B era el más maluble y el que más se podía estirar mientras que el plástico A era el más rígido y el que menos se podía estirar. Dos formas en las que el experimento podría haber mejorado es probando también durante más tiempo, para ver si el tiempo era un factor. El uso de diferentes pesos para diferentes pruebas también podría proporcionar datos más beneficiosos.
en_002795	Al observar los resultados, se puede ver que los tipos de plástico B y D se estiraron casi el doble que los otros dos tipos. Esto nos muestra que B y D son probablemente polímeros de baja densidad debido a su flexibilidad. Sin embargo, A y C no son tan flexibles y, por tanto, son polímeros de alta densidad. El experimento podría haberse mejorado añadiendo otro tipo de plástico o realizando más ensayos. También se podrían haber cambiado los pesos para comprobar la resistencia.
en_002796	El material de tipo A fue el que menos se estiró y el de tipo B el que más. El material tipo B se estiró unos _12 mm más que el tipo A. El estudiante podría haber mejorado el experimento de varias maneras: podría haber obtenido plástico de diferentes longitudes para probarlo de diferentes maneras. También podría haber añadido más ensayos y haberlos promediado para obtener resultados más precisos.
en_002797	a) Una conclusión sobre estos datos es que el plástico tipo A+B se estiró más el segundo ensayo y que el tipo C se estiró más el primero y el D se mantuvo igual. También se puede concluir que el plástico B es el que más se estira. B) Dos formas [los alumnos podrían haber mejorado el signo experimental son que podrían haber hecho más ensayos para aumentar la validez. También podrían haber utilizado la misma longitud de plásticos diferentes cada vez.
