id	text
en_000001	Les informations supplémentaires dont nous aurions besoin pour reproduire l'expérience sont les suivantes : la quantité de vinaigre à placer dans chaque récipient identique, la manière ou l'outil à utiliser pour mesurer la masse des quatre échantillons différents et la quantité d'eau distillée à utiliser pour rincer les quatre échantillons après les avoir sortis du vinaigre.
en_000002	Après avoir lu l'expérience, je me suis rendu compte que les informations supplémentaires dont vous avez besoin pour reproduire l'expérience sont les suivantes : un, la quantité de vinaigre que vous avez versée dans chaque récipient, deux, étiqueter les récipients avant de commencer votre expérience et trois, rédiger une conclusion pour vous assurer que vos résultats sont exacts.
en_000003	Vous avez besoin de plus d'essais, d'une installation de contrôle et d'une quantité exacte de vinaigre à verser dans chaque tasse ou bécher. Vous pourriez également prendre et vérifier la masse toutes les _30 minutes ou toutes les heures.
en_000004	L'élève doit indiquer quelle roche est la meilleure et quelle roche est la moins bonne dans la procédure.
en_000005	Pour que les élèves puissent faire une réplique, ils doivent indiquer la quantité de vinaigre utilisée et le type de matériel nécessaire pour l'expérience.
en_000006	J'aurais besoin de savoir pourquoi vous laissez sécher les différents échantillons dans les récipients. Et dans quoi vont-ils sécher ?
en_000007	Les informations dont j'aurais besoin pour reproduire avec succès l'expérience sont les mesures correctes utilisées pour l'expérience, ainsi que les matériaux utilisés pour créer l'expérience. Après _24 heures, il faut retirer les échantillons du récipient et les rincer à l'eau distillée. Faire sécher les échantillons pendant 30 minutes n'est peut-être pas suffisant pour déterminer la masse de chaque échantillon, surtout si vous avez plus d'un échantillon de texture différente.
en_000008	Vous auriez besoin de beaucoup plus d'informations pour reproduire l'expérience. Vous auriez besoin du type d'échantillons pour commencer la procédure. Vous devez également connaître la quantité de vinaigre utilisée dans chaque récipient. Vous devrez également savoir exactement comment masser les échantillons et quels types de récipients utiliser (le plastique, par exemple, pourrait modifier les résultats).
en_000009	Vous aurez également besoin de connaître le matériau. Vous devez également connaître la taille du conteneur pour mesurer l'effet des pluies acides sur celui-ci. Vous devez savoir quelle quantité de vinaigre est utilisée pour chaque échantillon. Il est également utile de connaître la taille des pierres de l'échantillon en les mesurant de la meilleure façon possible.
en_000010	Afin de reproduire l'expérience, nous devrons ajouter des informations telles que l'énoncé des quatre échantillons et le nombre de morceaux dont vous aurez besoin, ainsi que la quantité de vinaigre apportée dans les récipients et les instruments que vous devrez récupérer pour déterminer la masse.Cependant, des révisions de phrases et des renumérisations seront nécessaires.
en_000011	Les informations supplémentaires dont j'aurais besoin pour reproduire l'expérience.
en_000012	Les informations supplémentaires dont vous auriez besoin pour reproduire l'expérience comprennent la taille des échantillons. Il faut également connaître le type de vinaigre. De plus, il est essentiel d'utiliser des récipients de même type et de même taille.
en_000013	Il y a deux informations supplémentaires nécessaires pour reproduire l'expérience. Tout d'abord, la procédure ne précise pas officiellement quels sont les quatre échantillons. De plus, la procédure ne précise pas la quantité de vinigar à verser pour chaque récipient. Une bonne procédure aurait spécifié ceci
en_000014	Afin de répliquer l'expérience, il vous faut
en_000015	Ce que je comprends de cette procédure, c'est que vous prenez quatre échantillons, vous les mettez dans différents récipients qui se ressemblent, vous mettez du vinaigre sur chaque échantillon + finalement vous les rincez avec de l'eau normale + vous les laissez reposer pendant _30 minutes jusqu'à ce qu'ils sèchent. Ensuite, vous verrez enfin la différence entre ces échantillons.
en_000016	Je ne sais pas ce qui se passe !
en_000017	Pour reproduire cette expérience, il faudrait que je connaisse la forme de chaque matériau, car la quantité de surface étendue à la masse de vinaigre change les résultats. Je devrais également connaître la quantité de vinaigre et la taille des récipients à utiliser afin de reproduire exactement l'expérience.
en_000018	Les informations supplémentaires dont j'aurais besoin sont de formuler une hypothèse pour prédire quel échantillon aura la masse la plus élevée dans les pluies acides. Ensuite, je devrai définir mes variables dépendantes et indépendantes afin de pouvoir déterminer si chaque échantillon a une masse différente. Je vais organiser les données pour voir si les informations sont exactes. Puis j'écrirai la conclusion pour voir si mon hypothèse était correcte et si mes résultats étaient corrects.
en_000019	Pour reproduire cette expérience, j'aurais besoin d'une balance afin d'obtenir la masse. Ensuite, j'aurais besoin de ruban adhésif et de marqueurs pour étiqueter les récipients. Enfin, j'aurais besoin des _4 échantillons et des cylindres gradués comme récipient pour reproduire cette expérience.
en_000020	Pour que je puisse reproduire leur procédure, j'aurais besoin de savoir quels sont les quatre échantillons qu'ils ont utilisés, ils devraient l'inclure dans leur procédure. Ils devraient également indiquer où placer les quatre récipients pendant la période de _24 heures. Enfin, ils devraient préciser le type ou la marque de vinaigre, de sorte que si je devais réaliser cette expérience, je me rapprocherais le plus possible de ce qu'ils ont fait, et je serais donc en mesure de reproduire l'expérience.
en_000021	Vous devez disposer de quatre récipients distincts mais identiques. Vous devez également verser du vinaigre dans chacun d'eux afin de déterminer la masse des objets qui y sont placés. Et il faudrait placer de nouveaux objets dans chacun des récipients.
en_000022	Afin de reproduire l'expérience, j'aurais besoin de connaître la masse des quatre échantillons différents, la quantité de vinaigre à verser dans les récipients, la composition des échantillons et la quantité d'eau avec laquelle les rincer après _24 heures.
en_000023	Les données des élèves devaient inclure la quantité de solution absorbée. Ils devaient également déterminer si les pierres avaient le même poids au départ.
en_000024	Pour reproduire cette expérience, vous devez savoir exactement quelle quantité de vinaigre a été utilisée dans chaque tasse. Vous devez également connaître la taille de chaque récipient. De plus, vous devez connaître la taille de chaque échantillon, afin de vous assurer que vous pouvez les placer dans les gobelets de manière égale.
en_000025	Une autre information dont j'aurais besoin est la quantité de vinaigre qu'ils ont versée.
en_000026	Après avoir lu la procédure des groupes, j'aurais besoin de savoir quel type de vinaigre ils ont utilisé, car il aurait pu s'agir de n'importe quel type, quelle était la mesure des récipients, car les récipients auraient pu être de trois tailles différentes et les résultats n'auraient pas été valides, et ils auraient également dû me dire ce qu'ils maintenaient constant, car je n'aurais pas su quelles variables utiliser ou contrôler.
en_000027	Ils devaient indiquer l'heure à laquelle ils ont commencé et celle à laquelle ils ont terminé. Et la quantité de vinaigre utilisée. Et la taille de chaque échantillon.
en_000028	1). Prenez 4 échantillons différents : marbre, calcaire, bois, plastique. ^p 2). Placez chaque échantillon dans 4 récipients différents. ^p 3). Verser du vinaigre dans chacun des 4 récipients distincts mais identiques. ^p 4). Après 24 heures, retirer les échantillons du récipient et les rincer avec de l'eau distillée. ^p 5). Laisser les échantillons reposer et sécher pendant 30 minutes. ^p 6). Déterminer les données de chaque échantillon. ^p 7). Enregistrez vos données.
en_000029	Afin de reproduire cette expérience, vous auriez besoin de savoir quels étaient les échantillons. Dans la procédure de ce groupe, ils ne précisent pas ce que sont les échantillons.
en_000030	À l'étape _3, vous devez savoir quelle quantité de chaque échantillon utiliser. De plus, à l'étape 2, vous devez remplir chaque récipient avec la même quantité ; à l'étape 4, vous devez rincer chaque pierre autant que possible. Il n'y a pas non plus de variable de contrôle.
en_000031	Les informations supplémentaires dont j'aurais besoin pour reproduire l'expérience sont d'ajouter où vous allez laisser les échantillons pendant _24 heures. Une autre information qu'il faudrait ajouter pour que je puisse reproduire l'expérience est d'indiquer clairement la variable indépendante. J'aurais également besoin qu'ils indiquent la quantité de vinaigre à verser dans chaque récipient séparé mais identique.
en_000032	Vous aurez besoin d'un minuteur pour déterminer le temps de séchage du vinaigre.
en_000033	"Pour cette expérience, vous devez savoir ce qu'est chaque "" échantillon "", la quantité de vinaigre utilisée et la taille de chaque "" échantillon ""."
en_000034	Pour reproduire l'expérience, je dois connaître les échantillons que je vais utiliser. Je dois également connaître la quantité de vinaigre à utiliser. J'aurais également besoin de savoir quel type de récipient utiliser.
en_000035	Pour reproduire l'expérience, il faut savoir quelle quantité de vinaigre verser, quelle quantité d'eau distillée et comment la peser.
en_000036	J'aurais besoin de connaître l'énoncé du problème. J'ai besoin de savoir quel type de tasses nous utilisons et quelle quantité de vinaigre nous utilisons. Et j'aurais besoin de savoir si la quantité de vinaigre dans chaque gobelet sera différente.
en_000037	Afin de reproduire l'expérience, je dois savoir quelle quantité de chaque matériau est utilisée avant d'aller chercher la masse. J'aurais besoin de savoir quelle quantité de vinaigre verser sur chaque matériau. Bien que les matériaux soient indiqués dans les données, ils doivent être listés dans la procédure.
en_000038	J'ai besoin de savoir quel est le but de cette expérience, de connaître la différence de masse de chaque échantillon et d'avoir une estimation de la masse initiale et finale.
en_000039	Ils devraient ajouter la quantité de vinaigre à ajouter à chaque échantillon. Pour que ce laboratoire soit plus précis, ils auraient dû ajouter d'autres essais ainsi qu'une variable constante, comme une pierre dans de l'eau.
en_000040	Pour reproduire cette expérience, je devrais d'abord savoir comment calculer la masse des échantillons. J'aurais également besoin de savoir ce que sont les quatre échantillons, car cela n'est pas indiqué dans la procédure. Enfin, pour répéter cette expérience, j'aurais besoin de savoir quelle quantité de vinaigre a été placée dans chaque récipient.
en_000041	D'autres informations seraient nécessaires pour reproduire les données : quel équipement est nécessaire pour l'expérience, quels matériaux vont être utilisés, et quelle quantité de chaque matériau sera utilisée ?
en_000042	Pour reproduire cette expérience, vous devez connaître la quantité de vinaigre à verser dans le récipient. Vous devez également savoir quelle quantité de coniainer verser dans le vinaigre. Enfin, il faut savoir combien de temps et combien de temps il faut rincer les échantillons avec de l'eau distillée.
en_000043	Après avoir lu la procédure, j'ai d'abord besoin de savoir quels sont les différents échantillons que je teste. Ensuite, j'ai besoin de savoir quelle quantité de vinaigre je mets dans chaque récipient et enfin, la procédure doit me dire comment rincer chaque échantillon dans de l'eau distillée.
en_000044	Déterminez quels sont les différents échantillons, puis indiquez la quantité de vinaigre que vous allez ajouter à chaque échantillon. Indiquez combien de temps vous allez faire monter les matériaux dans l'eau. (ex : _5 minutes)
en_000045	Pour reproduire l'expérience du groupe, j'aurais besoin de beaucoup d'informations supplémentaires. Tout d'abord, j'aurais besoin de savoir ce qu'ils utilisent comme quatre échantillons (roches et écorces).
en_000046	"""Je pense que la description de l'expérience devrait être plus précise afin de ne pas être confondu et de ne pas confondre les gobelets. Par exemple, ils pourraient dire """"chacun des échantillons de liège"""", et """"placer l'échantillon dans le gobelet étiqueté ""A""""."
en_000047	"""Une autre chose qui doit être incluse est le matériau ou l'objet dont sont faits les quatre échantillons. Une autre chose qui n'est pas incluse est la quantité de vinaigre nécessaire pour mettre dans chaque récipient. Les mots """"Un échantillon"""" ne précisent pas la quantité exacte de chaque roche nécessaire. Une répétition de cette expérience est nécessaire pour vérifier les résultats."""
en_000048	Il pourrait y avoir plus d'un test pour chaque échantillon. Il pourrait aussi y avoir une constante ajoutée à l'expiration. De plus, il y a trop d'instants à respecter dans l'expérience, comme porter des lunettes de protection pour les yeux ou des gants pour toucher le vinaigre.
en_000049	Ils devraient prendre plus de notes, de cette façon, au cas où ils se tromperaient, ils pourraient avoir l'information nécessaire pour recommencer.
en_000050	Combien de vinaigre faut-il verser, avec quelle étiquette, et quand le laisser reposer, le laisser reposer et sécher pendant _30 minutes... Étiquette. C'est l'étiquette du récipient, séparée mais identique. Quels récipients devrions-nous utiliser ?
en_000051	Afin de reproduire cette expérience, j'aurais besoin de savoir quels sont les différents récipients. J'aurais également besoin de savoir combien de matériaux différents il y a et quelle est la masse de départ de chaque matériau.
en_000052	Dans l'expérience, je déterminerais la mas de chaque échantillon ; je mettrais le vinaigre en paire dans un récipient puis je l'étiquetterais. J'attends _24 heures, puis je verse le vinaigre et je le rince à l'eau. Laissez sécher les échantillons et trouvez la différence de masse.
en_000053	Pour mener à bien cette expérience, trois éléments supplémentaires doivent être inclus. La première est la quantité de vinaigre à verser dans la tasse. Le deuxième est de lister les échantillons éloignés dans la procédure. Le troisième est d'enregistrer les informations obtenues.
en_000054	Pour reproduire l'expérience du groupe, j'aurais besoin de savoir quelle quantité de vinaigre verser dans chacun des quatre récipients et quelle durée, quelle quantité d'échantillon ajouter et comment rincer les échantillons.
en_000055	La procédure doit indiquer les quatre types d'échantillons utilisés (billes, calcaire, bois, plastique). Vous devez déterminer la quantité de vinaigre que vous versez dans chaque gobelet. Vous avez besoin d'une quantité fixe. Vous pourriez aussi faire le temps à différents moments. Ainsi, vous pourriez le faire à _30 et à 45 minutes pour voir si la masse change au fil du temps.
en_000056	Les informations dont j'aurais besoin pour reproduire l'expérience sont les suivantes : les quatre échantillons différents, les quatre récipients identiques, le temps de repos des échantillons et le produit avec lequel rincer les échantillons pour les laisser reposer plus longtemps.
en_000057	Pour répéter cette expérience, il faudrait prendre la moyenne utilisée lors de la dernière procédure et la laisser reposer pendant vingt-huit heures au lieu de vingt-quatre, puis la rincer et enregistrer les changements de masse.
en_000058	Nous devons connaître la quantité exacte de vinaigre contenue dans chaque récipient, afin de garantir l'équité des résultats de chaque échantillon. Nous devons également définir une masse de départ afin que tous les échantillons aient la même quantité, sinon les résultats ne seront pas fiables. Nous devons également connaître le type et la taille des récipients, car les résultats pourraient ne pas être fiables si les récipients des échantillons ont tous des volumes et des formes différents.
en_000059	Une information supplémentaire dont vous auriez besoin est la quantité de vinaigre que vous versez. De plus, à l'étape _3, il est dit d'ajouter un échantillon de chaque matériau. Nous devons savoir quelle taille doit avoir l'échantillon. Un autre élément qui pourrait influencer les données est la température à laquelle vous réalisez l'expérience (température ambiante ou non).
en_000060	Pour reproduire l'expérience, la procédure doit être plus détaillée. L'une des informations omises est la quantité de vinaigre utilisée dans l'expérience. Il est également important de savoir à quelle température l'expérience a été maintenue pendant les _24 heures. Enfin, la procédure doit inclure des détails sur l'expérience, par exemple si l'échantillon entier doit être immergé.
en_000061	"""Vous auriez besoin de la quantité de vinaigre versée dans chacun des bouchons. C'est parce que l'expérience vous dit seulement de """"verser du vinaigre"""" mais quand les gens lisent l'expérience, ils peuvent ne pas savoir quelle quantité de vinaigre mettre."""
en_000062	Ce groupe a omis une chose très importante dans sa procédure. Tout d'abord, ils ne nous ont pas dit quelles solutions utiliser pour l'expérience. Ils ne nous ont pas indiqué la quantité de vinaigre à utiliser ni la taille des récipients. Nous aurions besoin de toutes ces informations pour reproduire ce laboratoire.
en_000063	Vous aurez besoin du nom des quatre échantillons que vous utiliserez pour faire un tableau pour enregistrer les données. Notez que vous devez enregistrer la masse initiale, la masse finale et la différence de masse.
en_000064	J'aurais également besoin de savoir comment ils ont déterminé la masse et quel type d'instrument a été utilisé. De même, lorsqu'ils disent de placer un échantillon du matériau, de quelle quantité de chaque type vais-je avoir besoin ?
en_000065	Tout d'abord, vous devrez mesurer le poids du conteneur et le soustraire du poids des échantillons pour ne pas avoir accidentellement un poids supplémentaire. Calculez la différence de temps qu'il a fallu pour les préparer. Utilisez le même poids pour chaque échantillon.
en_000066	Pour reproduire exactement cette expérience, vous devez savoir comment ils ont mesuré la masse de l'objet, car sans cela, comment pouvons-nous déterminer les différentes masses ? Nous devons connaître la masse initiale, la masse finale et la différence de masse.
en_000067	Après avoir lu la procédure du groupe, je ne savais pas quelle quantité de vinaigre ils allaient verser dans les récipients. Ce groupe n'a pas non plus indiqué l'heure de début à laquelle il a ajouté le vinaigre. Ce groupe n'a pas non plus indiqué la raison des données, il a juste dit de les déterminer.
en_000068	J'aurais besoin de la quantité de roch dans chaque récipient. J'aurais besoin de la quantité de vinaigre dans chaque récipient. J'aurais besoin de la même sorte de vinaigre dans chaque récipient. J'aurais besoin de toutes ces informations supplémentaires pour reproduire ce réactif.  J'aurais également besoin de la quantité d'essais effectués.
en_000069	1. une liste des matériaux et des exigences de sécurité. 2. la quantité de vinaigre à mettre dans les récipients. ^p 3.la température de la pièce/du vinaigre ^p 4.un groupe témoin.
en_000070	L'information supplémentaire dont vous avez besoin pour reproduire cette expérience est un groupe témoin. Un groupe témoin ne doit avoir aucun effet sur l'échantillon et est nécessaire pour que vous puissiez baser vos réponses sur des sources fiables. Pour reproduire cette expérience, nous devons également connaître la quantité de vinaigre que nous mettons sur l'échantillon. Nous aurions également besoin de savoir.
en_000071	Ce dont vous auriez besoin, c'est de savoir quelle quantité de vinaigre est ajoutée à chaque échantillon. Par exemple, un échantillon peut être dans une quantité différente de vinaigre. Ce qui peut fausser leurs masses finales.
en_000072	"""Nous aurions besoin de savoir quels échantillons ils ont utilisé pour l'expérience, ils disent juste ""échantillons"". Nous devons savoir quelle quantité de vinaigre ils ont versé dans chaque tasse et nous devons savoir avec quelles unités mesurer la masse des échantillons. Ils devraient spécifier que nous devrions les peser en grammes."""
en_000073	Ce que le groupe d'élèves a fait, c'est déterminer la masse de différents échantillons. Ce que je ferais donc : ce qu'ils ont fait au début de l'enquête, j'utiliserais les échantillons et ferais une autre expérience avec les échantillons.
