id	text
en_002788	Changer le type de graine améliorerait l'expérience de l'étudiant et lui permettrait d'obtenir de meilleures données. ^Présenter les noms de chaque type de plastique utilisé dans cette expérience. Chaque plastique doit être de la même longueur. Ma conclusion est que le type de plastique a tenu beaucoup plus longtemps que tous les autres types.
en_002789	Je conclus des données des élèves que le type de plastique B était le plus extensible, tandis que le type A est le moins extensible. Les élèves auraient pu améliorer leur expérience de deux façons : ils auraient pu décrire la quantité de hauteur à utiliser. Ils auraient également pu obtenir des résultats plus valables en précisant la quantité de plastique à utiliser, en accrochant le tableau.
en_002790	Les étudiants auraient également pu améliorer leur expérience en se procurant une meilleure marque de plastique ou simplement en refaisant l'expérience.
en_002791	Une conclusion que je peux tirer de cette expérience est que le plastique de type B est le plus extensible, car dans le premier essai, il s'est étiré de _22 mm, tandis que dans le deuxième essai, il s'est étiré de 23 mm sans se casser. L'étudiant peut améliorer le modèle en ajoutant des poids supplémentaires. Une autre façon est d'inclure plus d'essais afin d'avoir plus de points de comparaison.
en_002792	a. Une conclusion que je peux tirer est que le plastique B s'est étiré le plus, suivi du plastique D, puis du plastique C et enfin du plastique A. b. Ils auraient pu faire plus d'essais. Deux essais ne suffisent pas pour avoir une expérience valable. Ensuite, ils auraient pu préciser la longueur que devait avoir chaque plastique. S'il y a plus ou moins de longueur sur un plastique, il pourrait y avoir plus de polymères, ce qui rendrait l'expérience invalide.
en_002793	Ma conclusion à cette expérience est que l'échantillon de plastique B s'est étiré le plus parce que c'était probablement un échantillon qui s'étire facilement. B) Deux choses qui pourraient être changées est de dire quel type de plastique c'était et de dire combien de poids est mis sur chaque pince.
en_002794	Vous pouvez conclure que le plastique B était le plus maluble et pouvait s'étirer le plus, tandis que le plastique A était le plus rigide et le moins étirable. L'expérience aurait pu être améliorée de deux façons : faire des essais sur une plus longue durée, pour voir si le temps est un facteur. L'utilisation de poids différents pour les différents essais aurait également permis d'obtenir des données plus utiles.
en_002795	En examinant les résultats, on peut voir que les plastiques de type B et D se sont étirés presque deux fois plus que les deux autres types. Cela nous montre que B et D sont très probablement des polymères de faible densité en raison de leur flexibilité. A et C, en revanche, ne sont pas aussi flexibles et sont donc des polymères de haute densité. L'expérience aurait pu être améliorée en ajoutant un autre type de plastique ou en faisant plus d'essais. Les poids auraient également pu être modifiés pour tester la résistance.
en_002796	Le matériau de type A s'est le moins étiré, et le matériau de type B s'est le plus étiré. Le matériau de type B s'est étiré d'environ _12 mm de plus que le matériau de type A. L'élève aurait pu améliorer l'expérience en se procurant du plastique de différentes longueurs pour le tester de différentes manières. Il aurait également pu ajouter d'autres essais et en faire la moyenne pour obtenir des résultats plus précis.
en_002797	a) Une conclusion sur ces données est que le plastique de type A+B s'est étiré plus longtemps lors du deuxième essai, que le type C s'est étiré plus longtemps lors du premier essai et que D est resté le même. Vous pouvez également conclure que le plastique B est le plus extensible. B) Les élèves auraient pu améliorer le signe expérimental de deux façons : ils auraient pu faire plus d'essais pour augmenter la validité. Ils auraient également pu utiliser la même longueur de plastiques différents à chaque fois.
en_002798	a. Il est prouvé que le plastique de type B est le matériau le plus étirable parce qu'il s'est étiré à la plus grande longueur, soit _22 mm et 23 mm. b. Deux façons d'améliorer l'expérience : il faudrait faire deux essais et maintenir constante la taille de chaque matériau avant de l'étirer.
en_002799	A) D'après les données de l'élève, je peux conclure que le plastique de type A est le plus durable parce qu'il s'est étiré le moins (une moyenne de _11 mm), tandis que le plastique de type D est le moins durable. B) Pour améliorer cette expérience, les élèves auraient pu ajouter un témoin et préciser la quantité de poids à ajouter à la pince.
en_002800	D'après les données des élèves, le plastique B s'est étiré davantage. b) Les élèves auraient pu améliorer l'expérience en reposant les plastiques à la même longueur et en faisant plus que deux essais avec Sam. En mettant la même quantité de poids dans le type de sac en plastique.
en_002801	a) Les élèves ont conclu que le plastique B était le plus flexible, s'étirant jusqu'à _23 mm lors du deuxième essai et 22 mm lors du premier. b) L'élève aurait pu améliorer la conception et la validité de son laboratoire de deux façons. Premièrement, il aurait pu faire l'expérience une troisième fois pour confirmer les résultats. Deuxièmement, l'étudiant aurait pu être plus descriptif dans sa procédure en expliquant comment ajouter du poids à la pince et quelle quantité de poids il faut réellement ajouter.
en_002802	D'après les données de l'élève, il semble que les quatre types de plastique se soient étirés d'au moins _10 mm. L'étirement le plus important a été de 22 mm pour le type de plastique B, puis de 20 mm pour D, de 14 mm pour C et de 10 mm pour A. Pour rendre l'expérience plus valide, l'élève pourrait effectuer d'autres essais, peut-être en utilisant un autre type de pince ou d'autres poids pour tester la flexibilité du plastique.
en_002803	Une conclusion qui peut être tirée des données de l'élève est que le plastique B est le plus extensible. L'élève aurait pu imposer le plan d'expérience ou la validité des résultats de deux façons. Les élèves auraient pu dire quelle était la longueur initiale du plastique et garder tous les autres plastiques à la même longueur, car si un plastique était plus long que l'autre, l'expérience ne serait pas valide. Ils auraient également pu dire combien pesaient les poids utilisés, car l'un pouvait être plus lourd que l'autre.
en_002804	Une conclusion que l'on peut tirer de cette expérience est que le plastique de type D s'étire le plus, le plastique de type D le deuxième plus, le plastique C le troisième plus et le plastique A le moins. Les élèves auraient pu améliorer la validité de l'expérience en incluant d'autres essais. Ils auraient également pu déterminer la taille ou le poids à utiliser dans l'expérience.
en_002805	A. D'après les données de cet élève, je conclus que l'essai _2 a été plus efficace.^p B. Une façon dont l'élève aurait pu améliorer le plan expérimental est de donner les noms des plastiques qu'ils ont utilisés.
