id	text
en_002788	改变格拉芬的类型会改善学生的实验，给那些数据_一个更好的新。^P 给出本实验中使用的每种塑料类型的名称。每个塑料都应该是相同的长度。^P 我的结论是塑料类型比所有不同类型的塑料撑得更大。
en_002789	从学生的数据中得出结论，B型塑料是最有弹性的，而A型是最没有弹性的。学生们可以改进他们的实验的两个方法是描述要使用多少高度。另_一个他们可以得到更有效的结果的方法是说明要用多少塑料，挂在桌子上。
en_002790	学生可以改进实验的两个方法是获得更好的塑料品牌或者干脆重新做实验。
en_002791	我可以从这个实验中得出的_一个结论是，B型塑料是可拉伸的，因为在试验一中它拉伸了22毫米，而在试验二中它拉伸了23毫米而没有断裂。学生可以改进设计的一个方法是增加更多的砝码。第二个方法是包括更多的试验，以便有更多的比较。
en_002792	a.我可以得出的_一个结论是，塑料B的拉伸度最大，其次是塑料D，然后是塑料C，最后是塑料A。两次试验不足以构成一个有效的实验。接下来他们可以说每个塑料必须有多长。如果一种塑料有多长或少长，那么可能会有更多的聚合物，使实验无效。
en_002793	我对这个实验的结论是，塑料样品B拉伸得最多，因为它很可能是_一个容易拉伸的样品。^p B）可以改变的两件事是说它是哪种塑料，以及说希望在每个夹子上放多少重量。
en_002794	你可以得出结论，塑料B的可塑性最强，能够伸展得最多，而塑料A的刚性最强，伸展性最小。实验可以改进的两个方法是，还可以测试更长的时间，看看时间是否是_一个因素。在不同的试验中使用不同的砝码也可以得到更多有益的数据。
en_002795	通过观察结果，我们可以看到B和D型塑料的拉伸程度几乎是其他两种类型的两倍。这向我们表明，B和D很可能是低密度聚合物，因为它们有弹性。然而，A和C没有那么大的弹性，因此是高密度聚合物。这个实验本可以通过增加另_一种塑料类型或进行更多的试验来加以改进。也可以改变重量来测试强度。
en_002796	A型材料的拉伸度最小，B型材料的拉伸度最大。B型材料比A型材料多拉伸了_12毫米。这个学生可以通过一些方法来完成这个实验，比如找不同长度的塑料来测试不同的方法。此外，他还可以增加更多的试验，并把它们平均起来，以获得更准确的结果。
en_002797	a) 关于这个数据的结论是，A+B型塑料在第_二次试验中拉长了，C型塑料在第一次试验中拉长了，D型塑料保持不变。你也可以得出结论，塑料B的伸展性最大。B) [学生们可以改进实验的两个方法是，他们可以做更多的试验来增加有效性。他们还可以每次使用相同长度的不同塑料。
en_002798	a.B型塑料被证明是最容易被拉伸的材料，因为它已经严格到了最大的长度，即_22毫米和23毫米。 b. 改进实验的2个方法是应该有2次试验，而且每种材料在被拉伸之前的尺寸应该保持不变。
en_002799	A) 根据学生的数据，我可以得出这样的结论：A型塑料是最耐用的，因为它的拉伸度最小（平均为_11毫米），而D型塑料是最不耐用的。^P B) 为了改进这个实验，学生们可以增加一个对照，并规定应该在夹子上增加多少重量。
en_002800	根据学生的数据，塑料B型的拉伸度更大。 b 学生们可以通过将塑料放在相同的长度上，也可以通过使用Sam做更多的试验来改进这个实验。在不同类型的塑料袋中放置相同数量的重量。
en_002801	a) 学生们得出结论，塑料袋B是最有弹性的，在第_二次试验中伸展到23毫米，而在第一次试验中伸展到22毫米。首先，他可以做第三次实验以进一步确认结果。其次，该学生可以在他的实验过程中更多地描述如何向夹子增加重量以及实际增加多少重量。
en_002802	根据学生的数据，看起来所有_4种类型的塑料都至少拉伸了10毫米。B型塑料的拉伸量最大，为22毫米，D型为20毫米，C型为14毫米，A型为10毫米。
en_002803	从学生的数据中可以得出的_一个结论是，塑料B具有最大的伸展性。这个学生可以通过两种方式对实验设计和结果的有效性进行规定。学生可以说塑料的初始长度是多少，并使所有其他塑料保持相同的长度，因为如果一种塑料比其他塑料长，实验就有效了。他们还说了正在使用的砝码的重量，因为一个可能比另一个重。
en_002804	根据这个实验可以得出的结论是：D型塑料的拉伸度最大，D型塑料的拉伸度第_二，C型塑料的拉伸度第三，A型塑料的拉伸度最小。学生们可以通过加入其他试验来提高实验的有效性。也包括在实验中使用什么尺寸或多大的重量。
en_002805	A.根据这个学生的数据，我得出结论，试验_2更有效。^p B. 这个学生可以改进实验设计的一个方法是给出他们使用的塑料的名称。
en_002806	a) 综上所述，A型塑料是最强的塑料，D型塑料是最弱的塑料，因为它拉得最紧。^P B)学生应该确保所有的塑料长度都相等。实验者还应该在同_一时间测试它们，以获得准确的数据。
en_002807	如数据表所示，我可以得出结论，B型塑料在_5分钟内能够拉伸得最多。  该表还显示，A型塑料的拉伸程度最小，得出的结论是它非常坚固或聚合物较少。学生们可以改进他们的实验设计的两个方法是确保所有的塑料样品都是相同的长度。学生们可以改进实验的另一个方法是包括重量，这样就可以清楚地说明/看到一个自变量。
en_002808	a.根据学生的数据，我可以得出结论，T_2的结果总体上比T1好，因为T1的A、B和C都比T1长。^p 3b.该学生本可以通过说明添加到夹子上的重量来改进实验设计和结果的有效性，而且该学生还应该说明所使用的塑料，以使观点更加有效。^p A-10, 12.^p B-22, 23.^p C-14, 13.^p D-20，20。
en_002809	第_二条线索的前两个数字比第一条线索的两个数字要高。一个数字比第一次低，而另一个数字是一样的，一个可以改进实验的方法是他们可以把结果做成图表。
en_002810	这个实验的问题是，在测量过程中，塑料要花多少重量才会发生变化。结论是，T_2更成功。学生可以改进的一个方法是解释每个砝码的重量，以及如何最好地把每个砝码加到夹子上。他们可以改进的另一个方法是使用准确的塑料类型和相同的测量。
en_002811	"(a) 塑料类型""B 是由最有弹性的材料制成。(b) 它没有说增加的重量有多少或有多重，导致结果不准确。另外，任何试验或塑料类型的长度都不_一样。"""
en_002812	塑料类型''B''含有最大的弹性。他们本可以解释_一些不同的程序，并更清楚地解释程序，因为当你解释一个程序时，你想以一种任何人都可以喜欢的方式来解释它。
en_002813	总之，根据收集到的学生数据，B型塑料被拉得最远。提高其设计有效性的方法之_一是使用不同尺寸的塑料样品。另一个提高有效性的方法是获得广泛的不同类型的塑料。
en_002814	a) 在其他_3种类型的塑料中，B型的拉伸性最强。b) 学生应该清楚每个塑料的长度，以确保只有自变量是塑料的类型。另外，学生必须确定夹在塑料上的砝码的重量，以保持一个自变量（塑料类型）。保持你的常数，是很重要的。
en_002815	根据该学生的数据，看起来他们想看看他们的塑料类型是否对它能拉伸多远有影响。D型塑料必须是硬塑料，因为在试验_一和试验二中，塑料都没有移动1毫米。学生们本可以通过告诉我们他们使用了多少重量来改进他们的结果。没有重量，就没有人知道该用多少，所以我们的结果会不同。另外，在步骤1中，学生们没有说塑料必须被切割多长。
en_002816	根据数据，我得出结论，在_四种不同的聚合物塑料中，B型塑料能够拉伸最多的毫米，即23毫米。其他塑料类型如A型只拉伸了12毫米；C型塑料只拉伸了13毫米，B型塑料只拉伸了20毫米。
en_002817	答：根据数据，我可以得出结论，塑料B的伸展性最大，它伸展了_22和23毫米。C型14和13毫米和D型20,20毫米之间。^p B. 该学生可以改进他们的实验设计的一个方法是把所有的东西都克隆出来。什么塑料，它们有多长等等。他们可以通过做三次而不是两次试验来提高他们的有效性。
en_002818	A型塑料似乎是有弹性的，因为它被拉伸了_2毫米，而B和C只拉伸了1毫米。而D型是没有伸缩性的，因为数量保持在20毫米。学生可以用重的东西做胶带把它固定在桌子上，以方便它脱落，他们也可以用比夹子更好的东西来拉伸它。
en_002819	A.我的结论是，根据数据，塑料B具有最大的伸展性。该学生可以通过做第_三次试验来改进实验，如果需要的话，还可以做第四次。该学生还可以重复这个过程，找出T1数据与T2数据不同的原因。
en_002820	B型塑料是_4种塑料中最容易拉伸的，达到22-23毫米。为了改进这个实验，做实验的人需要知道砝码的重量以及作为另一个砝码的夹子。
en_002821	总之，在T_1和T2中，具有最大伸展性的聚合物是聚合物B，在其他聚合物中，聚合物B的毫米数最高。因此，它的拉伸量最大。在未来，我认为学生记录他们在测试每种聚合物时所用的重量会有帮助。我还认为，为了对结果有信心，进行更多的试验会有好处。
en_002822	a) B型塑料比A、C或D型塑料更容易拉伸，因为在试验_1中，B型塑料拉伸了22毫米，它拉伸了23毫米。a）该学生可以通过具体说明她使用的是哪4种聚合物来改进实验设计，该学生可以通过总结更多的试验来提高结果的有效性，而不仅仅是2次。
