id	text
zh_100001	Weiß::Weiß ist die beste Farbe für Zwingerfarbe, die Glasflasche mit weißem Deckel hat den geringsten Temperaturanstieg von den vier Farben, und wenn sie auf einen Zwinger aufgetragen wird, steigt die Lufttemperatur innerhalb des Zwingers relativ wenig an.
zh_100002	Weiß::Wählen Sie weiß Der Temperaturanstieg von _24 Grad auf 42 Grad ist zum Wohnen geeignet, die durchschnittliche Versuchstemperatur betrug 42 Grad
zh_100003	Dunkelgrau:: Diese Farbe ermöglicht es, dass die Außenwelt weniger Einfluss auf den Innenraum hat, so dass das Tier unbeeinflusst von der Außenwelt leben kann. Die Lufttemperatur änderte sich in den Experimenten _1, 2 und 3 nicht aufgrund von Veränderungen in der Außenwelt.
zh_100004	Dunkelgrau:: Die dunkelgraue Farbe hat eine isolierende Wirkung und hält den Hund warm und bequem. Die obige Tabelle zeigt, dass nur die dunkelgraue Farbe die Temperatur im Glas nach _10 Minuten konstant hielt.
zh_100005	Weiß:: Die Temperatur im Inneren des Zwingers bleibt zwischen _41-43°C. Die durchschnittliche Temperatur des Zwingers in den Versuchen 1 - 3 betrug 42°C für Weiß.
zh_100006	Dunkelgrau::Die Temperatur im Inneren des dunkelgrauen bleibt bei Sonnenlicht im Wesentlichen gleich, bei wechselndem Wetter ist die Innenumgebung stabiler, der Hund hält sich wärmer, um das Krankheitsrisiko zu verringern
zh_100007	Dunkelgrau:: Dunkelgrau bleibt im Sonnenlicht mehr oder weniger gleich, bei wechselndem Wetter ist das Raumklima stabiler und hilft, den Hund wärmer zu halten, um das Krankheitsrisiko zu verringern.
zh_100008	Weiß:: Weiß ist die hellste Farbe und absorbiert am wenigsten Energie, so dass die Innentemperatur des Zwingers für die Hunde besser geeignet ist.
zh_100009	Schwarz:: Diese Farbe macht die Temperatur im Inneren des Zwingers wärmer Schwarz war die wärmste der vier Farben in _123
zh_100010	Hellgrau:: Diese Farbe hält die Luftfeuchtigkeit im Zwinger auf dem richtigen Niveau
zh_100011	Weiß:: Hält die Temperatur im Inneren des Zwingers auf der richtigen Temperatur, Weiß absorbiert Wärme langsam und sparsam und die Temperatur des Zwingers steigt nicht zu schnell oder zu hoch
zh_100012	Weiß::: je heller die Farbe, desto besser die Wärmeableitung Der obere Versuch nimmt im Durchschnitt von schwarz nach weiß ab
zh_100013	Schwarz:: Mit zunehmender Lichteinstrahlung steigt die Temperatur im Inneren des Zwingers schneller an und die Lufttemperatur im Inneren des schwarzen Deckels ist pro Zeiteinheit höher
zh_100014	Hellgrau:: Temperatur-Wärme-Wahrnehmung des Zwingers
zh_100015	Hellgrau::Hundehütte kleines Haus Stil sollte mehr Holzstruktur seine Wärmeübertragung sollte nicht zu groß sein Sonnenlicht scheint auf das Haus durch die Wärmeübertragung und die Luft im Inneren des Zwingers wird aufgeheizt, aber wenn die Farbe zu dunkel ist es wird dazu führen, dass die Temperatur im Inneren des Raumes auch steigen vor allem im Sommer der Hund wird Hitzschlag in den Raum im Winter warm zu halten, sondern auch nach der Hemisphäre, wo die Tür ist mit Blick auf die Sonne oder mit dem Rücken zur Sonne und andere Reihe von Faktoren so die experimentellen Ergebnisse sind nur als Referenz
zh_100016	Schwarz:: Schwarz hat die größte Fähigkeit, Wärme zu absorbieren und den Zwinger warm zu halten
zh_100017	Weiß:: es besteht ein gewisser Temperaturunterschied
zh_100018	Dunkelgrau:: gleichmäßigere Temperaturschwankungen
zh_100019	Hellgrau:: je dunkler die Farbe, desto stärker der Temperaturanstieg Schwarz hat die höchste Durchschnittstemperatur und den höchsten Temperaturanstieg in jeder Kontrollgruppe
