id	text
zh_100001	White::White is the best color for dog kennel paint, the glass bottle with white lid has the least temperature rise among the four colors, if applied to dog kennel, it can make the air temperature inside the kennel rise relatively less.
zh_100002	White::Choose white The temperature rises from _24 degrees to 42 degrees suitable for living, and the average temperature of the experiment is 42 degrees
zh_100003	Dark gray:: This color makes the outside world have less influence on the interior, so that the pet's life is not affected by the outside world, in experiments _1, 2, 3, the air temperature did not change due to changes in the outside world
zh_100004	Dark gray:: dark gray can play the role of insulation, can ensure the temperature and comfort of the dog Through the above table can be seen, only dark gray and then _10 minutes after the temperature inside the glass bottle remains unchanged
zh_100005	White:: The temperature inside the kennel will be maintained between _41-43℃, the average temperature of white on the kennel is 42℃ in experiment 1 - experiment 3
zh_100006	Dark gray:: dark gray in the sun the indoor temperature remains basically the same, with the weather changes in the indoor environment is more stable, the dog more warm to reduce the risk of disease
zh_100007	Dark gray:: dark gray in the sunlight indoor temperature remains basically the same, with the weather changes indoor environment is more stable, conducive to the dog's warmth to reduce the risk of disease
zh_100008	White:: white color is the lightest and absorbs the least amount of energy, so the internal temperature of the kennel is more suitable for dogs to live, the experiment can be obtained from the white lid of the bottle temperature three experiments the lowest average temperature, close to the temperature suitable for biological survival
zh_100009	Black:: the color can make the temperature inside the kennel more insulation effect black in _123 are in the four colors in the highest temperature of a
zh_100010	Light gray:: this color keeps the humidity inside the kennel just right
zh_100011	White:: the temperature inside the kennel is at the right temperature, white absorbs heat slowly and less The temperature of the kennel does not rise too fast and does not rise too high
zh_100012	White:: the lighter the color, the better the heat dissipation ability, the upper experiment from black to white average decreasing
zh_100013	Black::: as the light enhances the temperature inside the kennel rises faster, the air temperature inside the black lid is higher per unit of time
zh_100014	Light gray:: temperature heat on the feeling of the kennel
zh_100015	Light gray:: dog kennel small house style should be more wooden structure whose heat transfer should not be too large sunlight shines on the house through heat transfer and the air in the kennel heated up but if the color is too dark it leads to the temperature in the room also rises especially in the summer dogs in the room will be heat stroke in the winter to keep warm but should also be based on the hemisphere where the door is facing the sun or back to the sun and other series of factors so the experimental results are for reference only
zh_100016	Black:: black has the strongest ability to absorb heat and make the kennel warm
zh_100017	White:: there is a certain temperature difference
zh_100018	Dark gray:: the temperature changes more evenly
zh_100019	Light gray:: the darker the color, the greater the temperature rise Black has the highest average temperature and the highest temperature rise in each control group
zh_100020	Dark gray:: it makes the whole kennel interior look dim but it raises the temperature steadily and rarely changes the temperature after _10 minutes.
