id	text
zh_020001	A. El plástico A es el que menos se estira B. Tomar la misma longitud inicial de cada tipo de plástico, utilizar las mismas pinzas y pesos
zh_020002	C buena elasticidad D elasticidad estable AB mala elasticidad Dos masas diferentes de pesas Tiempo de suspensión prolongado de las pesas
zh_020003	(_1) El plástico de tipo A es menos elástico y el de tipo D es menos elástico (2) Para garantizar que la muestra no esté sometida a fuerzas externas durante el experimento
zh_020004	A: a. El polímero plástico de tipo B es más elástico b. (_1) Las pinzas se pueden cambiar por ganchos (2) El peso de las pesas con ganchos se puede determinar observando el peso de las pesas con ganchos cuando se estiran para la misma longitud
zh_020005	a. Los plásticos de tipo B son los que más se pueden estirar b. Se puede experimentar con los tipos de plásticos utilizando diferentes métodos. Se pueden sacar diferentes conclusiones
zh_020006	a El plástico B tiene la mayor elasticidad y el A la menor. b Fijar el extremo del polímero plástico debajo de una tabla y tirar de la tabla para repetir el experimento comparar el alargamiento
zh_020007	(_1) no todos los polímeros plásticos se alargan tras el alargamiento (2) las pesas pueden pesarse para ahorrar tiempo (3) las pesas deben dejarse en reposo durante un tiempo tras su retirada para reducir errores o datos inflados
zh_020008	(_1) El tipo A es el más elástico, el tipo B es el menos elástico (2) Los materiales tienen la misma longitud inicial Tipos diferentes
zh_020009	Conclusión: el plástico puede estirarse Método: (_1) colgar las pesas durante más tiempo (2) utilizar el plástico no utilizado para el segundo experimento
zh_020010	Conclusión: los materiales tienen diferente elasticidad de polímero Método: el mismo polímero plástico se probó tres veces a diferentes alargamientos
zh_020011	(_1) el material B es más elástico (2) pruebas múltiples (3) diferentes materiales tienen diferentes elasticidades
zh_020012	a A es el más elástico D es el menos elástico b (_1) Se debe controlar que los cuatro polímeros tengan la misma longitud (2) Observe si el polímero puede volver a su estado original después de cada experimento
zh_020013	Conclusión: los diferentes plásticos tienen diferentes elasticidades (_1) hacer más experimentos (2) aumentar el número de pesos
zh_020014	(_1) La mayoría de los plásticos se estiran (2) Controlar las condiciones externas como el viento
zh_020015	a Diferentes longitudes tienen diferentes cantidades de estiramiento b Cambiar uno ABCD debe ser la misma longitud inicialmente y luego repetir el experimento Cambiar dos
zh_020016	Los plásticos de clase A tienen la mayor capacidad de estiramiento (_1) La fuerza empleada no debe superar la elasticidad del polímero plástico (2) Hay que tener cuidado al añadir pesos
zh_020017	a D el plástico no se extiende hasta su valor máximo C tiene buena elasticidad b (_1) Registre la longitud inicial (2) Aumente el número de pesos
zh_020018	a La elasticidad del polímero plástico es ACDB de pequeño a grande b Prolongar el tiempo de suspensión Controlar la longitud del lado suspendido libremente para estar seguros
zh_020019	Los diferentes tipos de plásticos tienen diferentes elasticidades
zh_020020	a la cantidad de estiramiento del plástico D sigue siendo la misma b cambiar el tiempo de colgado de las pesas Nota la variable de control
zh_020021	(_1) La longitud de estiramiento del mismo tipo de plástico fluctúa hacia arriba y hacia abajo en torno a un valor determinado (2) Múltiples experimentos Variando el tiempo de estiramiento del objeto
