id	text
zh_020001	A. Le plastique A est le moins extensible B. Prenez la même longueur initiale de chaque type de plastique, utilisez les mêmes pinces et les mêmes poids.
zh_020002	C bonne élasticité D élasticité stable AB mauvaise élasticité Deux masses différentes de poids Temps d'accrochage des poids prolongé
zh_020003	(_1) Le plastique de type A est moins élastique et le type D est moins élastique (2) Pour s'assurer que l'échantillon n'est pas soumis à des forces externes pendant l'expérience.
zh_020004	A : a. Le polymère plastique de type B est plus élastique b. (_1) Les pinces peuvent être remplacées par des crochets (2) Le poids des poids crochetés peut être obtenu en observant le poids des poids crochetés lorsqu'ils sont étirés sur la même longueur.
zh_020005	a. Les plastiques de type B peuvent être étirés le plus longtemps b. Les types de plastiques peuvent être expérimentés en utilisant différentes méthodes. Différentes conclusions peuvent être tirées
zh_020006	a le plastique B a la plus grande élasticité et A la plus faible. b fixez l'extrémité du polymère plastique sous une planche et tirez sur la planche pour répéter l'expérience ; comparez l'allongement.
zh_020007	(_1) tous les polymères plastiques ne s'allongent pas après l'élongation (2) les poids peuvent être pondérés pour gagner du temps (3) les poids doivent être laissés debout pendant un certain temps après avoir été retirés pour réduire les erreurs ou les données gonflées
zh_020008	(_1) A est le plus élastique, le type B est le moins élastique (2) Les matériaux ont la même longueur initiale Différents types
zh_020009	Conclusion : le plastique peut être étiré Méthode : (_1) suspendre les poids plus longtemps (2) utiliser le plastique inutilisé pour la deuxième expérience
zh_020010	Conclusion : les matériaux ont une élasticité différente du polymère Méthode : le même polymère plastique a été testé trois fois à des élongations différentes
zh_020011	(_1) le matériau B est plus élastique (2) tests multiples (3) différents matériaux ont des élasticités différentes
zh_020012	a A est le plus élastique D est le moins élastique b (_1) Les quatre polymères doivent être contrôlés pour être de la même longueur (2) Observez si le polymère peut être ramené à son état initial après chaque expérience.
zh_020013	Conclusion : les différents plastiques ont des élasticités différentes (_1) faire plus d'expériences (2) augmenter le nombre de poids
zh_020014	(_1) La plupart des plastiques seront étirés (2) Contrôlez les conditions extérieures telles que le vent.
zh_020015	a Des longueurs différentes ont des étirements différents b Changement un ABCD doit être de la même longueur au départ puis répéter l'expérience Changement deux
zh_020016	Les plastiques de classe A ont la plus grande capacité d'étirement (_1) La force utilisée ne doit pas dépasser l'élasticité du polymère plastique (2) Soyez doux lorsque vous ajoutez des poids.
zh_020017	a D plastique ne s'étend pas jusqu'à sa valeur maximale C a une bonne élasticité b (_1) Enregistrer la longueur initiale (2) Augmenter le nombre de poids
zh_020018	a L'élasticité du polymère plastique est ACDB de petite à grande b Prolonger le temps de suspension Contrôler la longueur du côté librement suspendu pour être certain
zh_020019	Les différents types de plastiques ont des élasticités différentes.
zh_020020	a la quantité d'étirement du plastique D reste la même b changer le temps d'accrochage des poids Note la variable de contrôle
zh_020021	(_1) La longueur d'étirement d'un même type de plastique fluctue autour d'une certaine valeur (2) Expériences multiples : variation du temps d'étirement de l'objet.
zh_020022	Conclusions : a Les différents polymères plastiques ont une élasticité différente b (_1) Faites cette expérience à différentes températures (2) Le poids ajouté augmente en poids
zh_020023	un plastique D a une bonne reprise élastique par rapport aux trois autres b(_1) peut être testé en changeant le poids des poids de manière appropriée (2) en retirant les poids et les pinces, demandez au type de plastique d'être comprimé ou étiré pour essayer de faire revenir la déformation
zh_020024	L'échantillon de plastique est élastique. Remplacez les pinces par des cordons fins pour réduire l'effet des pinces sur l'expérience et ainsi réduire l'erreur.
zh_020025	(_1) L'étirement varie d'un plastique à l'autre (2) (1) La longueur doit être mesurée avant que les poids et les pinces ne soient retirés (2) Le deuxième test doit être effectué lorsque la longueur du plastique a été récupérée.
zh_020026	Augmenter le poids des poids
zh_020027	a Conclusion : deux expériences sur un plastique Certaines erreurs existent b (_1) les poids auraient pu être suspendus un peu plus longtemps (2) certaines variables de contrôle ont été appliquées au plastique
zh_020028	a Le plastique B est bien ductile b(_1) Essayez avant l'expérience de voir si le plastique est ductile sans l'expérience (2) Une approche de variable contrôlée devrait être prise pendant l'expérience
zh_020029	a certains plastiques se sont allongés certains se sont raccourcis certains non b(_1) prolonger le temps d'accrochage des poids (2) changer le poids des poids
zh_020030	a C est plus élastique D est relativement stable AB est moins élastique (_1) Faites deux expériences avec des poids de masses différentes du même matériau.
zh_020031	a Le matériau de type A est plus élastiqueb (_1) Changez la masse des poids Contrôlez la variable positive Réalisez plusieurs expériences (2) Changez la durée de suspension des poids Contrôlez la variable Réalisez plusieurs expériences
zh_020032	(_1) Le plastique D est plus élastique et plus stable (2) Rendre les longueurs initiales des différents plastiques identiques
zh_020033	(_1) Le plastique D est le plus élastique (2) Les poids ont des masses différentes Les échantillons de plastique ont tous la même largeur
zh_020034	a Le plastique D est le plus élastique b(_1) Mesuré une fois lorsque les poids ont été accrochés pour la première fois Mesuré à nouveau cinq minutes plus tard
zh_020035	a Le plastique D est plus élastique et moins susceptible de se déformer b Il est plus facile d'observer les méthodes de déformation du plastique telles que le pliage variable Observer sa récupération
zh_020036	Conclusion : Le plastique est le plus élastique des ABCD Méthode : Un collègue étire quatre plastiques de longueur égale et compare ensuite l'allongement des autres.
zh_020037	(_1) B est plus élastique D a des propriétés élastiques plus stables 
zh_020038	a (_1) La quantité d'étirement variait entre les différents types de plastique Les résultats des deux expériences étaient proches b Plusieurs des trois types de plastique ont été pris pour des expériences répétées Enregistrez les données
zh_020039	(_1) Le plastique n'est pas très élastique (2) Il faut utiliser des mesures plus légères et ne pas utiliser de poids.
zh_020040	Conclusion : les polymères plastiques D sont plus stables en élasticité Méthode : Plan d'expérience (_1) expériences multiples pour éviter le hasard (2) respect strict des variables de contrôle
zh_020041	(_1) l'élongation du polymère ne change pas beaucoup mais augmente avec le nombre d'expériences (2) méthode de variable contrôlée
zh_020042	a Conclusion : abcd quatre polymères plastiques différents présentent des différences d'élasticité b peut sélectionner simultanément deux des mêmes produits plastiques pour des opérations expérimentales connexes Améliorer la synchronisation expérimentale Réduire les erreurs de mesure
zh_020043	Conclusion : les bouteilles en plastique de type D sont moins susceptibles d'être étirées Méthode : (_1) Ajoutez les mêmes poids aux attaches fixées autour des bords des quatre bouteilles en même temps Contrôlez le temps pour retirer les poids afin qu'il soit le même (2) Effectuez le deuxième essai après un certain temps après avoir terminé le premier essai
zh_020044	D les plastiques sont plus élastiques et ont un effet constant
zh_020045	Différents types de plastique entraînent des étirements différents Augmenter le temps d'accrochage Utiliser des plastiques faciles à mesurer Remarque : quelle peut être l'utilité des polymères pour étudier la longueur des plastiques Est-elle plus précieuse que d'autres propriétés telles que les effets de la température ?
zh_020046	Les matériaux de classe B ont la plus grande élasticité Augmentez le nombre d'expériences et mesurez la longueur plus souvent
