id	text
zh_100001	白色::白色为最佳的狗窝涂料颜色，在_四种颜色中白色盖子的玻璃瓶温度上升最少，若应用于狗窝，能使狗窝内部的空气温度相对上升较少。
zh_100002	白色::选白色 由_24度上升到42度适宜居住，实验平均气温为42度
zh_100003	深灰色::该颜色使外界对内部影响较小，让宠物生活不受外界较大影响，在实验_1，2,3中空气温度都未因外界变化而改变
zh_100004	深灰色:: 深灰色能够起到保温的作用，可以保证狗的温度和舒适度 通过上述表格可知，只有深灰色再_10分钟后玻璃瓶内的温度保持不变
zh_100005	白色::狗窝内的温度将保持在_41-43℃之间，实验1-实验3中白色对狗窝温度平均为42℃
zh_100006	深灰色::深灰色在阳光下室内温度基本保持不变，随着天气变化室内环境较稳定，狗多保暖减少患病风险
zh_100007	深灰色::深灰色在阳光下室内温度基本保持不变，随着天气变化 室内环境较稳定，有利于狗的保暖减少患病风险
zh_100008	白色::白色颜色最浅 吸收的能量最少 故而使狗窝内部气温比较适宜狗狗居住 ，由实验可得 白色盖子的瓶子温度_三次实验平均温度最低，接近适宜生物生存的温度
zh_100009	黑色::该颜色可以使狗窝内温度更具有保温效果 黑色在_123中均处于四个颜色中温度最高的一项
zh_100010	浅灰色::该颜色使狗窝内部湿度保持正好
zh_100011	白色::使狗窝内的温度处于适宜温度 ，白色吸热慢且少 狗窝的温度不会升高的太快也不会升高的太高
zh_100012	白色::颜色浅时散热能力越好 上实验由黑到白平均不断下降
zh_100013	黑色::随着光线增强 狗窝内温度上升较快，单位时间内 黑色盖子内空气温度较高
zh_100014	浅灰色::温度热量对狗窝的感受
zh_100015	浅灰色::狗窝小房子样式应多木质结构 其热传递不应太大 阳光照到房子上通过热传递而将窝内空气加温 但若颜色过深其导致房内气温也升高 尤其是夏天狗狗在房内会中暑 在冬天得保温 但还应根据所在的半球门是面向太阳还是背向太阳等系列因素 所以实验结果仅供_参考
zh_100016	黑色::黑色吸热能力最强 使狗窝内温暖
zh_100017	白色::有_一定温度差
zh_100018	深灰色::温度变化较平均
zh_100019	浅灰色::颜色越深 温度上升度越大 黑色的平均温度最高且每组对照实验中黑色温度上升最高
zh_100020	深灰色::它会使整个狗窝内部显得很昏暗 但它提温稳定 很少有温度变化 _10分钟后 深灰色盖子的三 但实验温度最稳定 保持在48°C
zh_100021	白色::狗窝内部温度上升平均速度最慢 但温度处于舒适温度更适合生物的生理
