,id,text,prompt,score
0,en_cw_000001,1. Gießen Essig Menge\n 2. Container Größe\n 3. wie viele Zeit mit destilliertem Wasser spülen,1,2
1,en_cw_000002,Ich benötige Informationen über den Prozentsatz des Essigs.,1,0
2,en_cw_000003,"wissen, wie viel Essig in den einzelnen Behältern verwendet wurde\n wissen, welche Größe/welcher Typ von Behälter zu verwenden ist\n wissen, wie lange die einzelnen Proben in destilliertem Wasser gespült wurden.",1,3
3,en_cw_000004,"Es ist wichtig, Essig in 4 Proben zu gießen, 24 Stunden stehen zu lassen und mit destilliertem Wasser zu waschen.\n Der Stein hat den größten Gewichtsverlust, weil er Kalk / Verkalkung von ihm abwäscht.\n Holz und Kunststoff sind konstant",1,0
4,en_cw_000005,"Ort, an dem sich die Behälter befanden\n Temperatur des Ortes, an dem sich die Behälter befanden\n Menge des Essigs, die auf jeden Empfänger gegeben wurde",1,1
5,en_cw_000006,"Die ml Essig, die jedem Behälter zugesetzt wurden\n Das Volumen des Behälters\n Die Temperatur um den Behälter herum",1,2
6,en_cw_000007,"Ich brauche keine zusätzlichen Informationen. Ich brauche Muster, Behälter und das war's.",1,0
7,en_cw_000008,"als zusätzliche Information ist es notwendig, das Ergebnis des Experiments zu kennen",1,0
8,en_cw_000009,das Holz ist das am wenigsten betroffene Element mit dem Essig nach 24 Stunden war nicht in irgendeiner Weise der Kalkstein ist die am meisten von allen seine Veränderung der Masse ist sehr bemerkenswert betroffen,1,0
9,en_cw_000010,"2 Proben gleichzeitig mischen und nach 40 Minuten stehen lassen, dann die Ergebnisse analysieren und anschließend das Verfahren mit den anderen 2 Proben durchführen",1,0
10,en_cw_000011,"1. Man kann das Verfahren mit mehreren Massen durchführen.\n 2. Es ist besser, das gleiche Gewicht der Ausgangsmasse zu nehmen.\n 3. Anstelle von 24 Stunden können die Massen auch einige Tage in Essig eingelegt werden, um bessere Ergebnisse zu erzielen.",1,0
11,en_cw_000012,"Es ist notwendig, die Menge des Essigs und die Konzentration zu kennen",1,1
12,en_cw_000013,"Messung der Essigmenge, die in die Behälter gegossen werden soll\n Wie wird die Masse bestimmt\n Müssen die Probenmaterialien die gleiche Form und Oberfläche haben?",1,2
13,en_cw_000014,Es fehlt die Menge des in jeden Behälter eingefüllten Essigs\n Das Fassungsvermögen der Behälter\n Die Temperatur\n der Materialien,1,2
14,en_cw_000015,"Ich denke, dass ein Metall wie Eisen und Aluminium in das Experiment einbezogen werden sollte, zusätzlich zur Verwendung einer anderen Art von Säure, Schwefel- und Chlorsäure.",1,0
15,en_cw_000016,"Essigmaterial: Marmor, Kalkstein, Holz, Kunststoff\eine Waage zur Gewichtsbestimmung",1,0
16,en_cw_000017,"Ich muss wissen, wie viel Essig in jeder Probe verwendet wird. Ich muss wissen, wie viel destilliertes Wasser zur Reinigung der Proben verwendet wird. Ich meine, von welchem Baum er das Material bekommen hat.",1,1
17,en_cw_000018,Wie hoch ist der Reinheitsgrad des Marmors? Wie hoch ist der Feuchtigkeitsgehalt der einzelnen Proben? Wie hoch ist das Gewicht der einzelnen Behälter?,1,0
18,en_cw_000019,Ich muss den Säurewert der Probenelemente kennen.,1,0
19,en_cw_000020,"Erst am Ende muss man sagen, um welche Art von Material es sich bei den vier Arten von Proben handelt.\n Man sollte auch bestimmen, welches Gewicht oder welche durchschnittliche Größe diese Proben haben sollten.\n Am Ende sollte man die Ergebnisse überprüfen, um zu wissen, was sie bedeuten.",1,2
20,en_cw_000021,"Sie müssen wissen, wie viel Essig Sie auf jede Probe geben müssen.",1,1
21,en_cw_000022,Nach dem Ausgießen des Essigs sollte die Masse abnehmen oder gleich bleiben \n Beim nächsten Experiment können sie also auf die Massendifferenz achten,1,0
22,en_cw_000023,"- Das Experiment selbst verdient keine Wiederholung.\n - Die Materialien, die als Probe verwendet wurden, sind von unterschiedlicher Härte und daher von unterschiedlicher Widerstandsfähigkeit.\n - Essig führte dazu, dass drei der verwendeten Materialien in fast identischen Verhältnissen abgebaut wurden.\n - Die o",1,0
23,en_cw_000025,"Größe der Behältnisse.\n Milliliter des Essigs, der in das Behältnis gegeben werden soll.\n Die Proben müssen die gleiche Größe haben?",1,3
24,en_cw_000026,ICH MUSS DIE MENGE DES IN DEN EINZELNEN BEHÄLTERN VERWENDETEN ESSIGS NOTIEREN.,1,1
25,en_cw_000028,"Bedingungen des Experiments, d. h. Temperatur und Druck. Konzentration des Essigs.",1,0
26,en_cw_000030,#NAME?,1,0
27,en_cw_000031,"wie die Proben präsentiert werden sollen, in einem einzigen Stück oder in mehreren kleinen oder gemahlenen Stücken",1,1
28,en_cw_000032,"1. die Bedingungen, unter denen die Probe eingesetzt wird, 2. die Temperatur des Raums, in dem die Probe eingesetzt wird, 3. alle zusätzlichen externen Faktoren, die das Experiment beeinflussen",1,1
29,en_cw_000034,Physikalisch-chemische Eigenschaften von Marmor.\n Physikalisch-chemische Eigenschaften von Kalkstein.\n Physikalisch-chemische Eigenschaften von Holz.\n Physikalisch-chemische Eigenschaften von Kunststoff.\n Wirkung von Essig auf jedes der untersuchten Materialien,1,0
30,en_cw_000036,"Für ein korrektes wissenschaftliches Experiment sind exakte Probenteile aus Marmor, Kalkstein, Holz und Kunststoff erforderlich.\n Saurer Regen entsteht, wenn sich die Feuchtigkeit der Luft mit Stickstoffoxiden, Schwefeldioxid oder Schwefeltrioxid verbindet, die von Fabriken, Kraftwerken, Heizkesseln und Fahrzeugen ausgestoßen werden, die Kohle oder schwefelhaltige Erdölprodukte verwenden.",1,0
31,en_cw_000038,"Durch welche Materialien kann ich die Proben ersetzen?\n Kann ich es mit normalem Wasser machen, wenn ich kein destilliertes Wasser habe?\n Kann es jede Art von Essig sein?",1,1
32,en_cw_000039,"Eisen, Aluminium und Kupfer",1,0
33,en_cw_000040,"Für jemanden, der das Verfahren als solches nicht kennt, ist es schwierig. Sie sollten erklären, warum jeder einzelne Schritt das sagt, was er sagt. Es sieht im Allgemeinen richtig aus, aber es wäre besser, wenn wir wissen könnten, warum sie dieses Verfahren anwenden und auf diese Weise in der Lage sind, einen besseren Weg zu verstehen.",1,0
34,en_cw_000041,"Nach dem Experiment wurde festgestellt, dass das Holz nach einer längeren Einwirkungszeit von Essig nicht an Masse verliert. Sowohl der Kunststoff als auch das Holz werden durch den Essig nicht beeinträchtigt, und der Kalkstein schließlich wird durch den Essig stark beeinträchtigt",1,0
35,en_cw_000042,Methode zur Bestimmung der Masse der verschiedenen Proben.\n Menge des in die Behälter zu gießenden Essigs.\n Größe der verwendeten Behälter.,1,2
36,en_cw_000043,"Um den Versuch wiederholen zu können, müssen die Größe und die Oberfläche jeder Materialprobe angegeben werden. Darüber hinaus sind auch die Temperaturen während der 24-stündigen und 30-minütigen Trocknung für die Replikation wichtig.",1,1
37,en_cw_000044,Keine,1,0
38,en_cw_000045,"die Konzentration des Essigs ist erforderlich, um zu wissen, wie er sich auf den Kalkstein, den Marmor oder das Holz auswirkt. Ich glaube nicht, dass zusätzliche Informationen erforderlich sind",1,0
39,en_cw_000047,"Ich bräuchte die Massen, auf die das Verfahren angewandt wird, in diesem Fall Marmor, Kalkstein und Holz.",1,0
40,en_cw_000048,Dieses Ergebnis beschreibt zu wenige Informationspunkte.,1,0
41,en_cw_000049,Wasser und NaCl,1,0
42,en_cw_000050,plastico marmor kalkstein,1,0
43,en_cw_000051,"Welche Menge an Essig sollte ich in die Behälter geben?\n Kann ich mit normalem Wasser nachspülen?\n Ir spielt die Art der Materialprobe keine Rolle, für das Holz, wenn die Probe Kiefer oder Eiche ist?",1,2
44,en_cw_000052,"Du brauchst eine Waage, um die Masse jeder Probe vorher und nachher zu messen. Außerdem benötigen Sie destilliertes Wasser und eine geeignete Methode zur Beschriftung Ihrer Behälter.",1,0
45,en_cw_000053,Kunststoff Marmor Kalkstein,1,0
46,en_cw_000054,"Ich müsste die genaue Menge der Reaktionsmittel wissen: Essig und destilliertes Wasser, ob die Proben in einer feuchten oder trockenen Umgebung aufbewahrt werden müssen und welche Art von Behälter zu verwenden ist.",1,2
47,en_cw_000055,"Die Art des Materials, das zur Verfügung gestellt wird, ist es erlaubt, das Experiment allein zu wiederholen, gibt es etwas, das mit den Messergebnissen des Experiments schief gehen kann?",1,0
48,en_cw_000056,"Welche Art von Essig, alkoholisch oder nicht, bei welcher Temperatur müssen die Proben 24 Stunden lang aufbewahrt werden?",1,2
49,en_cw_000057,niemand,1,0
50,en_cw_000060,"Ich brauche vier Behälter mit Deckeln und Proben von Marmor, Kalkstein, Holz und Kunststoff, die in die Behälter passen. Ich brauche eine ausreichende Menge Essig, um alle Behälter zu füllen, damit alle Proben darin ertränkt werden können. Und ich brauche eine Waage, um die Masse zu messen.",1,0
51,en_cw_000061,Die Kalixa-Probe wies den größten Massenunterschied auf.\n Die Marmorprobe hatte den zweitgrößten Unterschied.\n Die Kunststoffprobe wies einen minimalen Unterschied auf.\n Die Holzprobe wies keinen Massenverlust auf.,1,0
52,en_cw_000062,"Das Experiment zeigt, wie sich der Essig negativ auf die Masse der Materialien im Holz auswirkt.",1,0
53,en_cw_000063,"Volumen der einzelnen Proben in Kubikzentimetern\n Dichte in Gramm pro Kubikzentimeter von Marmor, Kalkstein, Holz und Kunststoff\n Essigkonzentration oder Molarität",1,2
54,en_cw_000064,"Es wurde die Masse bestimmt, die jeder der zugelassenen Inhaltsstoffe aufweist, indem er sie mit dem Essig in Kontakt bringt",1,0
55,en_cw_000065,kein Bedarf an zusätzlichen Informationen,1,0
56,en_cw_000066,"Holz, Marmor und Kalkstein sind hervorragend",1,0
57,en_cw_000067,Die Menge des Essigs in jeder Probe. Größe der Behälter. Wurden die Proben vollständig in den Essig getaucht?,1,2
58,en_cw_000069,"WARUM WIRD ESSIG BENÖTIGT, SOLLTE DER BEHÄLTER AUS EINEM BESTIMMTEN MATERIAL BESTEHEN UND WARUM BRAUCHEN WIR DESTILLIERTES WASSER?",1,0
59,en_cw_000070,"Es wäre gut, das Material des Behälters zu kennen.\n Ich muss wissen, welche Art von Essig verwendet wird.\n Wie wird die Masse der Proben bestimmt?",1,1
60,en_cw_000071,Die Zugabe von Essig reduziert die Masse oder lässt sie gleich bleiben.,1,0
61,en_cw_000072,"Auf der Grundlage der Studie können wir auf die Porosität der bereitgestellten Materialien schließen. Sie sind in der Tabelle aufgeführt. Marmor - 0,4. Kalkstein - 1,3 ist die poröseste.",1,0
62,en_cw_000073,"Ich denke, Sie sollten Metalle wie Eisen und Aluminium sowie andere Säuren wie Schwefelsäure und Chlorsäure verwenden.",1,0
63,en_cw_000074,"Visuelles Bild jedes Produkts am Ende des Tests, Veränderung von Textur und Farbe.",1,0
64,en_cw_000075,"Die Menge des zu verwendenden Essigs, der Ort, an dem die Proben getrocknet werden sollen (in der Sonne/im Haus), die Art des Essigs.",1,2
65,en_cw_000076,"Folgende zusätzliche Informationen werden benötigt: 1) Konzentration des Essigs 2) Säuregrad des Essigs 3) Menge des destillierten Wassers, das zum Spülen jeder Probe verwendet wird",1,1
