,id,text,prompt,score
0,en_cw_000001,1. Verter la cantidad de vinagre\n 2. tamaño de los envases\n 3. cuantas veces enjuagar con agua destilada,1,2
1,en_cw_000002,Necesito información sobre el porcentaje de vinagre.,1,0
2,en_cw_000003,saber cuánto vinagre se utilizó en cada recipiente\n saber qué tamaño/tipo de recipiente utilizar\n saber cuánto tiempo se enjuagó cada muestra en agua destilada..,1,3
3,en_cw_000004,Es importante verter vinagre en 4 muestras para reposar durante 24 horas y lavar con agua destilada.\N-La piedra tiene la mayor pérdida de peso porque se lavó el calcio/calcificación de la misma.\N-La madera y el plástico son constantes,1,0
4,en_cw_000005,El lugar en el que se encontraban los recipientes\nLa temperatura del lugar en el que se encontraban los recipientes\nLa cantidad de vinagre colocada en cada recipiente,1,1
5,en_cw_000006,Los ml de vinagre añadidos a cada recipiente\nEl volumen del recipiente\nLa temperatura alrededor del recipiente,1,2
6,en_cw_000007,"No necesito ninguna información adicional. Necesito muestras, envases y ya está.",1,0
7,en_cw_000008,como información adicional es necesario conocer el resultado del experimento,1,0
8,en_cw_000009,la madera es el elemento menos afectado con el vinagre después de 24 horas no se vio afectada de ninguna manera la piedra caliza es la más afectada de todas su variación de masa es muy notable,1,0
9,en_cw_000010,"mezclar 2 muestras al mismo tiempo y dejar reposar después de 40 minutos, analizar los resultados y luego realizar el procedimiento con las otras 2 muestras",1,0
10,en_cw_000011,1. Puede hacer el procedimiento con más masas. Es mejor tomar el mismo peso de la masa inicial. En lugar de 24 horas mantener las masas en vinagre durante algunos días para obtener mejores resultados.,1,0
11,en_cw_000012,Es necesario conocer la cantidad de vinagre y la concentración,1,1
12,en_cw_000013,Medida de vinagre para verter en los recipientes\nCómo determinar la masa\nLos materiales de la muestra deben tener la misma forma y superficie,1,2
13,en_cw_000014,Falta la cantidad de vinagre que se añade a cada recipiente\nLa capacidad de los recipientes\nLa temperatura\nlos materiales,1,2
14,en_cw_000015,"Creo que habría que incluir en el experimento un metal como el hierro y el aluminio, además de utilizar otro tipo de ácido, el sulfúrico y el clorídico.",1,0
15,en_cw_000016,"Material de vinagre: Mármol, Piedra Caliza, Madera, Plástico, una balanza para tomar el peso",1,0
16,en_cw_000017,Necesito saber la cantidad de vinagre que se utiliza en cada muestra.\N- Necesito saber la cantidad de agua destilada que se utiliza para limpiar las muestras.\N- Necesito saber el tipo de madera que es. Me refiero a de qué árbol obtuvo el material,1,1
17,en_cw_000018,cuál es el nivel de pureza del mármol\nqué cantidad de humedad contiene cada muestra\nqué peso tiene cada recipiente,1,0
18,en_cw_000019,Necesito saber el valor ácido de los elementos de la muestra.,1,0
19,en_cw_000020,Tiene que decir qué tipo de material de los cuatro tipos de muestra no es hasta el final que se deduce lo que pueden ser.\NTambién debe determinar cuál debe ser el peso o tamaño medio de estas muestras.\NAl final debe comprobar los resultados para saber qué significan.,1,2
20,en_cw_000021,hay que saber qué cantidad de vinagre poner en cada muestra,1,1
21,en_cw_000022,después de verter el vinagre la masa debe disminuir o permanecer igual \N Así que el próximo experimento pueden observar la diferencia de masa,1,0
22,en_cw_000023,"- El experimento en sí no merece réplica alguna.\N- Los materiales utilizados como muestra son de diferente tipo de dureza y por tanto de resistencia.\N- El vinagre, hizo que tres de los materiales utilizados se degradaran en proporciones casi idénticas.\N- El o",1,0
23,en_cw_000025,Tamaño de los envases.\NMililitros de vinagre a añadir al envase.\NLas muestras deben tener el mismo tamaño?,1,3
24,en_cw_000026,TENGO QUE TOMAR NOTA DE LA CANTIDAD DE VINAGRE UTILIZADA EN CADA UNO DE LOS ENVASES,1,1
25,en_cw_000028,"Condiciones del experimento, es decir, temperatura y presión. Concentración del vinagre.",1,0
26,en_cw_000030,#¿NOMBRE?,1,0
27,en_cw_000031,"cómo deben presentarse las muestras, en una sola pieza o en varias piezas pequeñas o molidas",1,1
28,en_cw_000032,1- la condición en la que se puso la muestra\n 2- la temperatura de la sala donde se puso la muestra\n 3- cualquier factor externo adicional al experimento,1,1
29,en_cw_000034,Características físico-químicas del mármol.\NCaracterísticas físico-químicas de la piedra caliza.\NCaracterísticas físico-químicas de la madera.\NCaracterísticas físico-químicas del plástico.\NEfecto del vinagre en cada uno de los materiales estudiados.,1,0
