,id,text,prompt,score
0,en_cw_000001,1. Quantité de vinaigre à verser\n 2. Taille des récipients\n 3. Combien de fois faut-il rincer avec de l'eau distillée ?,1,2
1,en_cw_000002,J'ai besoin d'informations sur le pourcentage de vinaigre.,1,0
2,en_cw_000003,savoir quelle quantité de vinaigre a été utilisée dans chaque récipient\n savoir quelle taille/type de récipient utiliser\n savoir combien de temps chaque échantillon a été rincé à l'eau distillée .,1,3
3,en_cw_000004,Il est important de verser du vinaigre dans _4 échantillons pour qu'ils reposent pendant 24 heures et soient lavés à l'eau distillée.\NLa pierre a la plus grande perte de poids parce qu'elle a été lavée de son calcium / calcification.\NLe bois et le plastique sont constants.,1,0
4,en_cw_000005,L'endroit où se trouvaient les récipients\n La température de l'endroit où se trouvaient les récipients\n La quantité de vinaigre placée sur chaque récipient,1,1
5,en_cw_000006,Le ml de vinaigre ajouté à chaque récipient\n Le volume du récipient\n La température autour du récipient,1,2
6,en_cw_000007,"Je n'ai pas besoin d'informations supplémentaires. J'ai besoin d'échantillons, de récipients et c'est tout.",1,0
7,en_cw_000008,comme information supplémentaire il faut connaître le résultat de l'expérience,1,0
8,en_cw_000009,le bois est l'élément le moins affecté par le vinaigre après _24 heures n'a été affecté en aucune façon le calcaire est le plus affecté de tous sa variation de masse est très remarquable,1,0
9,en_cw_000010,"mélanger _2 échantillons en même temps et laisser reposer après 40 minutes, puis analyser les résultats et ensuite effectuer la procédure avec les 2 autres échantillons.",1,0
10,en_cw_000011,"1. On peut faire la procédure avec plus de masses. 2. Il est préférable de prendre un poids égal à la masse de départ. 3. Au lieu de 24 heures, garder les masses dans du vinaigre pendant quelques jours pour obtenir de meilleurs résultats.",1,0
11,en_cw_000012,Il est nécessaire de connaître la quantité de vinaigre et la concentration.,1,1
12,en_cw_000013,Mesure du vinaigre à verser dans les récipients\n Comment déterminer la masse\n Les échantillons doivent-ils avoir la même forme et la même surface ?,1,2
13,en_cw_000014,La quantité de vinaigre ajoutée dans chaque récipient est manquante\n La capacité des récipients\n La température\n des matériaux,1,2
14,en_cw_000015,"Je pense qu'un métal comme le fer et l'aluminium devrait être inclus dans l'expérience, en plus de l'utilisation d'un autre type d'acide, l'acide sulfurique et chloridique.",1,0
15,en_cw_000016,"vinaigre\n matériel : Marbre, Calcaire, Bois, Plastique\n une balance pour prendre le poids",1,0
16,en_cw_000017,Je dois savoir quelle quantité de vinaigre est utilisée pour chaque échantillon. Je dois savoir quelle quantité d'eau distillée est utilisée pour nettoyer les échantillons. Je dois savoir quel est le type de bois. Je veux dire de quel arbre il a obtenu le matériau,1,1
17,en_cw_000018,Quel est le niveau de pureté du marbre ? Quelle est la quantité d'humidité contenue dans chaque échantillon ? Quel est le poids de chaque récipient ?,1,0
18,en_cw_000019,J'ai besoin de connaître l'indice d'acidité des éléments de l'échantillon.,1,0
19,en_cw_000020,"Il faut dire quel type de matériau des quatre types d'échantillons ce n'est qu'à la fin que l'on déduit ce qu'ils peuvent être.\NVous devez également déterminer quel doit être le poids ou la taille moyenne de ces échantillons.\NÀ la fin, vous devez vérifier les résultats pour savoir ce qu'ils signifient.",1,2
20,en_cw_000021,vous devez savoir quelle quantité de vinaigre mettre sur chaque échantillon,1,1
21,en_cw_000022,"après avoir versé le vinaigre, la masse devrait diminuer ou rester la même. \N Ainsi, lors de la prochaine expérience, ils pourront observer la différence de masse.",1,0
22,en_cw_000023,"- L'expérience elle-même ne mérite pas d'être répliquée.\n - Les matériaux utilisés comme échantillon sont de type de dureté et donc de résistance différents.\n - Le vinaigre, a provoqué la dégradation de trois des matériaux utilisés dans des proportions presque identiques.\n - L'o",1,0
23,en_cw_000025,Taille des récipients.\N Millilitres de vinaigre à ajouter dans le récipient.\N Les échantillons doivent avoir la même taille ?,1,3
24,en_cw_000026,JE DOIS NOTER LA QUANTITÉ DE VINAIGRE UTILISÉE DANS CHACUN DES RÉCIPIENTS.,1,1
25,en_cw_000028,"Conditions de l'expérience, c'est-à-dire la température et la pression. Concentration du vinaigre.",1,0
26,en_cw_000030,#NAME ?,1,0
27,en_cw_000031,"comment les échantillons doivent être présentés, en un seul morceau ou en plusieurs petits morceaux ou morceaux moulus",1,1
28,en_cw_000032,1- l'état dans lequel l'échantillon a été placé 2- la température de la pièce dans laquelle l'échantillon a été placé 3- tout autre facteur externe à l'expérience.,1,1
29,en_cw_000034,Caractéristiques physico-chimiques du marbre.\n Caractéristiques physico-chimiques du calcaire.\n Caractéristiques physico-chimiques du bois.\n Caractéristiques physico-chimiques du plastique.\n Effet du vinaigre sur chacun des matériaux étudiés,1,0
30,en_cw_000036,"Les parties exactes des échantillons de marbre, de calcaire, de bois et de plastique sont nécessaires pour une expérience scientifique correcte.\n Les pluies acides se produisent et se forment lorsque l'humidité de l'air se combine avec les oxydes d'azote, le dioxyde de soufre ou le trioxyde de soufre émis par les usines, les centrales électriques, les chaudières de chauffage et les véhicules qui utilisent du charbon ou des produits pétroliers contenant du soufre.",1,0
31,en_cw_000038,Par quels matériaux puis-je remplacer les échantillons ? Puis-je le faire avec de l'eau ordinaire si je n'ai pas d'eau distillée ?,1,1
32,en_cw_000039,"fer, aluminium et cuivre",1,0
33,en_cw_000040,"C'est difficile pour une personne qui ne connaît pas cette procédure en tant que telle. Ils devraient expliquer pourquoi chaque étape dit ce qu'elle dit. Cela semble correct en général, mais ce serait mieux si nous pouvions savoir pourquoi ils appliquent cette procédure et ainsi être en mesure de mieux comprendre.",1,0
34,en_cw_000041,"après l'expérience, il a été déterminé que le bois ne perd pas de masse après une période prolongée de vinaigre. le plastique ainsi que le bois n'est pas affecté par le vinaigre et enfin le calcaire a tendance à être très affecté par le vinaigre.",1,0
35,en_cw_000042,Méthode pour déterminer la masse des différents échantillons.\NLa quantité de vinaigre à verser dans les récipients.\NLa taille des récipients utilisés.,1,2
36,en_cw_000043,"Afin de pouvoir reproduire l'expérience, la taille et la surface de chaque échantillon de matériau doivent être fournies. De plus, les températures pendant les _24 heures et les 30 minutes de séchage sont également importantes pour la réplication.",1,1
37,en_cw_000044,Aucun,1,0
38,en_cw_000045,"la concentration du vinaigre n'est nécessaire, pour savoir comment il affecte le calcaire, le marbre ou le bois. Je ne pense pas que des informations supplémentaires soient nécessaires",1,0
39,en_cw_000047,"J'aurais besoin des masses auxquelles la procédure sera appliquée, dans ce cas le marbre, le calcaire et le bois.",1,0
40,en_cw_000048,Ce résultat décrit trop peu de points d'information.,1,0
41,en_cw_000049,Eau et NaCl,1,0
42,en_cw_000050,plastico marbre calcaire,1,0
43,en_cw_000051,"Quelle quantité de vinaigre dois-je mettre dans les récipients ? Puis-je rincer avec de l'eau normale ? Le type de matériau de l'échantillon n'a pas d'importance, pour le bois si l'échantillon est du pin ou du chêne ?",1,2
44,en_cw_000052,Vous aurez besoin d'une balance pour mesurer la masse de chaque échantillon avant et après. Vous aurez également besoin d'eau distillée et d'une méthode appropriée pour étiqueter vos récipients.,1,0
45,en_cw_000053,plastique marbre calcaire,1,0
46,en_cw_000054,"J'aurais besoin de connaître la quantité exacte des agents réactifs : vinaigre et eau distillée, si les échantillons doivent rester dans un environnement humide ou sec et le type spécifique de récipient à utiliser.",1,2
47,en_cw_000055,"La nature du matériel fourni, si l'on peut répéter l'expérience seul, si les résultats de l'expérience peuvent être faussés.",1,0
48,en_cw_000056,"Quel type de vinaigre, alcoolisé ou non, à quelle température les échantillons doivent-ils être conservés pendant _24h ?",1,2
49,en_cw_000057,non se,1,0
50,en_cw_000060,"J'ai besoin de quatre récipients avec des couvercles, et d'échantillons de marbre, de calcaire, de bois et de plastique qui peuvent entrer dans ces récipients. J'ai besoin d'un volume de vinaigre suffisant pour remplir tous les récipients afin que les échantillons puissent tous y être noyés. Et j'ai besoin d'une balance pour mesurer la masse.",1,0
51,en_cw_000061,L'échantillon de calixa avait la plus grande différence de masse. L'échantillon de marbre avait la deuxième plus grande différence. L'échantillon de plastique avait une différence minime. L'échantillon de bois n'avait aucune perte de masse.,1,0
52,en_cw_000062,"L'expérience montre que le vinaigre a un effet négatif sur la masse des matériaux, moins dans le bois.",1,0
53,en_cw_000063,"volume de chaque échantillon, en centimètres cubes ; - densité en grammes par centimètre cube de marbre, de calcaire, de bois et de plastique ; - concentration ou molarité du vinaigre.",1,2
54,en_cw_000064,On a déterminé la masse que présente chacun des ingrédients qui ont été approuvés en les mettant en contact avec le vinaigre.,1,0
55,en_cw_000065,pas besoin d'informations supplémentaires,1,0
56,en_cw_000066,"le bois, le marbre et la pierre calcaire sont excellents",1,0
