,id,text,prompt,score
0,zh_010001,(_1)初始质量相同的样本(2)相同PH值的醋酸(3)认真负责的态度,1,1
1,zh_010002,确保实验前_四种材料干湿程度相同 每个容器中倒入的醋的容量一定 四个材料处在同样的环境中,1,3
2,zh_010003,(_1)应保证该实验在变量一定的情况下进行(2)保证实验不受其他因素影响(3)考虑实验样品本身情况,1,0
3,zh_010004,答：(_1)空气的温度(2)导入多少体积的醋(3)用蒸馏水涮洗的时间,1,3
4,zh_010005,(_1)实验前的体积试验后的体积(2)实验前的颜色和状态试验后的颜色和状态,1,1
5,zh_010006,(_1)放入醋的量是否相同(2)实验装置是否密闭(3)过程操作是否有问题(4)选材是否典型(5)醋与酸雨是否PH相差不大,1,2
6,zh_010007,(_1)放入醋的量要相同(2)选用的实验材料确保杂质含量较少(3)控制外部环境保持一致,1,3
7,zh_010008,(_1)第一次实验相同质量的大理石 石灰岩 塑料木头 (2)另外四个和第一次实验相同的容器(3)准备醋与蒸馏水(4)物质的体积与接触面积(5)醋的量,1,3
8,zh_010009,(_1)是否与醋相溶 (2)是否升温 (3)有无沉淀,1,0
9,zh_010010,(_1)保持实验为单一变量 选择体积大小相同的物体(2)外部环境应相同,1,2
10,zh_010011,(_1)PH试纸 测定食醋的PH值是否相同(2)样本的腐蚀情况,1,1
11,zh_010012,(_1)醋的浓度(2)酸性的强度(3)每个容器中物质的表面积,1,2
12,zh_010013,(_1)醋样本的PH,1,1
13,zh_010014,(_1)足够的碱粉 需聚合材料内部的含酸浓度,1,0
14,zh_010015,(_1)酸雨的量(2)酸雨的量应充足 以便量充分反映,1,1
15,zh_010016,(_1)溶液的PH值(2)溶液的浓度(3)溶液的质量,1,2
16,zh_010017,(_1)实验后醋的质量(2)各位质吸醋的大小(3)是否含有杂质,1,1
17,zh_010018,(_1)醋酸PH值 (2)材料与醋酸的接触面积(3)环境温度,1,3
18,zh_010019,(_1)醋的酸碱度(2)试验材料的表面积(3)每次加入的醋的质量,1,3
19,zh_010020,(_1)醋的PH大小(2)样本的状态(3)样本的密度,1,1
20,zh_010021,(_1)两次测量时的空气相对温度 湿度 压强等因素 (2)物体表面是否存在某种醋酸反应 近而产生可与被测物反应的物质 (3)物质洗涤后的干燥程度是否与实验前相同,1,1
21,zh_010022,(_1)大理石上是否附着其他物质(2)醋是否完全与反应物反应(3)测量是否有偏差,1,0
22,zh_010023,(_1)在测量样品实验前时要确定样品表面是否有杂质(2)倒入醋的体积相等且其使用的是同一质量分数的(3)放其样品变干时要确定样品不与空气中成分发生反应 增加或减少质量,1,2
23,zh_010024,样本在实验后是否会持续酸化,1,0
24,zh_010025,(_1)应倒入相同体积的醋(2)用相同体积的样本 并使其完全沉入醋中(3)未干之前样本的质量,1,2
25,zh_010026,(_1)浸泡时间(2)溶液温度(3)当时室温,1,2
26,zh_010027,(_1)把实验用过的容器给清洗一下(2)寻找一些金属材料进行实验对照(3)醋的量一定要充足,1,0
