,id,text,prompt,score
0,fr_020001,a) Perform a second test (T_2) exactly as the first test (T1). b) Glue the top edge of the plastic sample to a table so that it hangs loosely over the side of the table.,2,0
1,fr_020002,a. type D plastic has better stiffness b._1 take 3 measurements in 1 test and take the average b.2 plastic samples must be of equal thickness,2,3
2,fr_020003,The student has been outperformed.,2,0
3,fr_020004,Plastic B seems to be the most sensitive to stretching. I probably would have offered more precision on the type of weight used.,2,2
4,fr_020005,"A. the results before and after the experiments are very close. this means that the plastic tends to keep its size, but in the case where it got smaller, the temperature could have played a role, or even the measuring system b. make sure the temperature and the measuring system are taken into account",2,2
5,fr_020006,the experiment is very good and the students make it better.,2,0
6,fr_020007,"a.The four polymer plastics tested underwent permanent deformation after stretching.b. To improve the test, the samples must be of identical dimensions and the weights must be the same for each sample.",2,3
7,fr_020008,"Plastics A, B and D are found to have good stretch, plastic C begins to lose its stretch. The student could continue by adding other weights or trying to pull the plastics over a given distance.",2,3
8,fr_020009,"a. It is concluded that the samples with plastic types A and B increased on average by _1.5 mm. The sample with type C decreased by 1 mm and the sample with type D showed no change in its initial length. b. to obtain greater validity of the research, the student could choose samples with the same initial length to compare the samples with the types of plastics. Another way to improve the study, the student could repeat the experiment 3 times to find the average of the results for each type of plastic analyzed.",2,3
9,fr_020010,"1.Take a sample of one type of plastic and measure its length.  2.Glue the top edge of the plastic sample to a table so that it hangs freely over the side of the table.  Attach a clamp to the bottom edge of the plastic sample.  Add weights to the clamp and let them hang for five minutes.  5.Remove the weights and clamp, and measure the length of the plastic types.",2,0
10,fr_020011,"Plastics and rubber are made of polymers consisting of smaller units called monomers, which bond (polymerize) into long chains. At present, the vast majority of monomers are produced from petroleum (crude oil/mineral oil) and are therefore non-renewable. Monomers can also be made from biomass, but usually at a higher cost. Apart from monomers, various additives are added to the manufacturing process of plastics and rubber. Additives are chemicals that are necessary for the polymerization process itself, or give the final product its desired specific properties, e.g. plasticizers, flame retardants, thermal and UV stabilizers, biocides, pigments, thinners, etc. Polymers are large in size, which means that they do not penetrate biological membranes and are not particularly reactive and therefore are not considered toxic. On the contrary, unreacted monomers, solvents, additives or degradation products can leak and be exposed to both humans and the environment throughout the life cycle of a product. Many common additives are classified as hazardous according to the EU Regulation on Classification, Labeling and Packaging of Substances and Mixtures (CLP)_1 . It is relatively unknown for the majority of these chemicals how they affect our health and the environment, but some phthalates, bisphenol A, certain brominated flame retardants and polyfluorinated chemicals, have been relatively well studied and are therefore the focus of this report. These chemicals have a negative impact on humans and the environment, and surveys have shown that a large proportion of the population is constantly exposed to them. When chemicals are released from products or building materials in a home, the dust functions as a chemical sink that reflects any chemicals that may be exposed to the home. The polluted dust will be inhaled or eaten, as it ends up on food, accumulates in the mucous membranes of the mouth, or when children put dusty fingers and objects in their mouths.",2,0
11,fr_020012,a student conducted the following _1 survey to test,2,0
12,fr_020013,"A: Plastics A and B are the most flexible. Plastic D is the least flexible. In general, the length of the plastics can be extended with weights.   B: The student could have repeated the experiment a third time.  The student could have used different weights with the same plastic.",2,3
13,fr_020014,"The purpose of this practice is to demonstrate how processing and how performing a mechanical test in a thermoplastic polymer can affect the test results and fundamental characteristics such as modulus of elasticity, ultimate tensile strength and elongation at break",2,1
