,id,text,prompt,score
0,zh_020001,"A. Kunststoff A hat die geringste Dehnung B. Nehmen Sie von jeder Kunststoffart die gleiche Ausgangslänge, verwenden Sie die gleichen Klemmen und Gewichte",2,3
1,zh_020002,C gute Elastizität D stabile Elastizität AB schlechte Elastizität Zwei unterschiedliche Massen von Gewichten Verlängerte Aufhängezeit der Gewichte,2,0
2,zh_020003,"(_1) Der Kunststoff des Typs A ist weniger elastisch und der des Typs D ist weniger elastisch (2) Um sicherzustellen, dass die Probe während des Versuchs keinen äußeren Kräften ausgesetzt ist",2,0
3,zh_020004,"A: a. Kunststoffpolymer des Typs B ist elastischer b. (_1) Die Klemmen können in Haken umgewandelt werden (2) Das Gewicht der Hakengewichte kann durch Beobachtung des Gewichts der Hakengewichte bestimmt werden, wenn sie über dieselbe Länge gestreckt werden",2,1
4,zh_020005,a. Kunststoffe des Typs B können am längsten gedehnt werden. b. Mit verschiedenen Kunststofftypen kann mit verschiedenen Methoden experimentiert werden. Es können verschiedene Schlussfolgerungen gezogen werden,2,1
5,zh_020006,"a Kunststoff B hat die größte Elastizität und A die geringste. b Befestigen Sie das Kunststoffpolymerende unter einem Brett und ziehen Sie das Brett, um den Versuch zu wiederholen, vergleichen Sie die Dehnung",2,1
6,zh_020007,"(_1) nicht alle Kunststoffpolymere werden nach der Dehnung länger (2) Gewichte können gewogen werden, um Zeit zu sparen (3) Gewichte sollten nach dem Abnehmen eine Weile stehen gelassen werden, um Fehler oder überhöhte Daten zu vermeiden",2,0
7,zh_020008,"(_1) Typ A ist am elastischsten, Typ B ist am wenigsten elastisch (2) Materialien haben die gleiche Ausgangslänge Verschiedene Typen",2,1
8,zh_020009,Schlussfolgerung: Plastik kann gedehnt werden Methode: (_1) Gewichte für längere Zeit aufhängen (2) unbenutztes Plastik für zweite Versuchszeit verwenden,2,0
9,zh_020010,Schlussfolgerung: Die Materialien haben eine unterschiedliche Elastizität der Polymere Methode: Dasselbe Kunststoffpolymer wurde dreimal mit unterschiedlichen Dehnungen getestet,2,2
10,zh_020011,(_1) Material B ist elastischer (2) Mehrfachprüfungen (3) verschiedene Materialien haben unterschiedliche Elastizitäten,2,2
11,zh_020012,"a A ist am elastischsten D ist am wenigsten elastisch b (_1) Alle vier Polymere sollten so kontrolliert werden, dass sie die gleiche Länge haben (2) Es ist zu beobachten, ob das Polymer nach jedem Versuch in seinen ursprünglichen Zustand zurückgeführt werden kann",2,1
12,zh_020013,Schlussfolgerung: Verschiedene Kunststoffe haben unterschiedliche Elastizitäten (_1) mehr Experimente durchführen (2) die Anzahl der Gewichte erhöhen,2,2
13,zh_020014,(_1) Die meisten Kunststoffe werden gedehnt (2) Kontrolle der äußeren Bedingungen wie Wind,2,1
14,zh_020015,"a Unterschiedliche Längen haben eine unterschiedliche Dehnung b Änderung eins ABCD sollte zunächst gleich lang sein, dann das Experiment wiederholen Änderung zwei",2,2
15,zh_020016,Kunststoffe der Klasse A haben die größte Dehnungsfähigkeit (_1) Die eingesetzte Kraft sollte die Elastizität des Kunststoffpolymers nicht überschreiten (2) Seien Sie vorsichtig beim Hinzufügen von Gewichten,2,0
16,zh_020017,a D Kunststoff dehnt sich nicht bis zu seinem Höchstwert aus C hat eine gute Elastizität b (_1) Aufzeichnung der Ausgangslänge (2) Erhöhung der Anzahl der Gewichte,2,1
