,id,text,prompt,score
0,zh_020001,"A. El plástico A es el que menos se estira B. Tomar la misma longitud inicial de cada tipo de plástico, utilizar las mismas pinzas y pesos",2,3
1,zh_020002,C buena elasticidad D elasticidad estable AB mala elasticidad Dos masas diferentes de pesas Tiempo de suspensión prolongado de las pesas,2,0
2,zh_020003,(_1) El plástico de tipo A es menos elástico y el de tipo D es menos elástico (2) Para garantizar que la muestra no esté sometida a fuerzas externas durante el experimento,2,0
3,zh_020004,A: a. El polímero plástico de tipo B es más elástico b. (_1) Las pinzas se pueden cambiar por ganchos (2) El peso de las pesas con ganchos se puede determinar observando el peso de las pesas con ganchos cuando se estiran para la misma longitud,2,1
4,zh_020005,a. Los plásticos de tipo B son los que más se pueden estirar b. Se puede experimentar con los tipos de plásticos utilizando diferentes métodos. Se pueden sacar diferentes conclusiones,2,1
5,zh_020006,a El plástico B tiene la mayor elasticidad y el A la menor. b Fijar el extremo del polímero plástico debajo de una tabla y tirar de la tabla para repetir el experimento comparar el alargamiento,2,1
6,zh_020007,(_1) no todos los polímeros plásticos se alargan tras el alargamiento (2) las pesas pueden pesarse para ahorrar tiempo (3) las pesas deben dejarse en reposo durante un tiempo tras su retirada para reducir errores o datos inflados,2,0
7,zh_020008,"(_1) El tipo A es el más elástico, el tipo B es el menos elástico (2) Los materiales tienen la misma longitud inicial Tipos diferentes",2,1
8,zh_020009,Conclusión: el plástico puede estirarse Método: (_1) colgar las pesas durante más tiempo (2) utilizar el plástico no utilizado para el segundo experimento,2,0
9,zh_020010,Conclusión: los materiales tienen diferente elasticidad de polímero Método: el mismo polímero plástico se probó tres veces a diferentes alargamientos,2,2
10,zh_020011,(_1) el material B es más elástico (2) pruebas múltiples (3) diferentes materiales tienen diferentes elasticidades,2,2
11,zh_020012,a A es el más elástico D es el menos elástico b (_1) Se debe controlar que los cuatro polímeros tengan la misma longitud (2) Observe si el polímero puede volver a su estado original después de cada experimento,2,1
12,zh_020013,Conclusión: los diferentes plásticos tienen diferentes elasticidades (_1) hacer más experimentos (2) aumentar el número de pesos,2,2
13,zh_020014,(_1) La mayoría de los plásticos se estiran (2) Controlar las condiciones externas como el viento,2,1
14,zh_020015,a Diferentes longitudes tienen diferentes cantidades de estiramiento b Cambiar uno ABCD debe ser la misma longitud inicialmente y luego repetir el experimento Cambiar dos,2,2
15,zh_020016,Los plásticos de clase A tienen la mayor capacidad de estiramiento (_1) La fuerza empleada no debe superar la elasticidad del polímero plástico (2) Hay que tener cuidado al añadir pesos,2,0
16,zh_020017,a D el plástico no se extiende hasta su valor máximo C tiene buena elasticidad b (_1) Registre la longitud inicial (2) Aumente el número de pesos,2,1
17,zh_020018,a La elasticidad del polímero plástico es ACDB de pequeño a grande b Prolongar el tiempo de suspensión Controlar la longitud del lado suspendido libremente para estar seguros,2,1
18,zh_020019,Los diferentes tipos de plásticos tienen diferentes elasticidades,2,1
19,zh_020020,a la cantidad de estiramiento del plástico D sigue siendo la misma b cambiar el tiempo de colgado de las pesas Nota la variable de control,2,1
20,zh_020021,(_1) La longitud de estiramiento del mismo tipo de plástico fluctúa hacia arriba y hacia abajo en torno a un valor determinado (2) Múltiples experimentos Variando el tiempo de estiramiento del objeto,2,1
21,zh_020022,Conclusiones: a Diferentes polímeros plásticos tienen diferente elasticidad b (_1) Haz este experimento a diferentes temperaturas (2) El peso añadido aumenta el peso,2,1
22,zh_020023,un plástico D tiene una buena recuperación elástica en comparación con los otros tres b(_1) se puede probar cambiando el peso de las pesas de forma adecuada (2) al quitar las pesas y las abrazaderas se pide que se comprima o estire el tipo de plástico para probar si se puede hacer volver la deformación,2,0
23,zh_020024,La muestra de plástico es elástica. Sustituya las abrazaderas por cuerdas finas para reducir el efecto de las abrazaderas en el experimento y así reducir el error.,2,0
24,zh_020025,(_1) Los diferentes plásticos tienen diferentes cantidades de estiramiento (2) (1) La longitud debe medirse antes de retirar los pesos y las abrazaderas (2) La segunda prueba debe realizarse cuando la longitud del plástico se haya recuperado,2,1
25,zh_020026,Aumentar el peso de las pesas,2,0
