,Unnamed: 0,id,text,prompt,score
49,49,en_cw_000057,non se,1,0
88,88,en_cw_000099,"Nous avons besoin de connaître la masse du vinaigre. Tous les autres matériaux (marbre, bois, plastique et calcaire) sont indiqués dans le tableau.",1,0
101,101,en_cw_000114,Type de récipients pour les échantillons\n Quantité de vinaigre pour chaque récipient\n Température moyenne pour le séchage des échantillons\n,1,2
102,102,en_cw_000115,"On ne dit jamais que la quantité de vinaigre mise dans chaque récipient est égale. Il faudrait le dire. J'aurais également besoin de la température de la pièce, de l'humidité de l'air et d'une petite description du matériau utilisé. Peut-être que si le matériau est trop absorbant, une différence d'humidité et de température de l'air pourrait avoir une influence sur les résultats.",1,2
112,112,en_cw_000127,Le ph/concentration de la solution de vinaigre.\NLa quantité de vinaigre ajoutée dans les récipients.\NLe type de plastique utilisé dans l'expérience.,1,1
115,115,en_cw_000130,"Vous devez connaître la quantité de vinaigre qui doit être ajoutée à chaque échantillon, vous devez noter la température car elle peut affecter l'action du vinaigre. Vous devez également connaître la quantité d'eau avec laquelle les échantillons sont rincés.",1,1
129,129,en_cw_000149,Quelle taille doivent avoir les récipients ? Quelle quantité de vinaigre dois-je verser dans les récipients ? Quelle taille doivent avoir les échantillons de différents matériaux ?,1,3
131,131,en_cw_000151,Quel vinaigre utiliser ? Quelle est la taille de chaque récipient ? Une balance numérique est nécessaire pour la pesée ?,1,2
146,146,en_cw_000167,Autres échantillons différents\n vinaigre\n Temps supplémentaire,1,0
171,171,en_cw_000192,"dans les échantillons nous pouvons observer que le bois a maintenu sa même masse, alors que dans les autres essais il y a eu une petite fraction de perte dans certains éléments.",1,0
172,172,en_cw_000193,De quel type d'arbre s'agit-il ? Quelle est l'épaisseur des échantillons ? Quelle est la quantité de vinaigre ?,1,1
186,186,en_cw_000208,augmenter la taille de l'échantillon\n Vérifier que les échantillons sont complètement recouverts par le vinaigre,1,0
203,203,en_cw_000225,"J'aurais besoin de savoir quel type de vinaigre est utilisé car il en existe différents types avec des concentrations différentes qui pourraient affecter le résultat. Je pense qu'il faut insister sur le fait que les échantillons doivent être uniquement rincés et non essuyés avec une serviette, car cela pourrait également affecter le résultat, ainsi que sur la durée de rinçage des échantillons. Plus le rinçage est long, plus la masse peut être éliminée.",1,2
220,220,en_cw_000244,Bois,1,0
229,229,en_cw_000257,Savoir quelle quantité de vinaigre a été utilisée dans chaque récipient.\N Savoir quel type de vinaigre a été utilisé dans chaque récipient.\N Savoir quels matériaux tester.,1,3
246,246,en_cw_000274,marbre,1,0
263,263,en_cw_000291,"Placez un échantillon d'un matériau dans un récipient et étiquetez-le. Répétez l'opération avec les autres échantillons, en plaçant un seul échantillon dans un seul récipient. Laissez les échantillons reposer et sécher pendant _30 minutes.",1,0
274,274,en_cw_000302,Trois thermomètres identiques : à suspendre dans les récipients afin de pouvoir mesurer la température de l'eau.,1,0
291,291,en_cw_000321,Théorie sur la détérioration des matériaux par les pluies acides et la vitesse à laquelle elle se produira. Informations précédentes sur d'autres expériences. La taille des échantillons.,1,1
