,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,229,229,en_cw_000257,Savoir combien de vinaigre a été utilisé dans chaque conteneur.\n Savoir quel type de vinaigre a été utilisé dans chaque conteneur.\n Savoir quels matériaux à tester.,1,3
1,129,129,en_cw_000149,Quelle est la taille des conteneurs?\n Quelle quantité de vinaigre dois-je verser dans les conteneurs?\n Quelles sont les dimensions des échantillons de différents matériaux?,1,3
2,263,263,en_cw_000291,"Placez un échantillon d'un matériau dans un conteneur et une étiquette. Répéter avec les échantillons restants, en plaçant un seul échantillon dans un seul récipient\n Laissez les échantillons s'asseoir et sécher pendant 30 minutes",1,0
3,49,49,en_cw_000057,pas vu,1,0
4,146,146,en_cw_000167,Autres échantillons\n vinaigre\n Temps supplémentaire,1,0
5,171,171,en_cw_000192,"Dans les échantillons, nous pouvons observer que le bois a maintenu sa même masse, tandis que dans les autres tests, il y a eu une petite fraction de perte dans certains éléments.",1,0
6,186,186,en_cw_000208,augmenter la taille de l'échantillon\n Vérifier que les échantillons sont complètement recouverts par le vinaigre,1,0
7,220,220,en_cw_000244,bois,1,0
8,274,274,en_cw_000302,Trois thermomètres identiques : à suspendre dans les conteneurs afin que la température de l’eau puisse être mesurée.,1,0
9,88,88,en_cw_000099,"Il faut connaître la masse du vinaigre. Tous les autres matériaux (marbre, bois, plastique et calcaire) sont donnés dans la table.",1,0
10,246,246,en_cw_000274,marbre,1,0
11,112,112,en_cw_000127,Le pH/concentration de la solution de vinaigre.\n La quantité de vinaigre ajoutée aux conteneurs.\n Le type de plastique utilisé dans l'expérience.,1,1
12,115,115,en_cw_000130,"Vous devez connaître la quantité de vinaigre qui doit être ajouté à chaque échantillon, vous devez enregistrer la température car cela peut affecter l'action du vinaigre. Vous devez également connaître la quantité d’eau avec laquelle les échantillons sont rincés.",1,1
13,291,291,en_cw_000321,La théorie sur la détérioration des matériaux par la pluie acide et le taux en elle se produira. Informations préalables sur d'autres expériences. La taille des échantillons.,1,1
14,172,172,en_cw_000193,C’est quel genre d’arbre? Quelle est la taille des échantillons? Combien est le vinaigre?,1,1
15,131,131,en_cw_000151,Quel vinaigre utiliser? Quelle est la taille de chaque conteneur? Un équilibre numérique est-il nécessaire pour peser?,1,2
16,102,102,en_cw_000115,"La quantité de vinaigre mise dans chaque conteneur n’est jamais dite égale. Il faut dire que j'aurais aussi besoin de la température ambiante, de l'humidité de l'air et d'une petite description du matériau utilisé. Peut-être que si le matériau est trop absorbant, une différence dans l'humidité et la température de l'air pourrait avoir une influence sur les résultats.",1,2
17,203,203,en_cw_000225,"Je devrais savoir quel type de vinaigre est utilisé car il existe différents types avec des forces différentes qui pourraient affecter le résultat. Je pense qu'il faut souligner que les échantillons ne sont que rinçés et non essuyés avec une serviette car cela pourrait également affecter le résultat ainsi que la durée pendant laquelle les échantillons devraient être rinçés. Plus le rinçage est long, plus la masse peut être lavée.",1,2
18,101,101,en_cw_000114,Type de récipient pour les échantillons\n Quantité de vinaigre pour chaque récipient\n Température moyenne pour le séchage des échantillons,1,2
