,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,253,253,en_cw_000281,"为了复制实验,您需要额外的信息,例如在毫升中注入多少酸奶到每个容器。 此外,您需要知道容器有多大,以及样品用蒸水清洗了多少时间。",1,3
1,247,247,en_cw_000275,样品的体积、特定类型的材料(木材:橡树、玫瑰树等))容器的大小,1,3
2,54,54,en_cw_000064,确定了通过将它们与醋接触而批准的每个成分的质量,1,0
3,76,76,en_cw_000087,"我需要的,成分",1,0
4,218,218,en_cw_000242,1 个,1,0
5,137,137,en_cw_000157,"我不明白为什么这种材料石棉从质量中丧失。 什麼是不同的,為什麼木材不會失去木材?",1,0
6,50,50,en_cw_000060,"我需要四个容器有盖子,以及大理石,石,木材和塑料样本,可以容纳到容器中。 我需要足够的酸奶量来填补所有容器,以便所有样品都能溺水。 我需要一个尺寸来衡量质量。",1,0
7,189,189,en_cw_000211,克克克,1,0
8,255,255,en_cw_000283,所有信息都在这里,1,0
9,51,51,en_cw_000061,卡利克萨样本的质量差异最大.\n 大理石样本的质量差异最大。\n 塑料样本的质量差异最小.\n 木质样本没有质量损失。,1,0
10,167,167,en_cw_000188,输入和输出数据之间的平均值。 我认为平均值和差异值估计应该放在下两个列中。 作为额外的数据。,1,0
11,235,235,en_cw_000263,使用了多少醋?\n 质量是如何测量的?\n 为什么选择了醋? 什么是蒸水而不是井水的原因?,1,1
12,130,130,en_cw_000150,容器必须与样品大小相比有多大?\n 样品的允许大小范围是多少?\n 每个样品必须属于固定岩石类型吗?,1,1
13,132,132,en_cw_000152,每个样品所需的酸奶量和样品的具体重量,1,1
14,106,106,en_cw_000121,我需要在每个容器中注入多少酸奶? 温度、湿度、压力等条件是否重要?,1,1
15,13,13,en_cw_000014,添加到每个容器的酸奶数量缺少\n 容器的容量\n 温度\n 材料,1,2
16,46,46,en_cw_000054,"我需要知道反应剂的确切数量:酸奶和蒸水,如果样品需要保持在潮湿或干燥的环境中,以及使用的特定类型的容器。",1,2
17,157,157,en_cw_000178,有多少葡萄酒需要加油? 样品应该清洗多久? 首先要采集哪些不同的样本?,1,2
18,70,70,en_cw_000081,第一 葡萄酒的数量2。 葡萄酒的浓度3。 容器的大小,1,2
