,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,109,109,es_3COPXFW7XDPQYRCUSU5ZOLO3JWQPK5,"Taille du récipient, quantité de vinaigre et conditions environnementales (exemple: lumière et température).",1,3
1,251,251,es_3S96KQ6I9OHGCDZRHUSWPIUAKEETD9,"1ère Quel type de vinaigre serait utilisé; acide acétique ou un autre composé?\n2. Quantité de vinaigre à utiliser dans chaque échantillon\n3. Type de lavage final, uniquement avec de l'eau distillée? Y a-t-il des restrictions supplémentaires à mettre en œuvre?",1,3
2,323,323,es_3ZY8KE4ISLGPEE7LRBYVQZPU3PJVQL,Déterminer la masse de chaque échantillon,1,0
3,112,112,es_3D4CH1LGEC604I04LEON43WV7UD9GF,"Pluies acidesLes pluies acides sont une forme de pollution acide qui désigne les retombées (dépôts) d'acides présents dans l'atmosphère par le biais de la pluie, du brouillard et de la neige (également connus sous le nom de dépôts humides). Les principaux précurseurs des acides sont les oxydes de soufre (SOx) et les oxydes d'azote (NOx), qui sont émis par les centrales électriques, les moteurs à combustion interne des voitures et des avions et certaines autres industries, en tant que produit de la combustion de combustibles contenant de faibles pourcentages de soufre (S) et d'azote (N), tels que le charbon, le gaz naturel, le gasoil, le pétrole, etc. nLes acides, principalement l'acide sulfurique et l'acide nitrique, se dissolvent dans les gouttelettes d'eau qui forment les nuages et dans les gouttes de pluie elles-mêmes, se déposant sur le sol. Ces deux acides proviennent de l'atmosphère lorsque le trioxyde de soufre (SO3) et le dioxyde d'azote (NO2) réagissent avec l'eau, l'oxygène et d'autres substances chimiques présentes. En présence de lumière solaire, le taux de la plupart de ces réactions augmente.n Il existe également une autre forme de pollution acide connue sous le nom de dépôt sec, qui se réfère aux gaz et particules acides transportés par le vent, frappant les bâtiments, les voitures, les maisons et les arbres. Les fortes précipitations constituent une autre voie de lessivage. Dans ce cas, les substances acides sont incorporées dans les pluies acides, ce qui contribue à augmenter leur acidité.nEnviron la moitié des substances acides présentes dans l'atmosphère tombent au sol par le biais des processus de dépôt sec.nComment mesure-t-on les pluies acides?nLes pluies acides sont mesurées selon l'échelle du 'pH', le potentiel d'hydrogène. Plus le pH d'une substance est faible, plus elle est acide.nL'eau pure a un pH de 7,0 et la pluie a normalement un pH compris entre 5 et 6, c'est-à-dire qu'elle est légèrement acide et contient de l'acide carbonique qui se forme lorsque le dioxyde de carbone de l'air se dissout dans l'eau qui tombe. En revanche, dans les régions où l'atmosphère est polluée par ces substances acidifiantes, le pH de la pluie peut atteindre 4 ou 3, et dans certaines régions où le brouillard est acide, le pH peut atteindre 2 ou 3, comme celui du jus de citron ou du vinaigre.n Quels sont les effets des pluies acides ? nLes effets causés par l'eau acide dépendent de plusieurs facteurs, tels que le degré d'acidité de l'eau, la composition chimique du sol et son pouvoir tampon, ainsi que les caractéristiques des organismes vivants affectés.nLes dépôts acides contribuent à l'abaissement du pH dans les écosystèmes terrestres et aquatiques et permettent la mobilisation de métaux toxiques, en particulier de l'aluminium. Les effets sont multiples : dégâts sur les forêts et les sols, sur les poissons et autres organismes vivants, sur les matériaux de construction et sur la santé humaine. Les pluies acides réduisent également la visibilité.n Dans les forêts, les pluies acides causent des dommages en décomposant les nutriments du sol, ce qui entrave la croissance naturelle des arbres. Les effets des pluies acides sur le sol peuvent être accrus dans les forêts des régions de haute montagne, où le brouillard apporte des quantités importantes de polluants acides.n Les pluies acides contribuent à la dégradation des matériaux de construction et d'art (par exemple, les mauvaises pierres) et à la corrosion des métaux. Les monuments et les bâtiments sont sensibles à l'action des pluies acides. De nombreuses ruines ont disparu ou sont sur le point de disparaître à cause de ce facteur.nLes dommages causés à l'homme sont principalement indirects, par la consommation de poissons et d'eau potable contaminés par les pluies acides.nComment les pluies acides peuvent-elles être réduites ? nPour réduire les pluies acides, il est nécessaire de réduire les émissions des composés chimiques qui donnent naissance aux acides, c'est-à-dire les précurseurs d'acides, qui sont principalement le dioxyde de soufre (SO2) et les oxydes d'azote (monoxyde d'azote, NO, et dioxyde d'azote, NO2). De nos jours, il est possible de réduire la formation de SO2 en retirant le soufre des combustibles fossiles ou en piégeant le SOx avant qu'il ne soit émis dans l'atmosphère, grâce à des réactions chimiques qui le transforment en espèces chimiques moins réactives. L'utilisation de convertisseurs catalytiques réduit la formation de NO et de NO2 en réduisant ces oxydes en N2 et O2.",1,0
4,95,95,es_3AZHRG4CU6XHEC03Q3YASY6T2BM30F,Je ne vois pas de questions,1,0
5,258,258,es_3TE3O85732LGTOOJGG3KTK2OY9NR2T,"Comme les atomes sont invisibles dans une molécule, il doit y avoir un nombre entier et ils doivent savoir quelle est la masse de l'échantillon en grammes.",1,0
6,83,83,es_39OWYR0EPM49RJCHI6ALLZPA6KUFYQ,"Le vinaigre a un effet sur certains matériaux affichés ci-dessus en ce qui concerne la masse, dans d'autres presque les propriétés de ceux-ci restent les mêmes, la couleur de certains d'entre eux doit changer, tout comme leur odeur et la forme, la calcaire doit se former quelque chose.",1,0
7,152,152,es_3HMIGG0U4NJ0C42UAS4FB78OKHV8YJ,De quel matériau sera le récipient? Pour peser les masses,1,0
8,178,178,es_3L2IS5HSFCV4Y25T6TW9QJS6JCYUNS,"Conformément à ce tableau Quatre listes de marques d'étudiants en dessous de celle-ci sont A, B, C, D. L'historique des points de crédit les plus élevés de l'étudiant B et le point de crédit et chaque étudiant a un score moyen de C et D. L'étude contient un usage plastique et le maintien du résultat.",1,0
9,231,231,es_3PZDLQMM0VYCNMZ0YJDP4P32U7V2C3,ne se,1,0
