,Unnamed: 0,id,text,prompt,score
16,16,fr_010017,"Menge des Essigs, Name des Schülers & genaue Uhrzeit.",1,1
20,20,fr_010021,Ich möchte den pH-Wert des Essigs messen und würde für jede Probe das gleiche Volumen der Flüssigkeit verwenden. Ich würde auch die % Differenz der Originalmasse hinzufügen.,1,1
23,23,fr_010024,THE ENTFERNEN SIE DIE ECHANATILLONS UND SPÜLEN SIE JEDES PENDANT IN HOLZ.,1,0
34,34,fr_010035,"Eine chemische Reaktion findet statt, wenn bestimmte Stoffe miteinander reagieren. Manchmal gibt es sehr sichtbare Tatsachen, die den Vorgang bestätigen, und unter diesen können wir hervorheben: Entwicklung von Gasen und Licht, Veränderung der Farbe und des Geruchs, Bildung von Niederschlägen.",1,0
49,49,fr_010050,Sie sollten die Zeit und den Gesamtwert einbeziehen und eine Analyse über die Ergebnisse durchführen.,1,2
58,58,fr_010059,Wie viel Vinagire muss man gießen? Was ist der Behälter?,1,2
64,64,fr_010065,"Dies ist eine Gelegenheit, zusätzliche Informationen von den Teilnehmern zu sammeln, die Sie möglicherweise für den Unterricht benötigen.",1,0
78,78,fr_010079,1. Benötigte Menge an Essig für jede Probe 2.  Welche Art von Behälter soll für jede Probe verwendet werden 3.  Methode der Lagerung für jede Probe.,1,3
89,89,fr_010090,das Experiment ist sehr gut und die Schülerinnen und Schüler machen es besser.,1,0
113,113,fr_010114,"Chemische Reaktion, Menge des Essigs, Temperatur.",1,2
131,131,fr_010132,NICHTS BESONDERES ZU SAGEN,1,0
160,160,fr_010161,"Stein, Salz und Kohle",1,0
167,167,fr_010168,Die Art der verwendeten Behälter. Größe der Behälter. Art der verwendeten Waage. Eine Art von Kunststoff und Marmor werden im Experiment verwendet.,1,3
199,199,fr_010200,"Bestimmen Sie die Masse von vier verschiedenen Proben, Legen Sie eine Probe eines Materials in einen Behälter und beschriften Sie sie. Wiederholen Sie den Vorgang mit den restlichen Proben, geben Sie jeweils eine Probe in einen Behälter, Bestimmen Sie die Masse jeder Probe.",1,1
210,210,fr_010211,"Oberfläche , Dichte , Volumen",1,0
223,223,fr_010224,Definition von Mol und Avogadro-Zahl und Verwendung zum Ausdruck einer Stoffmenge. Berechnung und Verwendung der molaren Konzentration.,1,0
242,242,fr_010243,Wie werden die Massen bestimmt?,1,1
256,256,fr_010257,"Wie viel Essig soll in jedes der vier Gefäße gefüllt werden; die Anfangsmasse von vier Proben bestimmen, die Endmasse der Proben bestimmen.",1,2
264,264,fr_010265,"Es muss eine genaue und richtig geeichte Waage vorhanden sein, um zuverlässige Ergebnisse zu erhalten. Außerdem muss die Endprobe vor dem Wiegen gut getrocknet sein, um sicherzustellen, dass die Probe keine Flüssigkeit mehr enthält, die die Messung der Masse verfälschen würde. In Schritt drei wäre es hilfreich gewesen, zu erwähnen, dass es sich bei den Behältern um die zuvor mit Essig präparierten Gefäße handelt, da die Probe vor dem Wiegen zerbrechlich geworden ist. Schließlich wäre eine Liste der für das Experiment benötigten Materialien hilfreich (Präzisionswaage, Art der Behälter, Zange...) sowie der verwendeten Stoffe (welche Art von Essig) und Materialien.",1,0
