,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,67,67,fr_020068,Die A. Kunststoff A ist am stärksten streckbar B. Verwenden Sie Proben der gleichen ursprünglichen Länge. Verwendung von Proben der gleichen ursprünglichen Form,2,3
1,109,109,fr_020110,"A. Es gibt verschiedene Arten von Kunststoff, was zu größeren Datenmengen führt. B. Der Schüler kann die verschiedenen Arten von Kunststoff kennenlernen. Und der Schüler könnte auch das Gewicht jedes Kunststoffs teilen.",2,2
2,184,184,fr_020185,"Der Student erhielt ungefähr die gleichen Ergebnisse zweimal, als er das Experiment abschloss. Aus diesem Grund hätte ich das Experiment ein drittes Mal beendet. Ich hätte auch zu Beginn meiner Forschung eine Hypothese gemacht.",2,2
3,126,126,fr_020127,"a. Kunststoff-Typ B hatte die größte Dehnung.    b.der Student hätte das experimentelle Design verbessern können, indem er an den beiden Enden der Proben eine Klemme befestigt und sie getrennt hat, um die Dehnung zu testen. Der Schüler kann sie auch ohne Gewichte strecken lassen.",2,2
4,97,97,fr_020098,"Auf der Grundlage der Informationen können wir sehen, dass sich der Kunststoff des Typs D in Millimetern weiter ausdehnt. Der Student kann die Erfahrung auf zwei Arten verbessern: Kontrolle haben und sehen, ob die Raumtemperatur die Dehnung beeinflusst.",2,2
5,95,95,fr_020096,"Diese Art von Diagramm basiert auf der Art des Kunststoffs. Diese Art von Tabellen ist sehr interessant.Es wird durch die gesamte basierte Menge getrennt. Dies ist auf zwei Arten getrennt: T_1 und T2. T1 hat 10,22,14,20 Zahlen in ihrer Spalte. Und T2 hat 12,23,13,20 Zahlen in dieser Spalte. Insgesamt ist es also ein sehr interessanter Tisch.",2,0
6,141,141,fr_020142,Sie haben es auf eine saubere Glasschale geschmückt... halten Sie die Messung der Substanz mit Genauigkeit der Student sollte in diesem Experiment aufmerksam sein,2,0
7,90,90,fr_020091,"a) Eine zweite Prüfung (T_2) genau wie die erste Prüfung (T1) durchführen. b) Die obere Kante der Kunststoffprobe auf einen Tisch kleben, so dass sie frei auf der Seite des Tisches hängt.",2,0
8,11,11,fr_020012,"ein Student hat _1 Untersuchungen gefolgt, um zu testen",2,0
9,108,108,fr_020109,"Wenn sie weiterhin als 1. Schritt üben, können sie sich verbessern",2,0
10,176,176,fr_020177,"Die Studentendaten liefern das Testergebnis der vier Kunststoffpolymeren, die mehrmals getestet wurden, und der Durchschnitt des Ergebnisses liefert die Elastizität der vier verschiedenen Arten von Polymeren. Der Student würde zwei Dinge betrachten, die eine große Rolle bei der Elastizität des Polymers spielen, ist die Steifigkeit der Struktur und das Gewicht des Polymers",2,0
11,120,120,fr_020121,Das Design des Studenten war wunderbar.,2,0
12,54,54,fr_020055,Der zweite Versuch muss anders sein,2,0
13,41,41,fr_020042,"Die Studentendaten liefern das Testergebnis der vier Kunststoffpolymeren, die mehrmals getestet wurden, und der Durchschnitt des Ergebnisses liefert die Elastizität der vier verschiedenen Arten von Polymeren. Der Student würde zwei Dinge betrachten, die eine große Rolle bei der Elastizität des Polymers spielen, ist die Steifigkeit der Struktur und das Gewicht des Polymers",2,0
14,96,96,fr_020097,"a) Eine zweite Prüfung (T_2) genau wie die erste Prüfung (T1) durchführen, b) den oberen Rand der Kunststoffprobe auf einen Tisch kleben, damit er frei auf der Seite des Tisches hängt.",2,0
15,119,119,fr_020120,haben die Art des Kunststoffs und Fotos oder Videos des Experiments angegeben,2,1
16,182,182,fr_020183,"Die A. Das Schülerergebnis scheint ungenau zu sein, da sich T_1 und T2 trotz des gleichen Prozesses voneinander unterscheiden. Das Ergebnis beider Tests muss gleich sein.         b. Der Schüler muss bei beiden Tests die gleiche Aufmerksamkeit und die gleiche Energie angewendet haben.",2,1
17,135,135,fr_020136,Plastik Polymer B zeigt eine Menge Ether länger als andere,2,1
18,80,80,fr_020081,"Nehmen Sie eine Probe einer Art von Kunststoff und messen Sie ihre Länge und entfernen Sie Gewicht und Pinsel, und messen Sie die Länge der Kunststoffarten.",2,1
