,Unnamed: 0,id,text,prompt,score
27,27,zh_020028,"a Kunststoff B ist gut verformbar b(_1) Versuchen Sie vor dem Versuch zu sehen, ob der Kunststoff ohne den Versuch verformbar ist (2) Während des Versuchs sollte ein Ansatz mit kontrollierter Variable gewählt werden",2,2
29,29,zh_020030,a C ist elastischer D ist relativ stabil AB ist weniger elastisch (_1) Experimentieren Sie zweimal mit Gewichten unterschiedlicher Masse aus demselben Material,2,0
39,39,zh_020040,Schlussfolgerung: D-Kunststoffpolymere sind elastizitätsstabiler Methode: Versuchsplanung (_1) mehrere Versuche zur Vermeidung von Zufällen (2) strikte Einhaltung der Kontrollvariablen,2,3
50,50,zh_020051,"a je länger der Kunststoff gedehnt wird, desto größer ist die Dehnung b einen vertikalen Hebel verwenden, um ihn aufzuhängen, damit die Kraft gleichmäßig ist kann die Anzahl der Gewichte erhöhen, um die Versuchszeit zu verkürzen",2,0
64,64,zh_020065,(_1) Plastik D ist weniger elastisch (2) (1) Versuch mit einem Gewicht größerer Masse wiederholen (2) länger dauern,2,0
76,76,zh_020077,"Schlussfolgerung: Verschiedene Kunststoffpolymere haben unterschiedliche Elastizität Verbesserungen (_1) Ändern Sie die Messung auf eine Vielzahl von Kunststoffpolymeren, um die Ergebnisse des Experiments zu variieren (2) wenden Sie verschiedene Zugkräfte auf dasselbe Material an und messen Sie mehrmals",2,1
87,87,zh_020088,"a. Verschiedene Kunststoffpolymere haben eine unterschiedliche Elastizität, wobei Kunststoff A am elastischsten ist. b. (_1) Bei mehr als zwei Experimenten werden Gewichte für eine mäßig lange Zeit aufgehängt und die gleiche Zeitspanne.",2,0
127,127,zh_020128,Masse der Gewichte Masse der Klammern Klammerverschluss,2,0
129,129,zh_020130,Entnehmen Sie eine Probe einer bestimmten Kunststoffart und messen Sie die Länge,2,0
136,136,zh_020137,"a Die Höhe der Dehnung hängt von der Art des Kunststoffs ab b Achten Sie darauf, dass die Art des Materials einheitlich ist Die Qualität der Gewichte ist einheitlich",2,2
139,139,zh_020140,a A ist am elastischsten C ist am wenigsten elastisch b Ziehen Sie den Kunststoff mit zwei verschiedenen Gegenständen,2,0
146,146,zh_020147,"a der vierte Kunststoff hat keine Elastizität b wählen Sie ein Material, bei dem das Phänomen offensichtlich ist",2,0
177,177,zh_020178,a Das Ausmaß der Dehnung eines Kunststoffs hängt von der Art des Kunststoffs ab. b Erhöhen Sie das Ausmaß der Dehnung.,2,1
211,211,zh_020212,"a, Kunststoff kann gedehnt werden b(_1) die Aufhängezeit verlängern (2) sicherstellen, dass die ursprüngliche Länge der Probe zweimal gleich ist",2,1
229,229,zh_020230,"Fazit: Je länger die T_1-Strecke, desto länger die T2-Strecke. Verbesserungsmethoden (1) Es sollten Proben mit unterschiedlichen Längen ausgewählt werden, wobei die Länge schrittweise zunehmen sollte; (2) Kontrollvariablen",2,1
240,240,zh_020241,(_1) Verschiedene Kunststoffe . Unterschiedliche Elastizität (2) Gleiche Kontrolle der Variablen .,2,2
292,292,zh_020293,a Verschiedene Kunststoffarten können sich mit der Zeit unterschiedlich dehnen b(_1) Erster und zweiter Versuch mit zwei identischen Kunststoffen (2) Hinzufügen von Gewichten gleicher Masse für beide Versuche,2,2
294,294,zh_020295,"a einige Materialien werden gedehnt, andere bleiben gleich lang oder schrumpfen sogar b lassen Sie die Gewichte vor der Messung länger hängen",2,0
307,307,zh_020308,"D hat die größte Dehnungslänge, zeichnet den gewünschten Test auf und hält das Original für mehrere Tests konstant",2,0
