,Unnamed: 0,id,text,prompt,score
27,27,zh_020028,a Le plastique B est bien ductile b(_1) Essayez avant l'expérience de voir si le plastique est ductile sans l'expérience (2) Une approche de variable contrôlée devrait être prise pendant l'expérience,2,2
29,29,zh_020030,a C est plus élastique D est relativement stable AB est moins élastique (_1) Faites deux expériences avec des poids de masses différentes du même matériau.,2,0
39,39,zh_020040,Conclusion : les polymères plastiques D sont plus stables en élasticité Méthode : Plan d'expérience (_1) expériences multiples pour éviter le hasard (2) respect strict des variables de contrôle,2,3
50,50,zh_020051,"a plus le plastique est étiré longtemps, plus l'allongement est important b utiliser un levier vertical pour le suspendre afin que la force soit uniforme peut augmenter le nombre de poids pour réduire le temps de l'expérience",2,0
64,64,zh_020065,(_1) Le plastique D est moins élastique (2) (1) Refaire le test avec un poids de plus grande masse (2) Prendre plus de temps,2,0
76,76,zh_020077,Conclusion : différents polymères plastiques ont une élasticité différente Améliorations (_1) changer la mesure pour une variété de polymères plastiques afin de varier les résultats de l'expérience (2) appliquer différentes forces de traction au même matériau et mesurer plusieurs fois.,2,1
87,87,zh_020088,a. Les différents polymères plastiques ont une élasticité différente et le plastique A est le plus élastique b. (_1) Les poids sont suspendus pendant un temps modérément plus long et le même temps pendant plus de deux expériences.,2,0
127,127,zh_020128,Masse des poids Masse des pinces Prise de pince,2,0
129,129,zh_020130,Prenez un échantillon d'un type particulier de plastique et mesurez la longueur.,2,0
136,136,zh_020137,a La quantité d'allongement est liée au type de plastique b S'assurer que le type de matériau est uniforme,2,2
139,139,zh_020140,a A est le plus élastique C est le moins élastique b Tirer le plastique avec deux objets séparés,2,0
146,146,zh_020147,a le quatrième plastique n'a pas d'élasticité b choisissez un matériau où le phénomène est évident,2,0
177,177,zh_020178,a La quantité d'étirement d'un plastique est liée au type de plastique b Augmenter la quantité d'étirement,2,1
211,211,zh_020212,"a, le plastique peut être étiré b(_1) allonger le temps de suspension (2) s'assurer que la longueur originale de l'échantillon est la même deux fois",2,1
229,229,zh_020230,"Conclusion : plus l'étirement T_1 est long, plus l'étirement T2 est long. Méthodes d'amélioration (1) les échantillons doivent être sélectionnés avec des longueurs variables mais la longueur doit augmenter de manière progressive ; (2) les variables de contrôle",2,1
240,240,zh_020241,(_1) Différentes matières plastiques . Elasticité différente (2) Même contrôle des variables .,2,2
292,292,zh_020293,a Différents types de plastiques peuvent s'étirer différemment au fil du temps b(_1) Première et deuxième expériences utilisant deux plastiques identiques (2) Ajout de poids de masse égale pour les deux expériences,2,2
294,294,zh_020295,"a certains matériaux seront étirés, mais d'autres resteront à la même longueur, voire rétréciront b faites pendre les poids plus longtemps avant de les mesurer.",2,0
307,307,zh_020308,"D a la plus grande longueur d'étirement, enregistre le test qu'il veut et garde l'original constant pour plusieurs tests",2,0
