,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,95,95,zh_020096,Die A.Die Elastizität verschiedener Polymermaterialien hat ihre eigenen Merkmale.( 1 ) AB.C ist.D Die ursprüngliche Länge ist gleichmäßig und die Form gleichmäßig.,2,3
1,199,199,zh_020200,"Die Erweiterbarkeit von Kunststoffen variiert je nach Kategorie, der gewählte Typ für jede Gruppe von Daten mehr_ einige (3) bis 5 Gruppen und das Testmaterial sollte doppelt werden, sollte nicht wiederverwendet werden, um unnötige Fehler zu vermeiden",2,2
2,283,283,zh_020284,a Kunststofftyp D nach T_1 und T2-Experimenten immer noch 20MM Streckengröße Bekannte Elastizität und Stabilität des Materials des Typs D b (1) kann das gleiche Kunststofftyp mit unterschiedlichem Gewicht hängen (2) gleiche Qualität mit unterschiedlichem Kunststoff hängen,2,2
3,37,37,zh_020038,"a (_1) Verschiedene Arten von Kunststoffen unterscheiden sich in der Ausdehnung Die Ergebnisse von zwei Experimenten sind nahe, b Die drei Arten von Kunststoffen nehmen mehrere für wiederholte Experimente",2,2
4,162,162,zh_020163,a Plastik D Leistungsstabilität Plastik AB Leistungsstabilität b (_1) Experimentieren im Labor Professionell (2) Ersetzen Sie das Experimentiergerät Wieder Experimentieren,2,2
5,104,104,zh_020105,(_1) Die Extensivität der D-Probe ist gering (2) Experimente mit dem gleichen Kodex und der gleichen Jacke Experimente ohne Reibungskraft,2,0
6,114,114,zh_020115,a Kunststoff - die zweite Stretchmenge unterscheidet sich stark von der ersten Stretchmenge und die Elastizität der verschiedenen Materialien unterscheidet sich stark von der Anwendung des Kunststoffmaterials.,2,0
7,230,230,zh_020231,A: Die Spannungsfaktoren von klein bis groß sind A.B.C ist.D.b(_1) Messen Sie die Variabilität der Elastizität mit einem Spring-Meter (2) erhöhen Sie das Gewicht des Kodex und die Hängezeit des Kodex,2,0
8,191,191,zh_020192,"a Die Ausdehnung ist im Grunde das gleiche wie b, um Plastik mit Jacken oder Haken zu ziehen",2,0
9,72,72,zh_020073,a AB-Typ Material Parameterformation D als elastische Formation b kann Teile jenseits des Schreibtisches verlängern_ein Punkt Fehler reduzieren,2,0
10,1,1,zh_020002,C-Elastizität gut D-Elastizität stabiler AB-Elastizität schlechter Zweimal unterschiedliche Qualitätsqualität Verlängerung der Hängezeit,2,0
11,169,169,zh_020170,Die Elastizität der Polymeren ist größer.,2,0
12,197,197,zh_020198,"Die A.Je größer die Länge des Plastiks, desto kleiner b.Die gleiche Art von Kunststoff, unterschiedliche Längen messen",2,0
13,279,279,zh_020280,"a Die Art der ABC-Plastik wird von der Zeit beeinflusst und die Stretchmenge ändert sich D Kunststoff wird von der Zeit nicht beeinflusst b (_1) Die Auswirkungen des Materials des gleichen Kunststofftyps auf die Elastizität des Kunststoffpolymers werden von der Zeit untersucht (2) Mehrere Experimente werden durchgeführt, um das Experiment universell zu gestalten",2,0
14,22,22,zh_020023,"Die elastische Wiederherstellungskapazität von a Kunststoff D im Vergleich zu anderen_drei gute b(1) kann das Gewicht des Schleifcodes angemessen ändern, um zu testen, (2) wenn Sie den Schleifcode und die Schleifmaschine entfernen, um zu prüfen, ob diese Art von Kunststoff komprimiert oder verlängert werden kann, um zu testen, ob seine Formung zurückkehren kann",2,0
15,125,125,zh_020126,Arten von Kunststoffen beeinflussen die Ausdehnung,2,1
16,228,228,zh_020229,"Die A.(_1) Die Elastizität von Kunststoff A ist gut b.Nehmen Sie die gleiche Länge A, B, C, D",2,1
17,130,130,zh_020131,a B Kunststoff ist am besten elastisch b Kunststoff erwärmt Kunststoff kühlt,2,1
18,24,24,zh_020025,"(_1) Die Stretchmenge der verschiedenen Kunststoffe unterscheidet sich (2) (1) Die Länge sollte vor dem Entfernen des Schraubens und der Jacke gemessen werden (2) Sie sollte warten, bis die Länge des Kunststoffs wiederhergestellt wird.",2,1
